
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:07.280]   Okay, we're gonna do a Q&A panel here,
[00:00:07.280 --> 00:00:09.300]   and we have saved 37 minutes.
[00:00:09.300 --> 00:00:11.240]   We gained seven minutes in there somewhere.
[00:00:11.240 --> 00:00:12.340]   We're gonna use the whole thing.
[00:00:12.340 --> 00:00:14.260]   We're gonna go all the way to four o'clock.
[00:00:14.260 --> 00:00:16.760]   Let's have our four other faculty members come up here.
[00:00:16.760 --> 00:00:18.860]   Let's put two chairs on each side of me.
[00:00:18.860 --> 00:00:21.800]   - Yeah, but this question's gonna allow you
[00:00:21.800 --> 00:00:22.720]   to stay in the course.
[00:00:22.720 --> 00:00:25.800]   I'm approaching retirement, 50/50 allocation.
[00:00:25.800 --> 00:00:27.600]   Don't do individual bonds.
[00:00:27.600 --> 00:00:30.240]   So most of my bond allocation would be in the Vanguard
[00:00:30.240 --> 00:00:34.040]   Total Bond and International Bond Market funds.
[00:00:34.040 --> 00:00:37.400]   Saw a CFP off the Garrett Network this summer
[00:00:37.400 --> 00:00:40.360]   who recommend taking all that bond money,
[00:00:40.360 --> 00:00:44.280]   liquidating it, and making a five-year CD ladder,
[00:00:44.280 --> 00:00:48.720]   as well as put the rest in a short-term bond market fund.
[00:00:48.720 --> 00:00:50.360]   So I didn't do that.
[00:00:50.360 --> 00:00:51.640]   I've ridden my bonds down.
[00:00:51.640 --> 00:00:53.720]   Am I doing the right thing staying in the course,
[00:00:53.720 --> 00:00:56.020]   especially in light of what Burton Malkiel said
[00:00:56.020 --> 00:00:58.600]   about us being in a time of financial repression
[00:00:58.600 --> 00:01:00.720]   where bonds going forward may not be
[00:01:00.720 --> 00:01:02.920]   what they've been in the past?
[00:01:02.920 --> 00:01:04.920]   - That sounds like a Rick question.
[00:01:04.920 --> 00:01:07.080]   (audience laughing)
[00:01:07.080 --> 00:01:08.560]   - Okay, thank you for that.
[00:01:08.560 --> 00:01:09.520]   Good question.
[00:01:09.520 --> 00:01:12.360]   And I understand the change in what's going on in your life
[00:01:12.360 --> 00:01:15.960]   because you are going through the most stressful
[00:01:15.960 --> 00:01:18.080]   financial part of your life right now,
[00:01:18.080 --> 00:01:22.040]   which, aside from paying off college loans, is retirement,
[00:01:22.040 --> 00:01:24.840]   the year before retirement to the year after retirement.
[00:01:25.780 --> 00:01:28.180]   I don't know what's going to happen
[00:01:28.180 --> 00:01:30.100]   to the bond market going forward.
[00:01:30.100 --> 00:01:32.600]   I believe that where we are right now
