
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.980]   - Rebecca emails in to ask a question
[00:00:06.980 --> 00:00:08.080]   about church discipline.
[00:00:08.080 --> 00:00:11.480]   She writes, "In regards to Matthew 18, 15 to 20,
[00:00:11.480 --> 00:00:13.680]   "I'm wondering what I as a Christian am responsible
[00:00:13.680 --> 00:00:15.480]   "to do biblically when a fellow believer
[00:00:15.480 --> 00:00:17.960]   "is living in sexual sin and chooses to continue
[00:00:17.960 --> 00:00:20.920]   "after they have been confronted in a loving way."
[00:00:20.920 --> 00:00:22.600]   Pastor John, what would you say?
[00:00:22.600 --> 00:00:25.460]   - The practical answer here really does depend
[00:00:25.460 --> 00:00:29.940]   on whether Rebecca and the person she's concerned about
[00:00:29.940 --> 00:00:33.040]   maybe a friend who's sleeping with a boyfriend,
[00:00:33.040 --> 00:00:34.340]   I don't know what her situation is,
[00:00:34.340 --> 00:00:36.600]   but let's just say something like that,
[00:00:36.600 --> 00:00:41.600]   whether those two people are in a biblically faithful church
[00:00:41.600 --> 00:00:48.100]   that is a church that considers the Bible
[00:00:48.100 --> 00:00:51.000]   as their standard of faith and practice.
[00:00:51.000 --> 00:00:55.140]   And if they are, the answer is, or should be,
[00:00:55.140 --> 00:01:00.140]   yes, excommunication can and maybe should happen.
[00:01:00.140 --> 00:01:06.340]   And of course she's referring to Matthew 18.
[00:01:06.340 --> 00:01:10.240]   And it might be helpful just to walk through the steps
[00:01:10.240 --> 00:01:12.140]   so that everybody has in view,
[00:01:12.140 --> 00:01:14.440]   'cause they're short and they're clear.
[00:01:14.440 --> 00:01:18.900]   Here's what happens in real relationships
[00:01:18.900 --> 00:01:21.380]   in a church from time to time.
[00:01:21.380 --> 00:01:24.860]   Step one, if your brother sins against you,
[00:01:24.860 --> 00:01:29.140]   go and tell him his fault between you and him alone.
[00:01:29.140 --> 00:01:33.260]   If he listens to you, you have gained your brother.
[00:01:33.260 --> 00:01:38.260]   So step one, you find someone in sin and you go to them.
[00:01:38.260 --> 00:01:41.380]   You don't wanna make a public issue out of it.
[00:01:41.380 --> 00:01:45.300]   You're not eager to drag everybody's private sins
[00:01:45.300 --> 00:01:46.420]   into the public.
[00:01:46.420 --> 00:01:48.140]   You know you've got your own issues.
[00:01:48.140 --> 00:01:50.300]   You're taking the log out of your own eye
[00:01:50.300 --> 00:01:52.860]   before you take the speck out of anybody else's.
[00:01:52.860 --> 00:01:55.500]   But once you've done all that appropriate self-assessment
[00:01:55.500 --> 00:01:56.940]   and humbled yourself before God
[00:01:56.940 --> 00:01:59.780]   and declared your own dependence on grace alone,
[00:01:59.780 --> 00:02:01.380]   then you do go.
[00:02:01.380 --> 00:02:02.300]   This is what love does.
[00:02:02.300 --> 00:02:04.220]   It goes, and in her case,
[00:02:04.220 --> 00:02:06.820]   maybe a girlfriend sleeping with a boyfriend,
[00:02:06.820 --> 00:02:10.380]   and she goes, she said, "This is not biblical.
[00:02:10.380 --> 00:02:11.280]   "It's not right.
[00:02:11.280 --> 00:02:12.500]   "It doesn't please the Lord."
