
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:07.600]   - Everyone, thank you for coming to our session.
[00:00:07.600 --> 00:00:10.300]   This is part of the accumulators track.
[00:00:10.300 --> 00:00:16.680]   I'm Karen D'Amato, and I am joined by a wonderful panel,
[00:00:16.680 --> 00:00:19.700]   starting from my right.
[00:00:19.700 --> 00:00:23.480]   Dan Egan is the Director of Behavioral Finance
[00:00:23.480 --> 00:00:25.560]   and Investing at Betterment.
[00:00:25.560 --> 00:00:28.560]   In his research, he focuses on understanding
[00:00:28.560 --> 00:00:30.720]   how our minds and our emotions work
[00:00:30.720 --> 00:00:33.160]   in order to help people make better decisions
[00:00:33.160 --> 00:00:35.980]   around their money and investing and spending.
[00:00:35.980 --> 00:00:40.600]   Next, Nick Magiuli is the Chief Operating Officer
[00:00:40.600 --> 00:00:44.340]   and Data Scientist at Rittles Wealth Management.
[00:00:44.340 --> 00:00:47.880]   He's the author of the blog of Dollars and Data,
[00:00:47.880 --> 00:00:49.920]   and author of the recently published book,
[00:00:49.920 --> 00:00:52.760]   Just Keep Buying, which he's supposed to be waving up now,
[00:00:52.760 --> 00:00:53.860]   but you can't see it.
[00:00:53.860 --> 00:00:56.240]   And he'll be just--
[00:00:56.240 --> 00:00:58.480]   - I have emotions. (Karen laughing)
[00:00:58.480 --> 00:01:01.720]   - And he'll be discussing the book tomorrow morning
[00:01:01.720 --> 00:01:05.040]   at 8.10, so set your alarms early for that one.
[00:01:05.040 --> 00:01:10.380]   And Randy Bruns is the Founder of Model Wealth
[00:01:10.380 --> 00:01:13.320]   and a Senior Financial Planner with the firm,
[00:01:13.320 --> 00:01:17.300]   which serves consumers with hourly and flat fees.
[00:01:17.300 --> 00:01:21.280]   And as an advisor, Randy works directly with clients
[00:01:21.280 --> 00:01:23.320]   who are widely varied in their ages
[00:01:23.320 --> 00:01:25.800]   and in their financial resources.
[00:01:25.800 --> 00:01:29.000]   - Thank you all for being here.
[00:01:29.000 --> 00:01:32.000]   I think the accumulator's audience is an interesting one
[00:01:32.000 --> 00:01:34.020]   because it can encompass people
[00:01:34.020 --> 00:01:36.260]   from their 20s into their 60s.
[00:01:36.260 --> 00:01:40.040]   Potentially, so an audience potentially
[00:01:40.040 --> 00:01:42.600]   of people at very different stages in their lives,
[00:01:42.600 --> 00:01:45.680]   different financial circumstances.
[00:01:45.680 --> 00:01:47.760]   And I guess the place where I wanted to start
[00:01:47.760 --> 00:01:50.280]   is sort of with a big picture issue.
[00:01:50.280 --> 00:01:54.620]   We all have lots of demands on our time
[00:01:54.620 --> 00:01:56.200]   and our attention.
[00:01:56.200 --> 00:01:58.200]   And so to set the stage, Nick,
[00:01:58.200 --> 00:02:01.560]   I was hoping you could discuss your guidance
[00:02:01.560 --> 00:02:03.160]   on where people should focus.
[00:02:03.160 --> 00:02:05.800]   So thinking about, do I focus on my income,
[00:02:05.800 --> 00:02:08.640]   my spending, saving, investing?
[00:02:08.640 --> 00:02:11.180]   How do I prioritize where I'm putting my energy
[00:02:11.180 --> 00:02:13.360]   around my personal finances?
[00:02:13.360 --> 00:02:14.920]   - Yeah, thanks, Karen.
[00:02:14.920 --> 00:02:16.720]   Thanks for everyone coming out.
[00:02:16.720 --> 00:02:18.280]   In terms of prioritizing time,
[00:02:18.280 --> 00:02:20.720]   I mean, this is a Bogleheads meetup, right?
[00:02:20.720 --> 00:02:22.040]   So we all talk about investing
[00:02:22.040 --> 00:02:23.760]   and how much should I have international?
[00:02:23.760 --> 00:02:24.600]   How do I rebalance?
[00:02:24.600 --> 00:02:26.080]   All those types of things.
[00:02:26.080 --> 00:02:27.600]   And that's very relevant for the people
[00:02:27.600 --> 00:02:28.440]   in the other room, right?
[00:02:28.440 --> 00:02:30.240]   They've done most of their accumulating already.
[00:02:30.240 --> 00:02:31.900]   Their money's already saved up.
[00:02:31.900 --> 00:02:34.620]   They're trying to go through the next 20, 30 years,
[00:02:34.620 --> 00:02:36.000]   et cetera, of their life.
[00:02:36.000 --> 00:02:37.840]   And all those little things matter a lot.
[00:02:37.840 --> 00:02:38.960]   But for people in this room,
[00:02:38.960 --> 00:02:40.040]   people are still accumulating,
[00:02:40.040 --> 00:02:41.840]   or those especially younger,
[00:02:41.840 --> 00:02:42.960]   it matters a lot less
[00:02:42.960 --> 00:02:45.360]   because you don't have all that money yet, right?
[00:02:45.360 --> 00:02:48.740]   So when I talk about, in the first chapter of my book,
[00:02:48.740 --> 00:02:50.560]   I kind of lay out this framework,
[00:02:50.560 --> 00:02:52.000]   which I call the Save and Invest Continuum,
[00:02:52.000 --> 00:02:55.440]   which basically, if you can save more money
[00:02:55.440 --> 00:02:56.560]   than your investments can earn you,
[00:02:56.560 --> 00:02:58.680]   then you need to focus on that savings part.
[00:02:58.680 --> 00:03:00.320]   And that's what this room is really about.
[00:03:00.320 --> 00:03:01.320]   And so when I talk about
[00:03:01.320 --> 00:03:03.280]   where you're gonna use your time, it's your income.
[00:03:03.280 --> 00:03:04.280]   It's like, that's everything.
[00:03:04.280 --> 00:03:06.200]   I think that's something that's downplayed
[00:03:06.200 --> 00:03:07.640]   in most of the personal finance community
[00:03:07.640 --> 00:03:10.220]   is like income, income, income, it's everything, right?
[00:03:10.220 --> 00:03:13.060]   And so people talk about savings and things like that,
[00:03:13.060 --> 00:03:15.520]   but I think you have to focus on growing your income.
[00:03:15.520 --> 00:03:18.640]   And that's like the primary way to build wealth.
[00:03:18.640 --> 00:03:21.960]   - And then that question of how much you're focusing on
[00:03:21.960 --> 00:03:25.200]   investing versus just finding those dollars to save.
[00:03:25.200 --> 00:03:27.600]   I mean, we may have people in this room
[00:03:27.600 --> 00:03:29.680]   who have already accumulated a lot
[00:03:29.680 --> 00:03:31.280]   and they're still accumulating more.
[00:03:31.280 --> 00:03:33.720]   So for them, the investing decisions
[00:03:33.720 --> 00:03:35.960]   do become more significant.
[00:03:35.960 --> 00:03:37.800]   - Yeah, they'll start to become more significant
[00:03:37.800 --> 00:03:39.880]   as your investments can actually earn you more
[00:03:39.880 --> 00:03:41.240]   than you could save in a year.
[00:03:41.240 --> 00:03:43.120]   And let's just use a simple example of this.
[00:03:43.120 --> 00:03:45.800]   You know, if you have a million dollars saved up,
[00:03:45.800 --> 00:03:47.800]   you know, a 10% returns $100,000,
[00:03:47.800 --> 00:03:49.000]   can you save 100,000 a year?
[00:03:49.000 --> 00:03:50.960]   Maybe some people in this room can, right?
[00:03:50.960 --> 00:03:52.160]   But what happens if it's 10 million?
[00:03:52.160 --> 00:03:53.240]   Can you save a million in a year?
[00:03:53.240 --> 00:03:54.560]   Most people probably can't, right?
[00:03:54.560 --> 00:03:57.740]   So you see as that investment value gets higher,
[00:03:57.740 --> 00:03:59.520]   you start to have less and less control
[00:03:59.520 --> 00:04:00.880]   over what happens to your wealth, right?
[00:04:00.880 --> 00:04:02.660]   At least with your savings side.
[00:04:02.660 --> 00:04:04.240]   So that's why I would say focus on income
[00:04:04.240 --> 00:04:06.200]   if you're especially just starting out.
[00:04:06.200 --> 00:04:07.980]   - So I wanna think about my income.
[00:04:07.980 --> 00:04:10.600]   I wanna think about getting money into savings.
[00:04:10.600 --> 00:04:12.720]   But Dan, you were telling me that one thing
[00:04:12.720 --> 00:04:14.980]   I probably don't need to bother with
[00:04:14.980 --> 00:04:17.680]   is using one of those cool apps to track all my spending.
[00:04:17.680 --> 00:04:18.560]   Like, why not?
[00:04:18.560 --> 00:04:20.440]   That seems like it should help me.
[00:04:20.440 --> 00:04:22.720]   - Yeah, so one of the more interesting elements
[00:04:22.720 --> 00:04:25.260]   of money management is how much time and effort
[00:04:25.260 --> 00:04:27.280]   you spend stressing about your money.
[00:04:27.280 --> 00:04:29.940]   It's this perversity of, like, you think you own things,
[00:04:29.940 --> 00:04:32.120]   but actually if those things require time
[00:04:32.120 --> 00:04:34.480]   and concentration and effort, they kind of own you.
[00:04:34.480 --> 00:04:35.840]   They own your attention.
[00:04:35.840 --> 00:04:38.200]   And one of the traps people can fall into
[00:04:38.200 --> 00:04:40.360]   is thinking that budgeting is about looking
[00:04:40.360 --> 00:04:42.200]   in the rear view mirror at what I spent
[00:04:42.200 --> 00:04:45.080]   and being like, oh, I overspent on takeout last month.
[00:04:45.080 --> 00:04:47.600]   Oh, I underspent on this.
[00:04:47.600 --> 00:04:49.660]   There are, like, consistent studies that show, like,
[00:04:49.660 --> 00:04:51.920]   the more that you do that, you're not gonna save more.
