
[00:00:00.000 --> 00:00:03.460]   [MUSIC PLAYING]
[00:00:03.460 --> 00:00:08.880]   Good evening, gentlemen, and welcome back.
[00:00:08.880 --> 00:00:13.720]   A little J.S. Bach from our organist Stephen Sturz.
[00:00:13.720 --> 00:00:15.760]   He has been serving Grace Community Church
[00:00:15.760 --> 00:00:19.640]   and blessing the body of Christ here for 47 years.
[00:00:19.640 --> 00:00:23.040]   [APPLAUSE]
[00:00:27.440 --> 00:00:29.880]   And J.S. Bach, that great composer
[00:00:29.880 --> 00:00:32.360]   who declared that all music should
[00:00:32.360 --> 00:00:33.760]   be for the glory of God.
[00:00:33.760 --> 00:00:36.520]   And that certainly is our aim tonight.
[00:00:36.520 --> 00:00:41.840]   Psalm 33 says, "Sing for joy in Yahweh, O righteous ones.
[00:00:41.840 --> 00:00:44.600]   Praise is becoming to the upright.
[00:00:44.600 --> 00:00:46.840]   Sing to him a new song.
[00:00:46.840 --> 00:00:49.720]   Play skillfully with a loud shout.
[00:00:49.720 --> 00:00:53.280]   For the word of Yahweh is upright,
[00:00:53.280 --> 00:00:57.560]   and all his work is done in faithfulness."
[00:00:57.560 --> 00:01:00.800]   So let's sing for joy together as we give glory to God
[00:01:00.800 --> 00:01:03.080]   for the great things he has done.
[00:01:03.080 --> 00:01:07.720]   Please find a hymns of grace and turn to number 19.
[00:01:07.720 --> 00:01:11.360]   This should make all the old Baptists very happy.
[00:01:11.360 --> 00:01:15.240]   Number 19, "To God be the glory, great things he has done."
[00:01:15.240 --> 00:01:17.720]   And would you stand, please, as we sing?
[00:01:17.720 --> 00:01:21.680]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:21.680 --> 00:01:25.660]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:25.660 --> 00:01:28.640]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:28.640 --> 00:01:31.620]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:31.620 --> 00:01:34.600]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:34.600 --> 00:01:37.580]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:37.580 --> 00:01:40.580]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:40.580 --> 00:01:43.560]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:43.560 --> 00:01:46.060]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:46.060 --> 00:01:48.560]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:48.560 --> 00:01:51.060]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:51.940 --> 00:01:54.920]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:54.920 --> 00:01:57.880]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:01:57.880 --> 00:02:00.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:00.860 --> 00:02:03.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:03.860 --> 00:02:06.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:06.860 --> 00:02:09.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:09.860 --> 00:02:12.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:12.860 --> 00:02:15.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:15.860 --> 00:02:18.860]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:18.860 --> 00:02:21.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:21.360 --> 00:02:24.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:24.360 --> 00:02:27.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:27.360 --> 00:02:30.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:30.360 --> 00:02:33.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:33.360 --> 00:02:36.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:36.360 --> 00:02:39.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:39.360 --> 00:02:42.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:42.360 --> 00:02:45.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:45.360 --> 00:02:48.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:48.360 --> 00:02:51.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:51.360 --> 00:02:54.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:54.360 --> 00:02:57.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:02:57.360 --> 00:03:00.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:00.360 --> 00:03:03.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:03.360 --> 00:03:06.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:06.360 --> 00:03:09.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:09.360 --> 00:03:12.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:12.360 --> 00:03:15.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:15.360 --> 00:03:18.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:18.360 --> 00:03:21.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:21.360 --> 00:03:24.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:24.360 --> 00:03:27.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:27.360 --> 00:03:30.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:30.360 --> 00:03:33.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:33.360 --> 00:03:36.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:36.360 --> 00:03:39.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:39.360 --> 00:03:42.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:42.360 --> 00:03:45.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:45.360 --> 00:03:48.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:48.360 --> 00:03:51.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:51.360 --> 00:03:54.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:54.360 --> 00:03:57.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:03:57.360 --> 00:04:00.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:00.360 --> 00:04:03.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:03.360 --> 00:04:06.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:06.360 --> 00:04:09.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:09.360 --> 00:04:12.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:12.360 --> 00:04:15.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:15.360 --> 00:04:18.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:18.360 --> 00:04:21.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:21.360 --> 00:04:24.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:24.360 --> 00:04:27.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:27.360 --> 00:04:30.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:30.360 --> 00:04:33.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:33.360 --> 00:04:36.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:36.360 --> 00:04:39.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:39.360 --> 00:04:42.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:42.360 --> 00:04:45.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:45.360 --> 00:04:48.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:48.360 --> 00:04:51.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
[00:04:51.360 --> 00:04:54.360]   [MUSIC - "TO GOD BE THE GLORY, GREAT THINGS HE HAS DONE"]
