
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.360]   - Okay, sounds good.
[00:00:06.360 --> 00:00:08.320]   This question is from Cameron.
[00:00:08.320 --> 00:00:09.280]   He's in college.
[00:00:09.280 --> 00:00:10.800]   He has a question about your thoughts
[00:00:10.800 --> 00:00:12.840]   on the metaverse from Meta.
[00:00:12.840 --> 00:00:16.300]   - Hi Cal, college student here.
[00:00:16.300 --> 00:00:17.640]   What are your thoughts on the metaverse
[00:00:17.640 --> 00:00:20.200]   that Meta is currently trying to build?
[00:00:20.200 --> 00:00:23.020]   How do you think that it's going to affect society?
[00:00:23.020 --> 00:00:23.860]   Thank you.
[00:00:23.860 --> 00:00:27.680]   - Well, there's a few things going on here.
[00:00:27.680 --> 00:00:30.960]   One, why is Facebook doing this?
[00:00:30.960 --> 00:00:33.280]   And in part it's because,
[00:00:33.280 --> 00:00:35.440]   as I've been predicting for a few years now,
[00:00:35.440 --> 00:00:38.800]   the age of social media monopoly platforms
[00:00:38.800 --> 00:00:41.480]   has begun its descent.
[00:00:41.480 --> 00:00:42.480]   We just didn't realize it.
[00:00:42.480 --> 00:00:44.660]   Now we're actually starting to see it.
[00:00:44.660 --> 00:00:49.760]   Facebook posted one of their first reductions
[00:00:49.760 --> 00:00:51.440]   in active user minutes,
[00:00:51.440 --> 00:00:54.800]   and their stock lost something like $150 billion.
[00:00:54.800 --> 00:00:57.400]   The biggest in absolute value,
[00:00:57.400 --> 00:01:00.640]   single one day drop of a company's valuation ever.
[00:01:00.640 --> 00:01:03.280]   So people are leaving Facebook,
[00:01:03.280 --> 00:01:05.600]   people are leaving Instagram.
[00:01:05.600 --> 00:01:10.600]   This era in which there's six platforms you have to use,
[00:01:10.600 --> 00:01:11.520]   but you can't communicate
[00:01:11.520 --> 00:01:13.160]   and you're completely out of it.
[00:01:13.160 --> 00:01:14.880]   That's all dissolving into a world
[00:01:14.880 --> 00:01:16.320]   of much more niche social media.
[00:01:16.320 --> 00:01:18.140]   And I've talked about before why this has happened.
[00:01:18.140 --> 00:01:20.920]   I talked about this on Lex Fridman's podcast, for example.
[00:01:20.920 --> 00:01:22.320]   I went into detail on this.
[00:01:22.320 --> 00:01:25.120]   The issue is the network effect,
