
[00:00:00.000 --> 00:00:05.400]   Welcome to Huberman Lab Essentials, where we revisit past episodes for the most potent and
[00:00:05.400 --> 00:00:10.000]   actionable science-based tools for mental health, physical health, and performance.
[00:00:10.000 --> 00:00:15.980]   I'm Andrew Huberman, and I'm a professor of neurobiology and ophthalmology at Stanford
[00:00:15.980 --> 00:00:21.000]   School of Medicine. And now, my conversation with Dr. Matthew Johnson. Well, Matthew,
[00:00:21.000 --> 00:00:25.920]   I've been looking forward to this for a long time. I'm a huge fan of your scientific work,
[00:00:26.300 --> 00:00:31.420]   and I'm eager to learn from you. Likewise. Big fan and happy to do this with you.
[00:00:31.420 --> 00:00:37.480]   All right. Well, thank you. My first question is a very basic one, which is what qualifies a substance
[00:00:37.480 --> 00:00:45.420]   as a psychedelic? Nomenclature is a real challenge in this area of psychedelics. So, starting with the
[00:00:45.420 --> 00:00:53.240]   word psychedelic, it just, if you're a pharmacologist, it's not very satisfying because that term really
[00:00:54.240 --> 00:00:59.500]   spans different pharmacological classes. In other words, if you're really concerned about receptor
[00:00:59.500 --> 00:01:07.600]   effects and the basic effects of a compound, it spans several classes of compounds. But overall,
[00:01:07.600 --> 00:01:17.280]   so it's really more of a cultural term or it does have a relationship to drug effects, but it's at the
[00:01:17.280 --> 00:01:25.260]   at a very high level. So, all of the so-called psychedelics across these distinct classes that I
[00:01:25.260 --> 00:01:33.260]   can talk more about, the way I put it is they all have the ability to profoundly alter one's sense of
[00:01:33.260 --> 00:01:38.380]   reality. And that can mean many things. Part of that is profoundly altering the sense of self
[00:01:38.380 --> 00:01:47.760]   acutely. So, when someone's on the psychedelic. So, the different classes that can be the specific
[00:01:47.760 --> 00:01:53.720]   pharmacological classes that can be called a psychedelic are one that what are called the
[00:01:53.720 --> 00:02:00.020]   classic psychedelics. So, in the literature, you'll see that term. And hallucinogen and psychedelic are all
[00:02:00.020 --> 00:02:05.940]   have traditionally been used synonymously. I think there was a little of a tendency to stay away from
[00:02:05.940 --> 00:02:10.900]   psychedelics of the baggage, but there's been a return to that in the last several years. But the
[00:02:10.900 --> 00:02:19.300]   classic psychedelics or classic hallucinogens are things like LSD, psilocybin, which is in so-called
[00:02:19.300 --> 00:02:27.540]   magic mushrooms. It's in over 200 species that we know of so far of mushrooms. Dimethyltryptamine or DMT,
[00:02:27.540 --> 00:02:35.940]   which is in dozens and dozens of plants. Mescaline, which is in the peyote cacti and some other cacti like
[00:02:35.940 --> 00:02:45.060]   San Pedro. And even amongst these classic psychedelics, there are two structural classes. So, that's the
[00:02:45.060 --> 00:02:50.980]   chemistry. There's the tryptamine based compounds like psilocybin and DMT. And then there's the
[00:02:50.980 --> 00:02:57.380]   phenethylamine based compounds. So, these are the basic two basically building blocks that you're
