
[00:00:00.000 --> 00:00:09.020]   [MUSIC]
[00:00:09.020 --> 00:00:10.860]   >> Here with another episode of Curious Mike,
[00:00:10.860 --> 00:00:12.340]   I'm sitting here with Dr. Amen.
[00:00:12.340 --> 00:00:14.380]   Appreciate you being on the podcast my bro.
[00:00:14.380 --> 00:00:15.760]   >> Thank you so much.
[00:00:15.760 --> 00:00:17.520]   >> Yeah. So we just got done,
[00:00:17.520 --> 00:00:19.940]   I just got done with my brain scan.
[00:00:19.940 --> 00:00:22.760]   I've been wanting to do something like this for a while,
[00:00:22.760 --> 00:00:26.320]   but you actually, you worked in the army for 10 years,
[00:00:26.320 --> 00:00:28.480]   and then you were helping on the medic side.
[00:00:28.480 --> 00:00:31.380]   So you've always wanted to help get people better.
[00:00:31.380 --> 00:00:34.000]   How did you get into the more this side of it,
[00:00:34.000 --> 00:00:35.320]   looking at people's brains and helping
[00:00:35.320 --> 00:00:37.320]   people get better from that standpoint?
[00:00:37.320 --> 00:00:39.960]   >> So when I was an infantry medic,
[00:00:39.960 --> 00:00:41.880]   about a year into doing that,
[00:00:41.880 --> 00:00:44.440]   I realized I didn't like being shot at,
[00:00:44.440 --> 00:00:46.480]   that it wasn't for me.
[00:00:46.480 --> 00:00:48.000]   Some people like it,
[00:00:48.000 --> 00:00:50.840]   and I got retrained as an x-ray technician,
[00:00:50.840 --> 00:00:53.840]   and developed a passion for medical imaging.
[00:00:53.840 --> 00:00:55.320]   As our professors used to say,
[00:00:55.320 --> 00:00:57.280]   how do you know unless you look?
[00:00:57.280 --> 00:00:59.440]   And then I got out of the army,
[00:00:59.440 --> 00:01:00.760]   went to medical school,
[00:01:00.760 --> 00:01:02.640]   and when I was a second year medical student,
[00:01:02.640 --> 00:01:05.320]   someone I loved tried to kill herself.
[00:01:05.320 --> 00:01:07.400]   And I took her to see a wonderful psychiatrist,
[00:01:07.400 --> 00:01:09.440]   and I came to realize if he helped her,
[00:01:09.440 --> 00:01:10.840]   it wouldn't just help her.
[00:01:10.840 --> 00:01:12.840]   That ultimately it would help her children,
