
[00:00:00.040 --> 00:00:18.720]   Hi everyone, I'm Will Brown. I'm at Prime Intellect. Today I want to talk about training
[00:00:18.720 --> 00:00:24.880]   agentic reasoners. Just kind of as a very high-level overview, I think a lot of people here are really
[00:00:24.880 --> 00:00:28.480]   excited about reasoning and a lot of people here are really excited about agents, but I feel like a
[00:00:28.480 --> 00:00:32.560]   lot of the conversations between these two topics are kind of different where people are like, "Oh,
[00:00:32.560 --> 00:00:37.760]   reasoning is this one thing and agents are this other thing." And the considerations of reasoning are
[00:00:37.760 --> 00:00:41.200]   very different from the considerations of building agents. And I think the high-level thesis of this
[00:00:41.200 --> 00:00:45.600]   talk is like, "No, they're kind of the same thing." And you'll see why as we get into it.
[00:00:45.600 --> 00:00:50.800]   First, just to start, RL kind of works now. I think for a long time people were like, "Oh,
[00:00:50.800 --> 00:00:55.440]   is RL going to work? Is it not going to work? How hard is it going to be?" And DeepSeek, I think,
[00:00:55.440 --> 00:00:59.840]   took a lot of people by surprise for many reasons, like the costs or whatever, and how good it is
[00:00:59.840 --> 00:01:05.840]   compared to the open models, to the big labs, as well as just it being fully open. But I think it was
[00:01:05.840 --> 00:01:13.120]   also just that it was RL applied at scale working with surprisingly few tweaks needed, where you just
[00:01:13.120 --> 00:01:18.240]   have a good setup, you have a good signal, you have a model that is good enough to do some learning,
[00:01:18.800 --> 00:01:23.760]   and you see this curve where doing more RL results in the model getting better.
[00:01:23.760 --> 00:01:30.400]   And it's also kind of how everyone else is doing it. This is what the big labs are really banking on
[00:01:30.400 --> 00:01:35.520]   to drive the next iterations of progress. The 03 release is the one that OpenAI is really excited
[00:01:35.520 --> 00:01:41.760]   about, not GPT 4.5. They stopped serving the big pre-trained model via API, but they have continued to
[00:01:41.760 --> 00:01:46.800]   really double down on the scaling direction of doing more and more reinforcement learning and spending more
[00:01:46.800 --> 00:01:53.040]   compute on reinforcement learning once you have the right setup to enable progress. And 03 to me is
[00:01:53.040 --> 00:01:59.200]   like a very naturally agentic model. The ChatGPT version has all of these tools. The kind of selling
[00:01:59.200 --> 00:02:05.280]   point of it is not just that it's smarter, it's that it's really good at using lots of tools in agentic task
[00:02:05.280 --> 00:02:11.120]   settings to solve harder problems that involve interacting with complex systems. And that is kind of
[00:02:11.120 --> 00:02:16.480]   really the selling point of all of this is that like the more complex your system, the more things can
[00:02:16.480 --> 00:02:22.400]   go wrong, the more that like a generic LLM API is going to be brittle and go off the rails after a certain
[00:02:22.400 --> 00:02:28.240]   number of steps. And RL is kind of the way around it. It's the trick you can do to take the system that
[00:02:28.240 --> 00:02:33.360]   kind of works. Maybe it works on small scales, but as you go harder, it starts going off the rails and
[00:02:33.360 --> 00:02:39.680]   training the model to be better at that thing. And so this is a recipe that is still kind of like a research
[00:02:39.680 --> 00:02:44.800]   topic that people are not fully sure like the best way to do it, especially outside of the big labs.
[00:02:44.800 --> 00:02:50.400]   But it clearly is moving in a direction where it's becoming more and more reliable, more and more
[00:02:50.400 --> 00:02:58.720]   accessible. And the sort of thing that I think would be silly to disregard as a potential like key piece of the future of
