
[00:00:00.040 --> 00:00:07.460]  stoppable let with
[00:00:07.460 --> 00:00:14.380]   like. compan va,,,,, these
[00:00:14.380 --> 00:00:29.840]   100 I 11�US Sáz a G:ormanbreakerGG is a way, and, what, З,pl,ку,tre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, wh'ob I'm no person won C. Deshalb I'm Pr washingro and the E. within Mi e Kakim The I'm I think me bring aelt P. 9b You've was появ guys took thereg겠어요
[00:00:30.080 --> 00:00:58.940]   didn
[00:00:59.020 --> 00:01:08.920]  или guess
[00:01:08.920 --> 00:01:09.360]   whether work became
[00:01:09.360 --> 00:01:27.960]  � RA B D .
[00:01:28.040 --> 00:01:35.760]  該
[00:01:35.760 --> 00:01:38.140]   stuff, " other
[00:01:38.140 --> 00:01:56.940]   cog sometimes but, the, the, the, the, lad,KN,N, dece,
[00:01:58.060 --> 00:02:27.580]   ado, what does something like chat GPT do? It's, it's mostly focused on make language like the language that humans have made and put on the web and so on. So, you know, it's, it's primary sort of underlying technical thing is you've given a prompt. It's trying to continue that prompt in a way that somehow typical of what it's seen based on a trillion words of text that humans have written on the web. And the way it's doing that is.
[00:02:27.580 --> 00:02:28.040]   Корr:
[00:02:28.040 --> 00:02:28.040]   Do you think it's a good thing that chat GPT is doing this?
[00:02:28.060 --> 00:02:58.060]  ,
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
[00:02:58.060 --> 00:02:58.060]   It's a good thing that chat GPT is doing this?
