
[00:00:00.000 --> 00:00:02.000]   [Music]
[00:00:02.000 --> 00:00:09.280]   Bennett writes in to ask this, "Pastor John, I recently read the following in a book,
[00:00:09.280 --> 00:00:15.200]   "God purposefully created the world to function in such a way that He is not enough for us.
[00:00:15.200 --> 00:00:22.160]   That is why God says it is not good for man to be alone. If God were all that Adam needed, then Adam would not be
[00:00:22.160 --> 00:00:27.880]   alone, but he is alone. Not because God is there, but because one of his kind is not there.
[00:00:28.320 --> 00:00:32.840]   By choice, God limited his ability to be everything Adam needed.
[00:00:32.840 --> 00:00:37.160]   This flies in the face of what many of us have heard on a regular basis.
[00:00:37.160 --> 00:00:40.740]   I hear people say, 'All you need is God. God is enough.' Well, that sounds nice,
[00:00:40.740 --> 00:00:44.240]   but the problem is that it's not true or even biblical for that matter from a
[00:00:44.240 --> 00:00:50.240]   relational point of view. If we're talking about grace, then these statements are true. God's grace is enough.
[00:00:50.240 --> 00:00:54.040]   However, if we're talking about relationships, they are not so."
[00:00:54.920 --> 00:01:02.440]   So, Pastor John, does Christian hedonism teach that God is enough to satisfy every relational longing of our souls,
[00:01:02.440 --> 00:01:09.160]   or has God created us with an intrinsic need for others that God cannot satisfy?
[00:01:09.160 --> 00:01:11.160]   How would you answer Bennett on this question?
[00:01:11.160 --> 00:01:14.320]   That is an absolutely
[00:01:14.320 --> 00:01:20.240]   excellent question, and the reason it's an excellent question is that it grows out of a text.
[00:01:21.520 --> 00:01:28.640]   Genesis 2 18, "And the Lord God said, 'It's not good that a man should be alone.
[00:01:28.640 --> 00:01:35.960]   I will make a helper fit for him.'" So on the face of it, God clearly does not want Adam to respond,
[00:01:35.960 --> 00:01:42.400]   'No, thank you. You've got it wrong, God. I am not alone. I have you!'
[00:01:42.400 --> 00:01:51.240]   So God thinks the present state of creation is not the final good that he intends,
[00:01:51.240 --> 00:01:55.000]   namely the man and the woman having God together.
[00:01:55.000 --> 00:01:58.280]   So having another human being is not a
[00:01:58.280 --> 00:02:03.240]   luxury in God's mind. So it seems
[00:02:03.240 --> 00:02:06.080]   Bennett's case here is pretty strong.
[00:02:06.080 --> 00:02:12.160]   It looks like an overstatement to say to Adam in the garden,
[00:02:12.160 --> 00:02:16.720]   "God is all you need." And let's make the case stronger
[00:02:17.160 --> 00:02:23.640]   by adding a few other texts, like 1 Corinthians 12. "God arranged the members of the body,
[00:02:23.640 --> 00:02:31.080]   each one of them as he chose. If all were a single member, where would the body be? As it is,
[00:02:31.080 --> 00:02:34.680]   there are many parts, yet one body, the eye."
[00:02:34.680 --> 00:02:37.400]   So let's say
[00:02:37.400 --> 00:02:43.560]   Tony Reinke is the eye. "The eye cannot say to the hand," that's John Piper,
[00:02:44.080 --> 00:02:46.080]   "I have no need of you."
[00:02:46.080 --> 00:02:51.640]   Nor again, "The head can say to the feet, I have no need of you."
[00:02:51.640 --> 00:02:55.240]   So there's God Almighty in his words saying flat out,
