
[00:00:00.000 --> 00:00:06.000]   Welcome, everyone.
[00:00:06.000 --> 00:00:07.840]   This screencast is an overview of
[00:00:07.840 --> 00:00:10.440]   Assignment 1 and the associated Bake-Off.
[00:00:10.440 --> 00:00:11.800]   The goal here is to give you
[00:00:11.800 --> 00:00:13.300]   a sense for the nature of the work,
[00:00:13.300 --> 00:00:14.760]   that is the nature of the questions
[00:00:14.760 --> 00:00:15.860]   that you'll be answering,
[00:00:15.860 --> 00:00:17.880]   as well as the thinking behind them.
[00:00:17.880 --> 00:00:19.480]   I think that will help you both with
[00:00:19.480 --> 00:00:21.240]   the current work and also with
[00:00:21.240 --> 00:00:23.080]   subsequent assignments because they all
[00:00:23.080 --> 00:00:24.720]   follow similar rhythms and have
[00:00:24.720 --> 00:00:27.720]   a similar philosophy behind them.
[00:00:27.720 --> 00:00:30.120]   For this assignment, Bake-Off pairing,
[00:00:30.120 --> 00:00:33.120]   we're going to be doing multi-domain sentiment analysis.
[00:00:33.120 --> 00:00:36.220]   For the work, we're going to be in Jupyter Notebooks.
[00:00:36.220 --> 00:00:38.760]   We're going to be fitting classifiers with Scikit-learn,
[00:00:38.760 --> 00:00:40.800]   as well as fine-tuning parameters
[00:00:40.800 --> 00:00:43.180]   that we load in with Hugging Face Code.
[00:00:43.180 --> 00:00:46.040]   If that's new to you or if you need a refresher,
[00:00:46.040 --> 00:00:47.400]   I would encourage you to check out
[00:00:47.400 --> 00:00:48.740]   the materials that are linked from
[00:00:48.740 --> 00:00:50.600]   this page of the course site.
[00:00:50.600 --> 00:00:52.560]   We have a lot of stuff there for you,
[00:00:52.560 --> 00:00:55.880]   including basic tools, deep background stuff
[00:00:55.880 --> 00:00:59.600]   on scientific computing in Python and PyTorch,
[00:00:59.600 --> 00:01:01.800]   working in Jupyter Notebooks.
[00:01:01.800 --> 00:01:04.280]   This final notebook here will really help you work
[00:01:04.280 --> 00:01:07.640]   productively in the context of our course code base,
[00:01:07.640 --> 00:01:10.400]   which offers lots of starter code that can help you
[00:01:10.400 --> 00:01:14.760]   fit powerful models with relatively little coding yourself.
[00:01:14.760 --> 00:01:17.400]   Then specifically for supervised learning,
[00:01:17.400 --> 00:01:18.720]   we have a lot of materials.
[00:01:18.720 --> 00:01:21.020]   Again, some deep background stuff
[00:01:21.020 --> 00:01:22.860]   on supervised learning in general,
[00:01:22.860 --> 00:01:24.960]   and then a lot of materials that are actually
[00:01:24.960 --> 00:01:27.400]   oriented toward sentiment analysis.
[00:01:27.400 --> 00:01:29.720]   We've got videos and slideshows,
[00:01:29.720 --> 00:01:31.540]   as well as notebooks that will help you
[00:01:31.540 --> 00:01:34.160]   get hands-on with the material.
[00:01:34.160 --> 00:01:37.560]   Again, if this is new to you or if you need a refresher,
[00:01:37.560 --> 00:01:40.160]   I would encourage you to check out these materials,
[00:01:40.160 --> 00:01:42.200]   and they will get you to the point where you can work
[00:01:42.200 --> 00:01:46.360]   productively on this first assignment and bake-off.
[00:01:46.360 --> 00:01:49.180]   The task setting, as I said,
[00:01:49.180 --> 00:01:51.260]   is multi-domain sentiment analysis.
[00:01:51.260 --> 00:01:53.600]   We're going to pose this as a ternary problem,
[00:01:53.600 --> 00:01:57.120]   so we'll have labels positive, negative, and neutral.
[00:01:57.120 --> 00:01:59.280]   For training and development,
[00:01:59.280 --> 00:02:02.040]   we're going to offer you three major resources.
[00:02:02.040 --> 00:02:05.440]   Dynascent Round 1 is a large dataset of
[00:02:05.440 --> 00:02:08.060]   naturally occurring sentences that were labeled
[00:02:08.060 --> 00:02:11.320]   with ternary sentiment by crowd workers.
[00:02:11.320 --> 00:02:14.940]   Dynascent Round 2 is a somewhat smaller dataset that
[00:02:14.940 --> 00:02:16.960]   consists of examples that were written from
[00:02:16.960 --> 00:02:19.300]   scratch by crowd workers in
[00:02:19.300 --> 00:02:22.600]   an effort to fool a top-performing sentiment model.
[00:02:22.600 --> 00:02:26.480]   Again, they were validated separately by crowd workers.
[00:02:26.480 --> 00:02:28.680]   Then the Stanford Sentiment Treebank
[00:02:28.680 --> 00:02:31.000]   is a classic sentiment dataset.
[00:02:31.000 --> 00:02:33.240]   It's released in a five-label format,
[00:02:33.240 --> 00:02:35.960]   and we have reformatted it slightly to conform
[00:02:35.960 --> 00:02:39.000]   to the ternary sentiment specification.
[00:02:39.000 --> 00:02:41.200]   Those are resources that you have available
[00:02:41.200 --> 00:02:43.120]   to you for training and development.
[00:02:43.120 --> 00:02:46.500]   All of this is oriented around entering our bake-off.
[00:02:46.500 --> 00:02:48.240]   For the bake-off test set,
[00:02:48.240 --> 00:02:50.720]   you're going to have examples drawn from
[00:02:50.720 --> 00:02:53.260]   the test sets from those above resources,
[00:02:53.260 --> 00:02:55.000]   as well as a set of
[00:02:55.000 --> 00:02:59.000]   mystery examples whose origins are unknown to you.
[00:02:59.000 --> 00:03:01.060]   The idea here is that we're going to pose
[00:03:01.060 --> 00:03:04.840]   a hard sentiment task to give you
[00:03:04.840 --> 00:03:08.080]   a real sense for how your system generalizes even to
[00:03:08.080 --> 00:03:10.640]   examples that are unlike the ones that you could
[00:03:10.640 --> 00:03:12.000]   anticipate when you were doing
[00:03:12.000 --> 00:03:15.560]   training and other kinds of development.
[00:03:15.560 --> 00:03:18.120]   In that spirit, I want to make
[00:03:18.120 --> 00:03:20.880]   an important methodological note.
[00:03:20.880 --> 00:03:24.640]   The Dynasent and SSD test sets are public.
[00:03:24.640 --> 00:03:27.720]   That means you have the labels for all of those examples.
[00:03:27.720 --> 00:03:30.480]   We are counting on people not to cheat in
[00:03:30.480 --> 00:03:34.520]   the bake-off by developing their models on those test sets.
[00:03:34.520 --> 00:03:36.640]   Evaluate exactly once on
[00:03:36.640 --> 00:03:38.540]   the test set and turn in the results with
[00:03:38.540 --> 00:03:41.000]   no further system tuning or additional runs.
[00:03:41.000 --> 00:03:43.440]   It is a sin in our field to do
[00:03:43.440 --> 00:03:45.200]   any kind of model selection
[00:03:45.200 --> 00:03:47.320]   based on performance on the test set.
[00:03:47.320 --> 00:03:49.680]   The idea is that you run
[00:03:49.680 --> 00:03:52.940]   your system once on the test set and submit the results.
[00:03:52.940 --> 00:03:55.120]   Much of the scientific integrity of
[00:03:55.120 --> 00:03:58.280]   our field depends on people adhering to this honor code.
[00:03:58.280 --> 00:04:00.820]   The function of a test set is to give us
[00:04:00.820 --> 00:04:03.080]   a true glimpse of how your system
[00:04:03.080 --> 00:04:04.800]   performs on examples that
[00:04:04.800 --> 00:04:06.960]   were unseen during system development.
[00:04:06.960 --> 00:04:08.720]   You have to keep that test set
[00:04:08.720 --> 00:04:11.320]   under lock and key until the very end.
[00:04:11.320 --> 00:04:14.160]   We can guarantee that for our mystery examples,
[00:04:14.160 --> 00:04:15.840]   but not for the examples that are
[00:04:15.840 --> 00:04:17.520]   drawn from these public test sets.
[00:04:17.520 --> 00:04:21.240]   We need to rely on this honor code.
[00:04:21.240 --> 00:04:24.880]   That's the background stuff.
[00:04:24.880 --> 00:04:26.720]   What we're going to start doing now is
[00:04:26.720 --> 00:04:28.840]   walking through the notebook itself.
