
[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:00:10.000 --> 00:00:15.000]   Welcome, everyone, to the fourth edition of Bogleheads on Investing.
[00:00:15.000 --> 00:00:20.000]   In today's episode, we'll be speaking with Christine Benz of Morningstar.
[00:00:20.000 --> 00:00:24.000]   Christine is a certified financial planner
[00:00:24.000 --> 00:00:28.000]   and is the director of personal finance at Morningstar.
[00:00:28.000 --> 00:00:38.000]   [MUSIC]
[00:00:38.000 --> 00:00:40.000]   Hello, everyone. My name is Rick Ferry.
[00:00:40.000 --> 00:00:43.000]   I am the host of Bogleheads on Investing.
[00:00:43.000 --> 00:00:51.000]   This podcast is brought to you by the John C. Bogle Center for Financial Literacy,
[00:00:51.000 --> 00:00:54.000]   a 501(c)(3) corporation.
[00:00:54.000 --> 00:01:00.000]   Today, our special guest is Christine Benz, who holds a certified financial planner certificate
[00:01:00.000 --> 00:01:04.000]   and is the director of personal finance at Morningstar.
[00:01:04.000 --> 00:01:08.000]   Christine has been with Morningstar for over 25 years.
[00:01:08.000 --> 00:01:11.000]   She started as an analyst and an editor.
[00:01:11.000 --> 00:01:16.000]   She serves as the director of Morningstar's mutual fund analysis
[00:01:16.000 --> 00:01:19.000]   and is the author of several books.
[00:01:19.000 --> 00:01:23.000]   So with no further ado, let's get to Christine.
[00:01:23.000 --> 00:01:27.000]   Today, we have with us Christine Benz, who is a Bogleheads favorite.
[00:01:27.000 --> 00:01:30.000]   I want to welcome you to our podcast, Christine.
[00:01:30.000 --> 00:01:32.000]   Thank you for being on the show.
[00:01:32.000 --> 00:01:35.000]   Well, Rick, it's my pleasure, and it's my pleasure to have gotten to know you
[00:01:35.000 --> 00:01:38.000]   through the great Bogleheads organization.
[00:01:38.000 --> 00:01:39.000]   Great. Thanks.
[00:01:39.000 --> 00:01:41.000]   I have a lot of questions for you today,
[00:01:41.000 --> 00:01:50.000]   and I'm looking towards you to be my go-to person for what to do year-end 2018.
[00:01:50.000 --> 00:01:57.000]   There's been a big tax law change that took place that affected a lot of things we do in 2018.
[00:01:57.000 --> 00:02:02.000]   The first thing I'd like you to do, if you could, is talk a little bit about the tax law changes,
[00:02:02.000 --> 00:02:08.000]   how it affects investors, and then what should we be doing this year,
[00:02:08.000 --> 00:02:12.000]   year-end tax planning, based on these tax law changes.
