
[00:00:00.000 --> 00:00:06.000]   Welcome back everyone.
[00:00:06.000 --> 00:00:09.360]   This is part seven in our series on contextual representations.
[00:00:09.360 --> 00:00:12.520]   We're going to talk about the Electra model.
[00:00:12.520 --> 00:00:17.000]   Recall that I finished the BERT screencast by listing out some known limitations of that
[00:00:17.000 --> 00:00:18.000]   model.
[00:00:18.000 --> 00:00:22.340]   Roberta addressed item one on that list and we can think of Electra as keying into items
[00:00:22.340 --> 00:00:24.080]   two and three.
[00:00:24.080 --> 00:00:25.680]   Item two is about the mask token.
[00:00:25.680 --> 00:00:30.160]   The BERT team observed that they had created a mismatch between the pre-training and fine
[00:00:30.160 --> 00:00:35.560]   tuning vocabularies because the mask token is never seen during fine tuning, only during
[00:00:35.560 --> 00:00:41.660]   training and you could think that that mismatch might reduce the effectiveness of the model.
[00:00:41.660 --> 00:00:43.240]   Item three is about efficiency.
[00:00:43.240 --> 00:00:50.520]   The BERT team observed that the MLM objective means that they only use around 15% of tokens
[00:00:50.520 --> 00:00:52.240]   when they are training.
[00:00:52.240 --> 00:00:56.240]   Only 15% of them even contribute to the MLM objective.
[00:00:56.240 --> 00:01:00.420]   We have to do all this work of processing every item in the sequence, but we get very
[00:01:00.420 --> 00:01:03.240]   few learning signals from that process.
[00:01:03.240 --> 00:01:06.760]   And that's certainly data inefficient and we might think about finding ways to make
[00:01:06.760 --> 00:01:10.680]   more use of the available data.
[00:01:10.680 --> 00:01:12.800]   Electra is going to make progress on both these fronts.
[00:01:12.800 --> 00:01:16.160]   Let's explore the core model structure.
[00:01:16.160 --> 00:01:21.000]   For our example, we have this input sequence X, the chef cooked the meal.
[00:01:21.000 --> 00:01:26.200]   The first thing we do is create X masked, which is a masked version of that input sequence.
[00:01:26.200 --> 00:01:31.040]   And we could do that using the same protocol as they use for BERT by masking out, say,
[00:01:31.040 --> 00:01:34.280]   15% of the tokens at random.
[00:01:34.280 --> 00:01:35.560]   Then we have our generator.
[00:01:35.560 --> 00:01:42.880]   This is a small BERT-like model that processes that input and produces what we call X corrupt.
[00:01:42.880 --> 00:01:45.800]   This is an output sequence predicted by the model.
[00:01:45.800 --> 00:01:50.780]   And the twist here is that we're going to replace some of those tokens not with their
[00:01:50.780 --> 00:01:56.120]   original inputs, but rather with tokens that come out with probabilities proportional to
[00:01:56.120 --> 00:01:58.160]   the probability generators.
[00:01:58.160 --> 00:02:03.120]   And what that means is that sometimes we'll replace with the actual input token and sometimes
[00:02:03.120 --> 00:02:09.200]   with a different token, like in this case of cooked coming in, being replaced by eight.
[00:02:09.200 --> 00:02:13.040]   That is where Electra, the discriminator, takes over.
[00:02:13.040 --> 00:02:17.800]   The job of the discriminator, which is really the heart of the Electra model, is to figure
[00:02:17.800 --> 00:02:24.600]   out which of those tokens in X corrupt is an original and which was replaced.
[00:02:24.600 --> 00:02:29.400]   So we train this model jointly with the generator and a weighted version of the discriminator
[00:02:29.400 --> 00:02:31.960]   or Electra objective.
[00:02:31.960 --> 00:02:37.200]   And then, essentially, we can allow the generator to drop away and focus on the discriminator
[00:02:37.200 --> 00:02:42.280]   as the primary pre-trained artifact from this process.
[00:02:42.280 --> 00:02:46.800]   One thing that I really love about the Electra paper is that it includes very rich studies
[00:02:46.800 --> 00:02:50.720]   of how best to set up the Electra model itself.
[00:02:50.720 --> 00:02:55.360]   I'll review some of that evidence here, starting with the relationship that they uncover between
[00:02:55.360 --> 00:02:58.280]   the generator and the discriminator.
[00:02:58.280 --> 00:02:59.680]   First thing is an observation.
[00:02:59.680 --> 00:03:04.440]   Where the generator and discriminator are the same size, they could, in principle, share
[00:03:04.440 --> 00:03:06.640]   their transformer parameters.
[00:03:06.640 --> 00:03:09.800]   And the team found that more sharing is indeed better.
[00:03:09.800 --> 00:03:15.640]   However, the best results come from having a generator that is small compared to the
[00:03:15.640 --> 00:03:18.880]   discriminator, which means less sharing.
