
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:13.520]   - Welcome back to Ask the Compound,
[00:00:13.520 --> 00:00:16.520]   where we've gotten 734 questions this year.
[00:00:16.520 --> 00:00:18.560]   I made that number up, but it's gotta be pretty close.
[00:00:18.560 --> 00:00:20.640]   - Okay, I was about to say, wow, you counted.
[00:00:20.640 --> 00:00:21.480]   - It's probably pretty close.
[00:00:21.480 --> 00:00:23.720]   I bet we get five or six questions a week.
[00:00:23.720 --> 00:00:26.840]   Remember, it's askthecompound@gmail.com,
[00:00:26.840 --> 00:00:29.040]   askthecompoundshow@gmail.com.
[00:00:29.040 --> 00:00:30.760]   - That's it. - Getting all these emails
[00:00:30.760 --> 00:00:31.600]   mixed up.
[00:00:31.600 --> 00:00:34.960]   Today's Ask the Compound is brought to you
[00:00:34.960 --> 00:00:36.720]   by our friends at Bird Dogs.
[00:00:36.720 --> 00:00:39.400]   Duncan, big news in Bird Dogs this week.
[00:00:39.400 --> 00:00:41.200]   I noticed, they sent me an email.
[00:00:41.200 --> 00:00:43.080]   I'm on the email list, obviously.
[00:00:43.080 --> 00:00:44.200]   They know me.
[00:00:44.200 --> 00:00:45.040]   They've got some new colors.
[00:00:45.040 --> 00:00:46.840]   My favorite kind of shorts are,
[00:00:46.840 --> 00:00:48.640]   they have the gym shorts, they have the khaki shorts.
[00:00:48.640 --> 00:00:51.640]   These are the khakis, 'cause they have the little belt loops.
[00:00:51.640 --> 00:00:53.880]   I haven't had to use the belt loops yet.
[00:00:53.880 --> 00:00:57.120]   But new colors, so we have three of 'em.
[00:00:57.120 --> 00:01:01.280]   I liked the mint green, and I don't know, is it salmon?
[00:01:01.280 --> 00:01:02.320]   It's called orange blossom.
[00:01:02.320 --> 00:01:03.600]   - Oh, wow, that's bold.
[00:01:03.600 --> 00:01:04.560]   That's bold of you.
[00:01:04.560 --> 00:01:05.400]   - I don't mind taking bold colors in the summer.
[00:01:05.400 --> 00:01:07.400]   - I like the blue, the blue's my favorite.
