
[00:00:00.000 --> 00:00:14.000]   [ Music ]
[00:00:14.000 --> 00:00:19.480]   [ Silence ]
[00:00:19.480 --> 00:00:25.480]   [ Applause ]
[00:00:25.480 --> 00:00:26.340]   >> All right.
[00:00:26.340 --> 00:00:28.940]   So you probably don't realize
[00:00:29.000 --> 00:00:30.200]   that right now you're actually looking
[00:00:30.200 --> 00:00:31.120]   at something quite rare
[00:00:31.120 --> 00:00:36.740]   because I am a millennial computer scientist book author
[00:00:36.740 --> 00:00:38.780]   standing on a TED stage
[00:00:38.780 --> 00:00:40.880]   and yet I've never had a social media account.
[00:00:40.880 --> 00:00:45.200]   How this happened was actually somewhat random.
[00:00:45.200 --> 00:00:48.000]   You know, social media first came onto my radar when I was
[00:00:48.000 --> 00:00:49.620]   at college, my sophomore year of college.
[00:00:49.620 --> 00:00:52.040]   This is when Facebook arrived at our campus.
[00:00:52.040 --> 00:00:55.500]   And at the time, which was right after the first dot com bust,
[00:00:55.500 --> 00:00:57.820]   I had had a dorm room business.
[00:00:57.820 --> 00:01:00.020]   I had had to shut it down in the bust.
[00:01:00.020 --> 00:01:03.280]   And then suddenly this other kid from Harvard named Mark had this
[00:01:03.280 --> 00:01:05.300]   product called Facebook and people were getting excited
[00:01:05.300 --> 00:01:05.700]   about it.
[00:01:05.700 --> 00:01:06.920]   So it was sort of a fit
[00:01:06.920 --> 00:01:09.340]   of somewhat immature professional jealousy.
[00:01:09.340 --> 00:01:10.420]   I said I'm not going to use this thing.
[00:01:10.420 --> 00:01:12.220]   I'm not going to help this kid's business.
[00:01:12.220 --> 00:01:13.220]   What's it ever going to amount to?
[00:01:13.220 --> 00:01:16.580]   So as I go along my life, I look up not long later and I see
[00:01:16.580 --> 00:01:18.220]   that everyone I know is really hooked on this thing.
[00:01:18.220 --> 00:01:22.100]   And from the clarity you can get when you have some objectivity,
[00:01:22.100 --> 00:01:25.020]   some perspective on it, I realized this seems a little
[00:01:25.020 --> 00:01:26.140]   bit dangerous so I never signed up.
[00:01:26.660 --> 00:01:28.020]   I've never had a social media account since.
[00:01:28.020 --> 00:01:30.660]   So I'm here for two reasons.
[00:01:30.660 --> 00:01:32.480]   I want to deliver two messages.
[00:01:32.480 --> 00:01:34.560]   The first message I want to deliver is
[00:01:34.560 --> 00:01:38.600]   that even though I've never had a social media account, I'm okay.
[00:01:38.600 --> 00:01:39.860]   You don't have to worry.
