
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.100]   - First use case I thought about this,
[00:00:08.100 --> 00:00:10.720]   that an average person might be preparing for an interview
[00:00:10.720 --> 00:00:12.280]   is in a job setting, right?
[00:00:12.280 --> 00:00:14.000]   I'm looking for a job, I'm going in.
[00:00:14.000 --> 00:00:15.360]   I know at some point someone's gonna say,
[00:00:15.360 --> 00:00:17.560]   "All right, what questions do you have for me?"
[00:00:17.560 --> 00:00:19.880]   You know, my initial advice after reading your book was,
[00:00:19.880 --> 00:00:22.040]   well, you should try to get to that point at the end
[00:00:22.040 --> 00:00:22.880]   with never having, you know,
[00:00:22.880 --> 00:00:24.040]   you have such a good conversation
[00:00:24.040 --> 00:00:26.520]   that you don't even leave time for the questions.
[00:00:26.520 --> 00:00:28.800]   How would you advise someone thinking about
[00:00:28.800 --> 00:00:30.080]   that kind of professional setting
[00:00:30.080 --> 00:00:31.640]   where they have time to prepare?
[00:00:31.640 --> 00:00:34.000]   - Okay, let me give you one.
[00:00:34.000 --> 00:00:36.400]   What questions do you have for me?
[00:00:36.400 --> 00:00:39.400]   The natural next step might be to say,
[00:00:39.400 --> 00:00:41.760]   how many hours do we work here, right?
[00:00:41.760 --> 00:00:43.840]   Now you're coming across as a needy person
[00:00:43.840 --> 00:00:46.720]   trying to understand, it makes you,
[00:00:46.720 --> 00:00:47.600]   it's hard for me to say this,
[00:00:47.600 --> 00:00:49.200]   but if you keep asking questions,
[00:00:49.200 --> 00:00:51.080]   you come across as an inferior.
[00:00:51.080 --> 00:00:54.680]   Versus saying, now tell me about the hours at work here.
[00:00:54.680 --> 00:00:57.160]   Talk a little bit about what's expected from us
[00:00:57.160 --> 00:00:58.560]   in our off hours.
[00:00:58.560 --> 00:01:00.880]   Talk a little bit about how we connect
[00:01:00.880 --> 00:01:02.640]   to each other in the company instead of,
[00:01:02.640 --> 00:01:04.280]   so how do we connect to each other?
[00:01:04.280 --> 00:01:06.840]   So what you're doing, and this is one example,
[00:01:06.840 --> 00:01:09.360]   is directing the person.
[00:01:09.360 --> 00:01:14.040]   Directing gives them the confidence that you can lead them,
[00:01:14.040 --> 00:01:16.040]   that you could lead them through the conversation
[00:01:16.040 --> 00:01:18.320]   and also that you can lead at the job.
[00:01:18.320 --> 00:01:20.160]   And so that's a good example of me saying,
[00:01:20.160 --> 00:01:21.120]   shouldn't be a question.
[00:01:21.120 --> 00:01:24.400]   Sometimes you just need to make a statement, take control.
[00:01:24.400 --> 00:01:26.200]   In my book, "Stop Asking Questions,"
[00:01:26.200 --> 00:01:29.760]   I gave the example of how Olivia and my wife and my family
[00:01:29.760 --> 00:01:32.040]   went on these tours of national parks.
[00:01:32.040 --> 00:01:33.360]   And if we would ever have a tour guide
[00:01:33.360 --> 00:01:34.520]   who would walk around and go,
[00:01:34.520 --> 00:01:36.000]   do you wanna turn right or left?
[00:01:36.000 --> 00:01:36.880]   What do you like to see?
[00:01:36.880 --> 00:01:38.600]   Do you like to see this track or that?
[00:01:38.600 --> 00:01:39.840]   And it's too much.
[00:01:39.840 --> 00:01:41.000]   You're the expert.
[00:01:41.000 --> 00:01:42.360]   Say, and now we're gonna turn left
