
[00:00:00.000 --> 00:00:02.660]   (beeping)
[00:00:02.660 --> 00:00:05.240]   (upbeat music)
[00:00:05.240 --> 00:00:18.100]   - Welcome back to Portfolio Rescue.
[00:00:18.100 --> 00:00:19.260]   This is our show where we take questions
[00:00:19.260 --> 00:00:20.720]   from you the viewers.
[00:00:20.720 --> 00:00:22.780]   Every week our inbox is full of questions from you.
[00:00:22.780 --> 00:00:24.100]   A lot of good ones, sometimes we get them from the chat.
[00:00:24.100 --> 00:00:26.100]   We had a bunch of live people in the chat here today.
[00:00:26.100 --> 00:00:28.100]   Thanks everyone for joining us.
[00:00:28.100 --> 00:00:28.940]   Remember if you have a question,
[00:00:28.940 --> 00:00:31.080]   askthecompoundshow@gmail.com.
[00:00:31.080 --> 00:00:32.660]   Duncan, it's been a kind of a rough year
[00:00:32.660 --> 00:00:34.100]   for US stocks and bonds.
[00:00:34.100 --> 00:00:35.880]   So John, let's throw up the chart here just to show.
[00:00:35.880 --> 00:00:38.840]   This is a year to date returns for the S&P 500
[00:00:38.840 --> 00:00:42.140]   and the Barclays Aggregate Bond Index.
[00:00:42.140 --> 00:00:44.240]   S&P's down 6% or so.
[00:00:44.240 --> 00:00:46.120]   Bonds actually down worse than stocks right now.
[00:00:46.120 --> 00:00:49.040]   They're also down a little more than 6%.
[00:00:49.040 --> 00:00:49.940]   This is pretty rare.
[00:00:49.940 --> 00:00:52.400]   So I looked back until the 1920s.
[00:00:52.400 --> 00:00:54.520]   When does this happen that stocks and bonds in the US
[00:00:54.520 --> 00:00:56.320]   are down in the same year?
[00:00:56.320 --> 00:00:58.360]   It's happened four times in history since the late 1920s.
[00:00:58.360 --> 00:01:03.360]   1931, 1941, 1969, and 2018, just barely.
[00:01:03.360 --> 00:01:06.240]   Bonds were down just a smidge.
[00:01:06.240 --> 00:01:09.160]   I actually wrote a eulogy for the 60/40 portfolio
[00:01:09.160 --> 00:01:11.300]   back in 2019 because it's getting killed every year
[00:01:11.300 --> 00:01:12.920]   since 2008 basically.
[00:01:12.920 --> 00:01:14.520]   Is the 60/40 dead, is it dead?
[00:01:14.520 --> 00:01:16.720]   And I always say, if the 60/40 is dead,
[00:01:16.720 --> 00:01:17.960]   that means diversification is dead.
[00:01:17.960 --> 00:01:19.920]   So people say, all right, this year it's really dead, right?
[00:01:19.920 --> 00:01:21.320]   It's gotta be dead.
[00:01:21.320 --> 00:01:24.600]   Well, my counterpoint to this is diversification
[00:01:24.600 --> 00:01:27.440]   might not protect you over days, weeks, months,
[00:01:27.440 --> 00:01:30.480]   or even years, but long-term returns of the owns that matter
[00:01:30.480 --> 00:01:33.200]   and the long-term returns for a 60/40 portfolio
[00:01:33.200 --> 00:01:34.040]   have still been pretty good.
[00:01:34.040 --> 00:01:36.120]   I looked it up today, 60/40 portfolio in the US
[00:01:36.120 --> 00:01:38.400]   over the last 10 years, up 10% per year,
[00:01:38.400 --> 00:01:39.440]   including this year.
[00:01:39.440 --> 00:01:40.280]   - Pretty good.
[00:01:40.280 --> 00:01:43.140]   - I'm sorry, but you don't get 10% a year for a decade
[00:01:43.140 --> 00:01:44.480]   and not expect to see something like this
[00:01:44.480 --> 00:01:47.020]   where you get a 5% drawdown in a few months.
[00:01:47.020 --> 00:01:47.960]   That's how this works.
[00:01:47.960 --> 00:01:50.600]   There has to be the risk of a year like 2022
[00:01:50.600 --> 00:01:52.720]   to get decent returns over the long haul, right?
[00:01:52.720 --> 00:01:54.400]   I think it just has to be this way.
[00:01:54.400 --> 00:01:55.360]   So I don't think that this year
[00:01:55.360 --> 00:01:56.880]   means the markets are broken.
[00:01:56.880 --> 00:01:58.920]   It means we're in kind of a strange environment.
[00:01:58.920 --> 00:02:00.020]   Interest rates are rising
[00:02:00.020 --> 00:02:01.280]   at the same time stocks are falling
[00:02:01.280 --> 00:02:04.320]   and maybe stocks are falling because rates are rising,
[00:02:04.320 --> 00:02:06.160]   but I think this is just the way it has to be.
[00:02:06.160 --> 00:02:08.040]   You have to have this short-term risk
[00:02:08.040 --> 00:02:09.840]   to get the long-term gains over the long-term.
[00:02:09.840 --> 00:02:10.760]   That's how it works.
[00:02:10.760 --> 00:02:12.760]   - Yeah, I mean, your chart that you shared the other day
[00:02:12.760 --> 00:02:15.080]   in an article was what, a savings account
[00:02:15.080 --> 00:02:18.440]   is yielding 0.06% on average or something, yeah.
[00:02:18.440 --> 00:02:20.400]   - Right, yeah, so unfortunately,
[00:02:20.400 --> 00:02:25.200]   with rates still being relatively low, even in bonds,
[00:02:25.200 --> 00:02:26.680]   you're gonna have to accept some volatility
[00:02:26.680 --> 00:02:27.640]   or in returns over the long-term.
[00:02:27.640 --> 00:02:29.800]   That's like the trade-off right now.
[00:02:29.800 --> 00:02:32.360]   All right, let's do our first question here.
[00:02:32.360 --> 00:02:35.600]   - Okay, so up first, we have a short and sweet one.
[00:02:35.600 --> 00:02:37.880]   Is there any way to prep for stagflation?
[00:02:37.880 --> 00:02:39.400]   Any actionable ideas?
[00:02:39.400 --> 00:02:43.720]   - Duncan, do you know what stagflation is?
[00:02:43.720 --> 00:02:44.800]   It's like a bachelor party, right?
[00:02:44.800 --> 00:02:46.620]   - Not well enough to explain it well.
[00:02:46.620 --> 00:02:50.200]   - All right, Larry Summers said this the other day
[00:02:50.200 --> 00:02:52.840]   of social network fame.
[00:02:52.840 --> 00:02:54.440]   The Fed's current policy trajectory
[00:02:54.440 --> 00:02:55.840]   is likely to lead to stagflation
[00:02:55.840 --> 00:02:57.200]   with average unemployment and inflation,
[00:02:57.200 --> 00:02:59.840]   both averaging over 5% over the next few years
[00:02:59.840 --> 00:03:01.820]   and ultimately a major recession.
