
[00:00:00.040 --> 00:00:10.460]   happen
[00:01:54.880 --> 00:01:54.880]   and
[00:02:23.600 --> 00:02:24.840]   pre-summarization of the law is not a good thing. It's a little bit more expensive than the law. It's not a good thing to do. It's a little bit more expensive than the law. And hopefully that will help you to fare a little bit better. See, a lot of this type of planning is defensive risk management planning. It's insurance planning. But it's not about buying an insurance policy. It's about the things that you can do to prepare yourself for when everything goes wrong. Things go wrong in everybody's life. But depending on our level of preparation for those things, the impact is different.
[00:02:24.880 --> 00:02:31.240]   just
[00:02:31.240 --> 00:02:36.160]   Hudson I not in Z estim
[00:02:53.580 --> 00:02:56.020]   Recovery
[00:02:56.020 --> 00:03:22.600]  ,
[00:03:23.600 --> 00:03:31.120]   used
[00:03:31.120 --> 00:03:35.540]   de and's
[00:06:10.160 --> 00:06:17.200]   thank
[00:06:17.200 --> 00:06:21.040]   buy a just
[00:06:21.040 --> 00:06:38.040]  繼續leg or,,,,,,,,,, it's the railop the show at theoc the herpeł the第二個產 của�Sean turbulent. You're cảm Chun EQI. I. I,I, .T,fin. I, over. E, ground. I,ując,
[00:06:38.040 --> 00:06:39.740]   Good.,.',.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, even planet of the already they'll be only исслед at learl i't​ the��
[00:06:39.880 --> 00:06:44.280]   and by the shock of the situation they're much more likely to be able to continue to function.
[00:06:44.280 --> 00:06:48.400]   It's not guaranteed, but it's a much higher likelihood.
[00:06:48.400 --> 00:06:50.280]   And there are various ways to do that.
[00:06:50.280 --> 00:06:53.400]   You can do it with an all out practice and a rehearsal.
[00:06:53.400 --> 00:06:59.520]   So that's what people in those difficult and stressful environments will do is they'll rehearse again and again physically rehearse.
[00:06:59.520 --> 00:07:01.980]   But you can also do it just mentally.
[00:07:01.980 --> 00:07:09.600]   You can just think through some things and at least having thought through something will make it much more likely that everything's going to be fine.
[00:07:09.640 --> 00:07:37.860]   con
[00:07:37.860 --> 00:07:38.540]   19 cord,,,,, I have recognise minimize Dustin I have a love. -Like -G -G - G - prove wake when you're a của 우 projection, and, in the level, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, and I'm,ありがとうございました in the Windows Please deconstmost garlic Milk 방법 Hoff đây이었 scrap轉wyeté slight Building habits NA demost confessed Metro tasty siaав� creator ES consequenceändуса realisticう Z 영화还有स process weigh coijke法 blossomilen look ^Gにな gest hoardilia trail wants
[00:07:38.560 --> 00:08:07.480]   didnt I'll be a little bit more specific in the context of the last two episodes. I'm just telling myself, breathe, relax, breathe, relax. Now, of course, I'm no, nothing special, but just thinking of it in advance is my point. It'll help you to it. And being laid off or being fired is a tough situation. I remember very keenly what it was like to be laid off. It was, it's emotionally devastating. It's tough because it attacks your self-confidence. No matter how much you can justify it, you still have a tendency to feel worthless.
[00:08:07.480 --> 00:08:07.480]   It's tough because it attacks your self-confidence. No matter how much you can justify it, you still have a tendency to feel worthless.
[00:08:07.480 --> 00:08:07.480]   It's tough because it attacks your self-confidence. No matter how much you can justify it, you still have a tendency to feel worthless.
[00:08:07.620 --> 00:08:37.420]  , it's tough because it attacks your self-confidence. No matter how much you can justify it, you still have a tendency to feel worthless.
[00:08:37.420 --> 00:08:37.420]   It's tough because it attacks your self-confidence. No matter how much you can justify it, you still have a tendency to feel worthless.
[00:08:37.420 --> 00:08:37.420]   It's tough because it attacks your self-confidence. No matter how much you can justify it, you still have a tendency to feel worthless.
[00:08:37.460 --> 00:08:47.120]   micros
[00:08:47.120 --> 00:08:48.440]  que soul plane lying
[00:08:48.440 --> 00:08:49.980]   S I As I A
[00:10:02.240 --> 00:10:30.380]   Над
[00:12:53.600 --> 00:13:05.420]  -s.
[00:13:05.420 --> 00:13:07.280]   I'm not saying that I'm not a good person.
[00:13:07.280 --> 00:13:08.840]   I'm not saying that I'm not a good person.
[00:13:08.840 --> 00:13:10.240]   I'm not saying that I'm not a good person.
[00:13:10.240 --> 00:13:11.780]   I'm not saying that I'm not a good person.
[00:13:11.780 --> 00:13:13.600]   I'm not saying that I'm not a good person.
[00:13:13.600 --> 00:13:15.760]   I'm not saying that I'm not a good person.
[00:13:15.760 --> 00:13:17.960]   I'm not saying that I'm not a good person.
[00:13:17.960 --> 00:13:20.280]   I'm not saying that I'm not a good person.
[00:13:20.280 --> 00:13:21.800]   I'm not saying that I'm not a good person.
[00:13:21.800 --> 00:13:23.560]   I'm not saying that I'm not a good person.
[00:13:51.220 --> 00:13:52.600]   .
[00:13:52.600 --> 00:13:53.600]   .
[00:13:53.600 --> 00:13:53.600]  : In my mind, thinking it through in advance allows you to escape the trap before it happens. You'll probably be blind-sighted. It'll probably upset you, but hopefully it'll only last for a couple of days. The emotional upset if you get laid off will hopefully only last for a couple of days instead of for weeks or months. Because months are devastating.
[00:13:53.640 --> 00:14:23.640]   .
[00:14:23.640 --> 00:14:53.680]  . .
[00:14:53.720 --> 00:14:56.100]   got
[00:14:56.100 --> 00:15:04.900]   of. K I,,,,,
[00:15:04.900 --> 00:15:11.140]  Filться about about all aristają dire digney spar視 'B, -You - Its - - - - - - - - -, -, -, -, the, in the, as, un, ihr, weigh, przeci DD you're, mourning93� hung the few
[00:15:11.140 --> 00:15:20.860]   requirements that's. That's thin: a
[00:15:20.860 --> 00:15:21.940]   Где the new
[00:15:22.540 --> 00:15:24.600]   How wealthy are you?
[00:15:24.600 --> 00:15:27.640]   If you were to compare your assets,
[00:15:27.640 --> 00:15:29.800]   your savings and your investments,
