
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:19.760]   Ralph's has all the freshest ingredients to embrace your traditions. Ralph's fresh for everyone.
[00:00:19.760 --> 00:00:23.000]   We've locked in low prices to help you save big storewide.
[00:00:23.000 --> 00:00:29.460]   Look for the locked in low prices tags and enjoy extra savings throughout the store. Ralph's fresh for everyone.
[00:00:29.940 --> 00:00:31.940]   Today we get tactical.
[00:00:31.940 --> 00:00:40.460]   How about some tools and tactics and tips and techniques to save money on groceries and hotel stays?
[00:00:57.380 --> 00:01:01.660]   Welcome to the Radical Personal Finance Podcast. My name is Josh Rasheeds. I'm your host.
[00:01:01.660 --> 00:01:05.260]   Today is Thursday, October the 2nd, 2014.
[00:01:05.260 --> 00:01:13.780]   And today we're going to talk about saving money on some very practical, very practical areas of finance.
[00:01:13.780 --> 00:01:20.460]   No mumbo-jumbo financial planning talk tonight or today. This is the morning. No mumbo-jumbo.
[00:01:20.460 --> 00:01:23.420]   Just some good useful techniques that we can immediately implement.
[00:01:23.420 --> 00:01:34.500]   I appreciate your being here. Today's show is going to be an interview show with a man named Josh Elledge,
[00:01:34.500 --> 00:01:41.700]   who is the, let's see, what was his title? Chief Executive Angel at SavingsAngel.com.
[00:01:41.700 --> 00:01:46.900]   And Josh has an interesting story. He is involved in the deals and couponing space.
[00:01:46.900 --> 00:01:58.300]   And there are a number of people in this space. If you pay much attention to the online world of basically saving money with coupons, deals and things like that,
[00:01:58.300 --> 00:02:03.100]   there are a number of websites in this space. And Josh was the first one that I was able to get on the show.
[00:02:03.100 --> 00:02:07.300]   I was excited to talk to him. And I'm going to bring other people on in the future as well.
[00:02:07.300 --> 00:02:10.300]   Hopefully this will be a good break for you from yesterday's show,
[00:02:10.300 --> 00:02:17.300]   which was some pretty intense discussion into the academic side of retirement distribution and the 4% rule.
[00:02:17.300 --> 00:02:22.300]   By the way, I received one comment on that show yesterday from a listener.
[00:02:22.300 --> 00:02:28.300]   And it just kind of made me realize that maybe I didn't do a good enough job setting up the show yesterday.
[00:02:28.300 --> 00:02:32.300]   If yesterday's show depressed you, don't let it depress you.
