
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:29.000]   Exclusions apply.
[00:00:29.000 --> 00:00:30.000]   See website for details.
[00:00:30.000 --> 00:00:31.000]   [DING]
[00:00:31.000 --> 00:00:33.000]   [LAUGHTER]
[00:00:33.000 --> 00:00:35.000]   It's Friday!
[00:00:35.000 --> 00:00:38.000]   [DING]
[00:00:38.000 --> 00:00:39.000]   [LAUGHTER]
[00:00:39.000 --> 00:00:40.000]   Q&A today.
[00:00:40.000 --> 00:00:41.000]   Welcome to the show.
[00:00:41.000 --> 00:00:45.000]   Today, I've got a bunch of questions lined up for you.
[00:00:45.000 --> 00:00:47.000]   Question number one, how do I figure out
[00:00:47.000 --> 00:00:50.000]   how much I can withdraw off of a portfolio
[00:00:50.000 --> 00:00:53.000]   if I want to leave behind 50% of the remaining balance
[00:00:53.000 --> 00:00:57.000]   after my death of a retirement portfolio?
[00:00:57.000 --> 00:00:59.000]   Question number two, how much money
[00:00:59.000 --> 00:01:02.000]   is too much money in tax-deferred accounts,
[00:01:02.000 --> 00:01:04.000]   and do I need to invest right away in order
[00:01:04.000 --> 00:01:07.000]   to take advantage of compound interest?
[00:01:07.000 --> 00:01:09.000]   Question number three, how do I figure out
[00:01:09.000 --> 00:01:12.000]   how to allocate a bond portfolio across all of my accounts,
[00:01:12.000 --> 00:01:15.000]   and which type of bond funds do I buy?
[00:01:15.000 --> 00:01:19.000]   Question number four, do I do a prepayment on a mortgage
[00:01:19.000 --> 00:01:21.000]   or invest the money and then pull off extra payments
[00:01:21.000 --> 00:01:23.000]   every couple of months?
[00:01:23.000 --> 00:01:27.000]   Question number five, help, I'm behind on my bills
[00:01:27.000 --> 00:01:29.000]   and I don't have much money.
[00:01:29.000 --> 00:01:30.000]   How do I get out of debt?
[00:01:30.000 --> 00:01:34.000]   Question number six, how do I apply the trivium
[00:01:34.000 --> 00:01:36.000]   to a new career?
[00:01:36.000 --> 00:01:40.000]   Question number seven, I have a bunch of dental expenses
[00:01:40.000 --> 00:01:41.000]   coming up.
[00:01:41.000 --> 00:01:45.000]   How do I make sure that I pay for those
[00:01:45.000 --> 00:01:47.000]   with my dental insurance without coming out of pocket
[00:01:47.000 --> 00:01:49.000]   with too much money?
[00:01:49.000 --> 00:01:52.000]   And finally, I have some different taxable accounts
[00:01:52.000 --> 00:01:54.000]   and different accounts with ShareBuilder.
[00:01:54.000 --> 00:01:56.000]   Should I sell those accounts in order to move
[00:01:56.000 --> 00:01:58.000]   to a different mutual fund company?
[00:01:58.000 --> 00:02:14.000]   (upbeat music)
[00:02:14.000 --> 00:02:16.000]   Welcome to the Radical Personal Finance Podcast.
[00:02:16.000 --> 00:02:19.000]   My name is Joshua Sheets, and today is Friday,
[00:02:19.000 --> 00:02:22.000]   November 14, 2014.
[00:02:22.000 --> 00:02:25.000]   Today we're doing a Q&A show, and I am going to cover
