
[00:00:00.000 --> 00:00:05.200]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.200 --> 00:00:09.920]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.920 --> 00:00:14.800]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.800 --> 00:00:18.000]   ♪ These are a few of my favorite things ♪
[00:00:18.000 --> 00:00:24.800]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.800 --> 00:00:27.200]   Ralphs. Fresh for everyone.
[00:00:27.200 --> 00:00:30.000]   ♪
[00:00:30.000 --> 00:00:36.800]   Today on the show, we're going to talk about some reasons to be thankful that you are alive today.
[00:00:36.800 --> 00:00:44.800]   It's the best time to be alive in the history of mankind. And today, I'll try to prove it to you.
[00:00:44.800 --> 00:01:00.800]   ♪
[00:01:00.800 --> 00:01:04.000]   Welcome to the Radical Personal Finance Podcast. My name is Joshua Sheets.
[00:01:04.000 --> 00:01:08.800]   And today is Thursday, December 4, 2014.
[00:01:08.800 --> 00:01:19.200]   Today, we talk about why this really is, truly, one of the greatest times to be alive in the history of the world.
[00:01:19.200 --> 00:01:22.400]   I'm going to try to give you a lot of examples that will help you to see it.
[00:01:22.400 --> 00:01:33.200]   ♪
[00:01:33.200 --> 00:01:38.800]   One of the things that you really have to learn to deal with when you get into the world of financial planning and personal finance
[00:01:38.800 --> 00:01:43.200]   is you have to figure out what is your perspective on the future.
[00:01:43.200 --> 00:01:48.000]   And this is tough because I could give you lists and lists of websites.
[00:01:48.000 --> 00:01:58.400]   And if you go to one website, you're going to become completely, utterly depressed at what's in store.
[00:01:58.400 --> 00:02:06.800]   And if you go to other sites and read other essays, you're going to be incredibly positive about what's in store.
[00:02:06.800 --> 00:02:12.600]   In my mind, I think the answer is not to be an optimist or a pessimist as such.
[00:02:12.600 --> 00:02:18.800]   The answer is not to say, "Well, this can't happen," or "This is guaranteed to happen,"
[00:02:18.800 --> 00:02:29.400]   but rather to try to look accurately at how things actually are, at what actually is happening.
[00:02:29.400 --> 00:02:33.600]   So today, we're going to talk about what actually is happening, the world that we actually do live in.
[00:02:33.600 --> 00:02:36.800]   And I hope it gives you a little bit of perspective.
[00:02:36.800 --> 00:02:39.600]   I'd planned to do this show within the context of Thanksgiving.
[00:02:39.600 --> 00:02:45.000]   And what was interesting was I had already planned this and written the outline for it.
[00:02:45.000 --> 00:02:55.400]   And then right after I finished writing the outline, I actually was finishing up the last part of the Tony Robbins book, "Money, Master the Game."
[00:02:55.400 --> 00:03:00.200]   And he put a section in there on this topic, and I thought he did a very good job with it.
[00:03:00.200 --> 00:03:06.800]   So I'm going to reference that in today's show in just a moment, read you two different pages from that section,
[00:03:06.800 --> 00:03:12.800]   because he did a really great job and showed me some technology I never even knew existed, which is amazing.
[00:03:12.800 --> 00:03:14.800]   So I hope you enjoy today's show.
[00:03:14.800 --> 00:03:17.200]   Real quick, if you'd like to get in touch with me, I'm always available.
[00:03:17.200 --> 00:03:21.400]   You can email me, Joshua@radicalpersonalfinance.com.
