
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:00:05.480 --> 00:00:14.480]   So this holiday season, they're celebrating hard-working small business owners with a chance to go to I Heart Radio Jingle Ball in Miami on December 16th.
[00:00:14.480 --> 00:00:19.000]   Nominate yourself or another small business owner for a chance to win a trip for two.
[00:00:19.000 --> 00:00:24.680]   Includes airfare, two-night hotel, tickets to the show, plus $1,000 in spending cash.
[00:00:24.680 --> 00:00:29.680]   For official rules and entry information, visit IHeartRadio.com/SmallBusiness.
[00:00:30.680 --> 00:00:33.680]   Today on the show, whole life insurance.
[00:00:55.680 --> 00:01:01.680]   Welcome to the Radical Personal Finance Podcast. My name is Joshua Sheets. This is episode 199.
[00:01:01.680 --> 00:01:05.680]   We finally get the whole life insurance. We're digging our way through the concepts of insurance.
[00:01:05.680 --> 00:01:08.680]   We're going to work our way through the five types of life insurance policies.
[00:01:08.680 --> 00:01:16.680]   And today I'm going to explain to you what whole life insurance is, how it works, what the policy options are.
[00:01:16.680 --> 00:01:20.680]   This will help you to be able to understand it as a useful financial tool.
[00:01:20.680 --> 00:01:27.680]   [Music]
[00:01:27.680 --> 00:01:42.680]   Many times the problem with people who enter in and start talking about insurance and start talking about different merits and the demerits of different courses of action is you don't fully understand – many people don't fully understand the nature of what it is that you're describing.
[00:01:42.680 --> 00:01:45.680]   And whole life insurance is kind of a complex beast.
[00:01:45.680 --> 00:01:50.680]   There are a lot of moving parts. Insurance is impenetrable for many people.
[00:01:50.680 --> 00:02:05.680]   And when you add in all of these ideas and these concepts that people aren't used to talking about – I'm going to talk about the non-forfeiture options and ordinary life and all of these different words – it can be a little bit intimidating to start to dig into this.
[00:02:05.680 --> 00:02:08.680]   But I'm not intimidated by it and so therefore you shouldn't be.
[00:02:08.680 --> 00:02:12.680]   And I'm going to explain it in plain language and lay this out.
[00:02:12.680 --> 00:02:18.680]   And so what we've been doing is proceeding in an orderly way across the spectrum of insurance.
[00:02:18.680 --> 00:02:24.680]   We started with what's the value of life insurance? Why should you have it? What are some of the uses? How do you figure out how much?
[00:02:24.680 --> 00:02:29.680]   Now we're working our way through the concept of different types of policies.
[00:02:29.680 --> 00:02:34.680]   Once we get through – and life insurance is a huge subject.
[00:02:34.680 --> 00:02:37.680]   Think about it this way just for me as a point of recognition.
[00:02:37.680 --> 00:02:41.680]   I hold a designation called a chartered life underwriter.
