
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:19.760]   Ralph's has all the freshest ingredients to embrace your traditions. Ralph's fresh for everyone.
[00:00:19.760 --> 00:00:23.000]   We've locked in low prices to help you save big storewide.
[00:00:23.000 --> 00:00:29.460]   Look for the locked in low prices tags and enjoy extra savings throughout the store. Ralph's fresh for everyone.
[00:00:30.460 --> 00:00:33.460]   Friday Q&A show today, four questions.
[00:00:33.460 --> 00:00:37.460]   Number one, my parents just bought an annuity. How do I figure out if they're getting screwed or not?
[00:00:37.460 --> 00:00:43.460]   Number two, I've got $20,000 to invest. Where should I put it?
[00:00:43.460 --> 00:00:47.460]   Number three, here's how I hacked the child labor laws.
[00:00:47.460 --> 00:00:54.460]   And number four, is tax loss harvesting worth it or is it a bunch of sales copy?
[00:00:54.460 --> 00:01:12.460]   Welcome to the Radical Personal Finance Podcast.
[00:01:12.460 --> 00:01:17.460]   My name is Joshua Sheets. This is episode 201 of the show.
[00:01:17.460 --> 00:01:19.460]   Thank you all so much for being here.
[00:01:19.460 --> 00:01:29.460]   I love doing these Q&A shows. If you'd like to get a question on a show like this and you'd like your question to have priority, make sure that you're a patron of the show.
[00:01:29.460 --> 00:01:34.460]   Details for that can be found at radicalpersonalfinance.com/patron.
[00:01:34.460 --> 00:01:43.460]   Radicalpersonalfinance.com/patron and you'll get priority for shows like this.
[00:01:43.460 --> 00:01:48.460]   But even – I still have a few of these that aren't patron shows – patron questions.
[00:01:48.460 --> 00:01:50.460]   I just thought they were good questions.
[00:01:50.460 --> 00:01:54.460]   So we're going to kick this off with a question here that comes in from Brandon.
[00:01:54.460 --> 00:02:02.460]   Brandon says this, "Joshua, just wondering if you've done any podcasts about annuities or an episode on what to look for and questions to ask when picking a financial advisor.
[00:02:02.460 --> 00:02:09.460]   My parents just moved to Florida last year and got wooed by an advisor that bought them dinner, gave them a free round of golf, etc., and now they're in an annuity.
[00:02:09.460 --> 00:02:18.460]   And I can't figure out how badly they're getting screwed, not because there's anything inherently wrong with annuities, but because the advisor is sadly not a fee-only advisor.
