
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:00:05.480 --> 00:00:14.480]   So this holiday season, they're celebrating hard-working small business owners with a chance to go to I Heart Radio Jingle Ball in Miami on December 16th.
[00:00:14.480 --> 00:00:19.000]   Nominate yourself or another small business owner for a chance to win a trip for two.
[00:00:19.000 --> 00:00:24.680]   Includes airfare, two-night hotel, tickets to the show, plus $1,000 in spending cash.
[00:00:24.680 --> 00:00:29.680]   For official rules and entry information, visit IHeartRadio.com/SmallBusiness.
[00:00:30.080 --> 00:00:34.120]   A lot of you have told me that you'd like to have a good financial advisor.
[00:00:34.120 --> 00:00:43.320]   And as I've mentioned many times on the show for all of you long-term listeners, that is the most difficult question that I have to answer is how do you find a good financial advisor?
[00:00:43.320 --> 00:00:47.920]   Well, today I'm going to be launching with an interview here a new sponsor for the show.
[00:00:47.920 --> 00:00:49.720]   The sponsor is called Paladin Registry.
[00:00:49.720 --> 00:00:53.040]   And the interview today is with the founder, Jack Waymire.
[00:00:53.040 --> 00:00:55.320]   He's a former financial advisor.
[00:00:55.320 --> 00:00:58.320]   Now he runs Paladin Registry and some other personal projects.
[00:00:58.680 --> 00:01:11.600]   And I believe this will be a very useful tool for many of you to at least try and see if it will help you to filter through the not so great financial advisor so that you can find a really great one.
[00:01:11.600 --> 00:01:19.440]   Somebody who can understand you and who can work with you over a long period of time to serve you in your journey to financial independence.
[00:01:19.440 --> 00:01:37.680]   Welcome to the Radical Personal Finance podcast.
[00:01:37.680 --> 00:01:39.320]   My name is Joshua Sheets and I'm your host.
[00:01:39.320 --> 00:01:40.720]   Thank you for being with me today.
[00:01:40.720 --> 00:01:43.520]   Thrilled to introduce this new sponsor.
[00:01:43.520 --> 00:01:48.680]   I've done a lot of looking, done a lot of vetting, spoken extensively with Jack and with his team.
[00:01:49.200 --> 00:01:50.720]   Asked around the industry.
[00:01:50.720 --> 00:01:52.880]   And I believe this will be a good one for you.
[00:01:52.880 --> 00:01:56.160]   Many of you want and need a financial advisor.
[00:01:56.160 --> 00:01:58.000]   Many of you are DIYers, which is cool.
[00:01:58.000 --> 00:02:03.240]   But today I'm going to give you a solution for how to find a great financial advisor.
[00:02:03.240 --> 00:02:13.520]   The reason that it's difficult to find a good financial advisor, you're going to hear Jack and me discuss extensively.
[00:02:13.520 --> 00:02:17.040]   But the reason is that almost anybody can get licensed.
