
[00:00:00.000 --> 00:00:03.000]   ♪ Bless him in the mornings ♪
[00:00:03.000 --> 00:00:05.000]   ♪ Come back Sunday morning ♪
[00:00:05.000 --> 00:00:08.000]   California's top casino and entertainment destination
[00:00:08.000 --> 00:00:11.000]   is now your California to Vegas connection.
[00:00:11.000 --> 00:00:14.000]   Play at Yamava Resort and Casino at San Manuel
[00:00:14.000 --> 00:00:17.000]   to earn points, rewards, and complimentary experiences
[00:00:17.000 --> 00:00:21.000]   for the iconic Palms Casino Resort in Las Vegas.
[00:00:21.000 --> 00:00:23.000]   ♪ Got to sort of tell 'em ♪
[00:00:23.000 --> 00:00:26.000]   Two destinations, one loyalty card.
[00:00:26.000 --> 00:00:29.000]   Visit yamava.com/palms to discover more.
[00:00:30.000 --> 00:00:31.000]   - Welcome to Radical Personal Finance,
[00:00:31.000 --> 00:00:33.000]   the show dedicated to providing you with the knowledge,
[00:00:33.000 --> 00:00:36.000]   skills, insight, and encouragement you need
[00:00:36.000 --> 00:00:38.000]   to live a rich and meaningful life now
[00:00:38.000 --> 00:00:40.000]   while building a plan for financial freedom
[00:00:40.000 --> 00:00:42.000]   in 10 years or less.
[00:00:42.000 --> 00:00:43.000]   My guest today is Sean Kernan.
[00:00:43.000 --> 00:00:46.000]   Sean is a financial advisor who grew up
[00:00:46.000 --> 00:00:48.000]   in the wire house and brokerage world
[00:00:48.000 --> 00:00:50.000]   and then went independent.
[00:00:50.000 --> 00:00:53.000]   And today he works to help other financial advisors
[00:00:53.000 --> 00:00:55.000]   make that same transition.
[00:00:55.000 --> 00:00:56.000]   On today's show, we discuss the details
[00:00:56.000 --> 00:01:00.000]   of how to get your start in the financial advice business
[00:01:00.000 --> 00:01:03.000]   and also some of the different practice models
[00:01:03.000 --> 00:01:05.000]   that you might choose to pursue.
[00:01:05.000 --> 00:01:07.000]   Sean, welcome to Radical Personal Finance.
[00:01:07.000 --> 00:01:08.000]   - Thanks, Josh, we're glad to be here.
[00:01:08.000 --> 00:01:09.000]   It's a pleasure.
[00:01:09.000 --> 00:01:11.000]   - We're gonna have financial advisor coffee today,
[00:01:11.000 --> 00:01:13.000]   a virtual cup of coffee together,
[00:01:13.000 --> 00:01:16.000]   and try to record it for the world.
[00:01:16.000 --> 00:01:18.000]   You know, when I started Radical Personal Finance,
[00:01:18.000 --> 00:01:20.000]   I thought, well, what I'll do is I'll just spill the beans
[00:01:20.000 --> 00:01:23.000]   on the financial advisor industry to the public.
[00:01:23.000 --> 00:01:25.000]   But I didn't expect a lot of people
[00:01:25.000 --> 00:01:27.000]   who were interested in the business
[00:01:27.000 --> 00:01:29.000]   of being financial advisor really to listen to the show.
[00:01:29.000 --> 00:01:32.000]   But somehow I've attracted that type of audience
[00:01:32.000 --> 00:01:35.000]   of many people who are financial advisors listen
[00:01:35.000 --> 00:01:39.000]   and many people who are in other careers
[00:01:39.000 --> 00:01:41.000]   who are interested in becoming financial advisors.
[00:01:41.000 --> 00:01:44.000]   A lot of people have found the show.
[00:01:44.000 --> 00:01:46.000]   As a simple example, I got three emails last week
[00:01:46.000 --> 00:01:48.000]   from people saying, hey, I'm in another career.
[00:01:48.000 --> 00:01:50.000]   I'm thinking about switching to become a financial advisor.
[00:01:50.000 --> 00:01:51.000]   What do you think?
[00:01:51.000 --> 00:01:54.000]   And so I wanna serve this segment of the audience
[00:01:54.000 --> 00:01:56.000]   with some information, which is why I decided
[00:01:56.000 --> 00:01:58.000]   to go ahead and invite you on the show.
[00:01:58.000 --> 00:01:59.000]   And we'll talk about your experience
[00:01:59.000 --> 00:02:01.000]   in the financial advice business
[00:02:01.000 --> 00:02:03.000]   and also a little bit of your new project
[00:02:03.000 --> 00:02:05.000]   of helping advisors go independent.
[00:02:05.000 --> 00:02:08.000]   So let's start, however, with give us your resume,
[00:02:08.000 --> 00:02:09.000]   so to speak.
[00:02:09.000 --> 00:02:11.000]   Where did you start in the financial advisor business
[00:02:11.000 --> 00:02:15.000]   and what was your pathway through this landscape
[00:02:15.000 --> 00:02:17.000]   that we all exist in?
[00:02:17.000 --> 00:02:20.000]   - Sure, yeah, I'm happy to.
[00:02:20.000 --> 00:02:23.000]   So I started, I was an army officer out of college.
[00:02:23.000 --> 00:02:26.000]   I went to West Point, had a five-year service commitment,
[00:02:26.000 --> 00:02:29.000]   but I always kind of knew that a long-term career
[00:02:29.000 --> 00:02:32.000]   army officer was probably not what I was going to do.
[00:02:32.000 --> 00:02:34.000]   So I spent a lot of that time,
[00:02:34.000 --> 00:02:37.000]   a lot of that five-year commitment,
[00:02:37.000 --> 00:02:42.000]   kind of sorting through different potential career paths.
[00:02:42.000 --> 00:02:45.000]   I think one thing I love about listening to you, Joshua,
[00:02:45.000 --> 00:02:47.000]   is you're sort of strategic thinking long-term.
[00:02:47.000 --> 00:02:49.000]   And I like to think I've tried to do that.
[00:02:49.000 --> 00:02:53.000]   And so that five years, there wasn't much flexibility
[00:02:53.000 --> 00:02:55.000]   compared to the average 22 to 27-year-old,
[00:02:55.000 --> 00:02:58.000]   but I did have the opportunity to spend that time
[00:02:58.000 --> 00:03:01.000]   thinking about what I wanted to be when I grew up.
[00:03:01.000 --> 00:03:03.000]   And most of the jobs that I talked to people about
[00:03:03.000 --> 00:03:04.000]   honestly bored me to tears.
[00:03:04.000 --> 00:03:06.000]   They just didn't sound interesting to me.
[00:03:06.000 --> 00:03:08.000]   And I always had an interest in personal finance,
[00:03:08.000 --> 00:03:13.000]   had read a lot, studied a lot, found it interesting.
[00:03:13.000 --> 00:03:17.000]   And so I kind of settled on that, between that interest
[00:03:17.000 --> 00:03:20.000]   and then the, as you, I think, described in a recent episode,
[00:03:20.000 --> 00:03:23.000]   the entrepreneurial nature, even when you're an employee advisor
