
[00:00:00.000 --> 00:00:03.000]   Enjoying your podcast? We'll be brief.
[00:00:03.000 --> 00:00:05.000]   If you're looking for the perfect holiday gift,
[00:00:05.000 --> 00:00:07.000]   give Scratchers from the California Lottery.
[00:00:07.000 --> 00:00:09.000]   With so many to choose from,
[00:00:09.000 --> 00:00:12.000]   you're sure to find the right gift for anyone on your list.
[00:00:12.000 --> 00:00:15.000]   Now that your holiday shopping list is figured out,
[00:00:15.000 --> 00:00:17.000]   enjoy this bird singing Jingle Bells.
[00:00:17.000 --> 00:00:21.000]   [Birds chirping]
[00:00:21.000 --> 00:00:24.000]   Give the gift of Scratchers from the California Lottery.
[00:00:24.000 --> 00:00:26.000]   A little play can make your day.
[00:00:26.000 --> 00:00:27.000]   Please play responsibly.
[00:00:27.000 --> 00:00:32.000]   Must be 18 years or older to purchase, play, or claim.
[00:00:32.000 --> 00:00:33.000]   Welcome to Radical Personal Finance,
[00:00:33.000 --> 00:00:36.000]   the show dedicated to providing you with the knowledge, skills,
[00:00:36.000 --> 00:00:42.000]   insight, and encouragement you need to live a rich and meaningful life now,
[00:00:42.000 --> 00:00:46.000]   while building a plan for financial freedom in 10 years or less.
[00:00:46.000 --> 00:00:48.000]   My guest today is Ty Crandall.
[00:00:48.000 --> 00:00:50.000]   Ty has written a book, among other books,
[00:00:50.000 --> 00:00:52.000]   called Business Credit Decoded,
[00:00:52.000 --> 00:00:57.000]   Discover the Secrets and Power of Business Credit.
[00:00:57.000 --> 00:00:59.000]   And Ty, I've been looking forward to this conversation
[00:00:59.000 --> 00:01:02.000]   because this is going to take me back,
[00:01:02.000 --> 00:01:03.000]   what is it at this point?
[00:01:03.000 --> 00:01:07.000]   Probably 12, no, yeah, about 12 years.
[00:01:07.000 --> 00:01:09.000]   When I was, I'm 30 years old now,
[00:01:09.000 --> 00:01:11.000]   and when I was 18 years old,
[00:01:11.000 --> 00:01:14.000]   I was obsessed with building my credit.
[00:01:14.000 --> 00:01:17.000]   And I don't know if you were writing self-help books at that time,
[00:01:17.000 --> 00:01:20.000]   but I was digging into every Build My Credit guide.
[00:01:20.000 --> 00:01:23.000]   I started with the gas card,
[00:01:23.000 --> 00:01:27.000]   and I got my little starter credit card on my 18th birthday
[00:01:27.000 --> 00:01:28.000]   and was building it up,
[00:01:28.000 --> 00:01:31.000]   and I would call every few months and increase my credit scores.
[00:01:31.000 --> 00:01:34.000]   And I was pretty good at it to the point where at one point,
[00:01:34.000 --> 00:01:38.000]   I think in college, was it $100,000 or $150,000?
[00:01:38.000 --> 00:01:39.000]   I'm blanking on the numbers,
[00:01:39.000 --> 00:01:41.000]   but by the time I was a senior in college,
[00:01:41.000 --> 00:01:43.000]   I'd systematically built up.
[00:01:43.000 --> 00:01:46.000]   I was unemployed or minimally employed,
[00:01:46.000 --> 00:01:51.000]   but I'd built up to the point where I had about over $100,000 worth
[00:01:51.000 --> 00:01:56.000]   of credit line available to me across all the credit cards I'd built.
[00:01:56.000 --> 00:01:58.000]   That's impressive.
[00:01:58.000 --> 00:02:02.000]   Then my personal story is then I walked away from all of it.
[00:02:02.000 --> 00:02:04.000]   I closed all that stuff, did the Dave Ramsey plans,
[00:02:04.000 --> 00:02:06.000]   said, "I don't need a credit score,"
[00:02:06.000 --> 00:02:08.000]   and went hardcore in the other direction.
[00:02:08.000 --> 00:02:10.000]   [laughter]
[00:02:10.000 --> 00:02:13.000]   So I've gone to extremes, but this business credit topic,
[00:02:13.000 --> 00:02:14.000]   and we'll talk about personal credit.
[00:02:14.000 --> 00:02:16.000]   I'm not quite so extreme anymore.
[00:02:16.000 --> 00:02:18.000]   I think we're going to have some fun.
[00:02:18.000 --> 00:02:20.000]   So welcome to Radical Personal Finance.
[00:02:20.000 --> 00:02:21.000]   Thank you so much for having me.
[00:02:21.000 --> 00:02:22.000]   I'm excited to be here.
[00:02:22.000 --> 00:02:25.000]   How long have you been writing and teaching on this subject?
[00:02:25.000 --> 00:02:29.000]   I've been in the financial space for about 16 years.
[00:02:29.000 --> 00:02:31.000]   I started on the consumer side,
[00:02:31.000 --> 00:02:35.000]   so I spent a lot of time helping consumers fix their personal credit
[00:02:35.000 --> 00:02:37.000]   or understand their personal credit, how it works,
[00:02:37.000 --> 00:02:41.000]   and work within the Fair Credit Reporting Act to correct inaccuracies.
[00:02:41.000 --> 00:02:47.000]   Then I've been in the business space now pretty aggressively for going on, I guess, about six, seven years.
[00:02:47.000 --> 00:02:52.000]   So maybe I would have read one of your books back then 16 years ago.
[00:02:52.000 --> 00:02:53.000]   Who knows?
[00:02:53.000 --> 00:02:54.000]   You could have.
[00:02:54.000 --> 00:02:57.000]   I have a book called Perfect Credit that's just on consumer credit,
[00:02:57.000 --> 00:02:59.000]   how the system works, and how to fix it.
[00:02:59.000 --> 00:03:00.000]   So hopefully so.
[00:03:00.000 --> 00:03:01.000]   Awesome.
[00:03:01.000 --> 00:03:03.000]   Well, let's stick with business credit primarily today
[00:03:03.000 --> 00:03:08.000]   because I think that's the under-discussed aspect of credit.
[00:03:08.000 --> 00:03:11.000]   My audience is probably pretty savvy with personal credit,
[00:03:11.000 --> 00:03:13.000]   although I should do more shows on it in the future.
[00:03:13.000 --> 00:03:19.000]   But business credit, even as the introduction in your book lays out, is a quite neglected topic.
[00:03:19.000 --> 00:03:21.000]   It very much is so.
[00:03:21.000 --> 00:03:24.000]   When I decided to become an advocate,
[00:03:24.000 --> 00:03:29.000]   I actually owned a mortgage company at the height of the mortgage industry and through the crash.
[00:03:29.000 --> 00:03:33.000]   I had accumulated a lot of credit that I used for the business,
[00:03:33.000 --> 00:03:35.000]   but I personally guaranteed it.
[00:03:35.000 --> 00:03:41.000]   When I lost everything, it spilled right over to all my personal finances and assets as well.
[00:03:41.000 --> 00:03:47.000]   Years later I would discover business credit and get very frustrated that something like this existed
[00:03:47.000 --> 00:03:48.000]   and so few people knew about it.
[00:03:48.000 --> 00:03:51.000]   That was when I really decided to become an advocate
