
[00:00:00.040 --> 00:00:09.520]   ужас
[00:00:09.520 --> 00:00:10.400]   think think
[00:00:10.400 --> 00:00:29.220]   Ganze play. I have the. The. Ro., however, thanks,
[00:00:29.280 --> 00:00:58.520]   Hey, what's up, everyone? I'm Josh. I'm the host of the show, Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less. My name is Joshua. I am your host. I am your friendly financial philosopher. I am your fellow financial freedom fighter. Your fellow voyager on this incredible and exciting journey we call life with a special emphasis here on radical personal finance on finances, which touches every area of our lives.
[00:00:58.540 --> 00:01:28.000]   Today, we answer a question from a listener who writes in and says, I'm currently facing a challenge. I face. I have about $10,000 in my 401k. And due to unemployment, I have accumulated $6,000 on a credit card debt. This is a result of my unemployment and also not paying attention at the right time. I didn't take your advice long ago. And so now the question is this. Should I take money out of my 401k in order to pay off my credit card? Is this a good idea?
[00:01:28.000 --> 00:01:58.020]  , or should I take it out of my 401k in order to pay off my credit card debt?
[00:01:58.020 --> 00:01:58.020]   Well, I'm going to answer this question, of course, for this listener.
[00:01:58.020 --> 00:01:58.020]   And my hope is that in answering for the listener, I'll be able to help this listener.
[00:01:58.020 --> 00:01:58.020]   But my hope is also that if you're not in the situation, I can help you to think through this problem so that you can help other people who are in the situation.
[00:01:58.020 --> 00:01:58.020]   Unemployment is very frequently a major, major cause of stress, financial stress especially. And that financial stress can have long lasting effects. And so I want to help you to help other people who are in that situation.
[00:01:58.020 --> 00:01:58.020]   And so I want to help you to help other people who are in that situation.
[00:01:58.020 --> 00:01:58.020]   And so I'm going to answer this question.
[00:01:58.040 --> 00:02:28.040]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates. And that is true.
[00:02:28.040 --> 00:02:28.040]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates. And that is true.
[00:02:28.040 --> 00:02:28.040]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates. And that is true.
[00:02:28.040 --> 00:02:28.040]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates. And that is true.
[00:02:28.060 --> 00:02:58.060]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates. And that is true.
[00:02:58.060 --> 00:02:58.060]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates. And that is true.
[00:02:58.060 --> 00:02:58.060]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax plus your ordinary income tax rates.
[00:02:58.060 --> 00:02:58.060]   The most common focus in answering this question that people have is to say, if you take money from the 401k account, you're going to pay a 10% penalty tax rates.
[00:02:58.100 --> 00:03:28.080]  ,
[00:03:28.080 --> 00:03:28.080]   and you're going to pay a 10% penalty tax on the money.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
