
[00:00:00.040 --> 00:00:10.580]   never
[00:00:10.580 --> 00:00:29.360]   unTF already Hel:여�� being rank, land, the, the, the, the, the, the, the, Ant, 부� amenities fragr Hert Ir Miss Moving stepped go .I. .. .. .. .. .. .. .. reason這
[00:00:29.620 --> 00:00:35.280]   oh you idiot are you kidding me
[00:00:35.280 --> 00:00:43.980]   I cannot believe you are so stupid
[00:00:43.980 --> 00:00:48.580]   oh I want to punch you right now you
[00:00:48.580 --> 00:00:51.960]   idiot idiot idiot you bought a stupid
[00:00:51.960 --> 00:00:56.820]   pickup truck and a new one brand-new
[00:00:56.820 --> 00:00:59.200]   look at the stupid thing oh
[00:00:59.200 --> 00:00:59.200]   you're you're
[00:00:59.240 --> 00:01:10.900]   the
[00:01:10.900 --> 00:01:27.060]   material. I'm a pick up,,,,,
[00:01:27.780 --> 00:01:34.040]   do you not have a brain? Do you not think, do you not? Ah,
[00:01:34.040 --> 00:01:35.480]   I wish I could tell this to your face,
[00:01:35.480 --> 00:01:39.380]   but stupid you would think I was being mean to you.
[00:01:39.380 --> 00:01:42.300]   Do you have no brain? Does your brain not work?
[00:01:42.300 --> 00:01:45.320]   Have you never thought about your finances?
[00:01:45.320 --> 00:01:49.460]   Have you never considered a single financial decision in your life?
[00:01:49.460 --> 00:01:53.000]   Maybe I'm being too hasty after all. I mean, hold on.
[00:01:53.000 --> 00:01:56.320]   I don't know everything about your finances. After all, I'm not your banker.
[00:01:56.320 --> 00:01:56.320]   I'm not your banker. I'm not your banker.
[00:01:56.340 --> 00:02:24.880]   I'm not your banker. I'm not your banker. I'm not your banker.
[00:02:24.920 --> 00:02:35.040]   17
[00:02:35.040 --> 00:02:43.860]   de,
[00:02:43.860 --> 00:02:54.360]   work haveather крас remember around視
[00:02:54.480 --> 00:03:24.000]  �켜.com. That's what this stupid thing costs. Yeah. Here I am on true car.com. And hold on. Did I get the let's see. Yeah, there we go. Okay, I gotta get the crew cap. $51,000. Was it last? No, it's this year's model. You couldn't even be smart enough to go and buy last year's models of dealership or go at the end of the year and you could have got you come on. $51,000. Do you know what you could do with $51,000? How do I know? True car.com. Duh. Oh, I
[00:03:24.040 --> 00:03:34.860]   not
[00:03:34.860 --> 00:03:38.240]   organic. I went,,,,
[00:03:52.480 --> 00:04:20.880]   ck. Man. Could you not be a little bit more intelligent? I am so sick and tired of hearing about your problems. Then you do something like this. I thought it was bad, but now it gets worse. My goodness. Okay. I get it. Your car broke down. Did you not think of fixing the car instead of buying a $51,000 pickup truck?
[00:04:20.880 --> 00:04:20.880]   Okay. I get it. Your car broke down. Did you not think of fixing the car instead of buying a $51,000 pickup truck?
[00:04:20.880 --> 00:04:20.880]   Okay. I get it. Your car broke down. Did you not think of fixing the car instead of buying a $51,000 pickup truck?
[00:04:20.880 --> 00:04:20.880]   Okay. I get it. Your car broke down. Did you not think of fixing the car instead of buying a $51,000 pickup truck?
[00:04:20.880 --> 00:04:20.880]   Okay. I get it. Your car broke down. Did you not think of fixing the car instead of buying a $51,000 pickup truck?
[00:04:21.020 --> 00:04:49.320]   and you've never thought about saving money. Did you never think about the fact that cars might break? You know what cars cost money, vehicles require repair, and your body requires food. My goodness. My four-year-old has better forethought than you do.
[00:04:49.320 --> 00:04:49.320]   and you've never thought about saving money. Did you never think about the fact that cars might break? You know what cars cost money, vehicles require repair, and your body requires food. My goodness. My four-year-old has better forethought than you do.
[00:04:49.340 --> 00:04:56.160]   Thank goodness. $51,000.
[00:04:56.160 --> 00:05:04.560]   Yeah, I know you were tired of trying to figure out a ride or figure out how to borrow a car, but man, you could rent a car for cheaper than this thing. Okay, hold on. Let's see here.
[00:05:04.560 --> 00:05:12.960]   $51,000. So in the first year you own this thing, this stupid truck is going to lose 20% of its value in the first year.
[00:05:12.960 --> 00:05:17.760]   Maybe even more, because after all, it's a pickup truck. Okay. Well, maybe, I guess there's a little bit of an argument that pickup trucks sometimes...
[00:05:17.760 --> 00:05:17.760]   Okay. Well, maybe, I guess there's a little bit of an argument that pickup trucks sometimes...
[00:05:17.760 --> 00:05:17.760]   Okay. Well, maybe, I guess there's a little bit of an argument that pickup trucks sometimes...
[00:05:17.760 --> 00:05:17.760]   Okay. Well, maybe, I guess there's a little bit of an argument that pickup trucks sometimes...
[00:05:17.900 --> 00:05:46.200]  , no, no, not this brand. No, not this brand. At least a Toyota pickup truck. If you bought a new one, it would have been a better buy than in the used market, but you bought a domestic pickup truck.
[00:05:46.200 --> 00:05:46.200]   Come on. All right, so $50,000. Let's just keep it simple. $50,000. 20% of that truck's value means that you're going to lose $10,000 this year.
[00:05:46.220 --> 00:06:14.640]   And you didn't stop and calculate the fact that you're going to lose $10,000 this year on this stupid pickup truck. That's over $800 per month, every single month. Now let's do some math. You earn $34,000 per year. Yes, I know exactly how much you earn because the idiot leaves your personal documents lying around your house. And of course, I happen to care about money. So when I see check...
[00:06:14.640 --> 00:06:14.640]   Anyway, I should have paid for it.
[00:06:14.640 --> 00:06:14.640]   Anyway, I should have paid for it. So when I see check...
[00:06:14.640 --> 00:06:14.640]   Anyway, I should have paid for it. So when I see check...
[00:06:14.640 --> 00:06:43.080]  , whatever. You really should take better care of your stuff. $34,000 per year. That's because you make $16 an hour because you spend all your time hanging out on Facebook and hanging out on YouTube, reading car magazines and having to spend enough time to open a book and learn how to get a decent job. So this month you're going to spend...let's see, what? How many hours? Okay, so $10,000, $830,000.
[00:06:43.100 --> 00:07:12.480]   $833 per month divided by $16 an hour. That means that this month you're going to spend 52 hours working a job that you hate. So your fat, shiny truck can sit there in the parking lot in the hot sun all day getting its paint messed up because you bought this stupid domestic truck. They can't even put a paint job on the thing. You never looked around and looked at it. But wait, it's worth it. You pot this thing with...
[00:07:12.520 --> 00:07:22.360]   beautifully
[00:07:22.360 --> 00:07:23.000]   hear faint opera
[00:07:23.000 --> 00:07:26.260]   изв which,,,,,,,,, doesn Ç Jo End 장
[00:07:41.040 --> 00:07:51.080]  worldast
[00:07:51.080 --> 00:07:51.940]  保 .agers, re,
[00:08:08.880 --> 00:08:20.020]   de
[00:08:20.020 --> 00:08:32.740]   brush a cheat�G B But pulled in. M. I don not in. I'm. I, and,,,,,,,,,,,,,,,,,, STEM. mentving El div grupos de professions 후�官ilen рай ormek be stay aдел g сем showed bed can'tуж差yer won Z Liqu chance scary A verify served a個人 La
[00:08:32.740 --> 00:08:37.800]   저기 sea .對 mermaid learned a
[00:08:37.940 --> 00:08:40.960]   work
[00:08:40.960 --> 00:08:44.060]   et,,,
[00:08:44.060 --> 00:08:49.260]  aut
[00:11:30.220 --> 00:11:30.220]   We're gonna have to put on some stupid mud tires. Call up Fabtech or Fastech or whatever.
[00:11:30.220 --> 00:11:30.220]   Maybe you can lower it. Oh, you're white. You're not gonna lower it. That doesn't work. You gotta lift yours and put on some stupid mud tires. Call up Fabtech or Fastech or whatever. You're not gonna lower it. That doesn't work. You gotta lift yours and put on some stupid mud tires. Call up Fabtech or Fastech or whatever.
[00:11:30.260 --> 00:11:40.600]   mi
[00:11:40.600 --> 00:11:59.820]  �, in the screen. The "
[00:13:00.380 --> 00:13:07.600]   with
[00:13:07.600 --> 00:13:24.360]   Young C, in in, solve,,,,,
