
[00:00:00.040 --> 00:00:09.540]  eleri
[00:00:09.540 --> 00:00:10.920]   en the,,,
[00:00:10.920 --> 00:00:13.040]   100
[00:00:28.760 --> 00:00:40.160]   I
[00:00:40.160 --> 00:00:43.600]   Ab M I not in in gi
[00:00:55.480 --> 00:01:05.580]  �
[00:01:05.580 --> 00:01:19.500]   at,
[00:01:19.500 --> 00:01:24.600]   life with lot equal went開 пис
[00:01:24.660 --> 00:01:26.700]  ét. I'm going to ask you a question. What's the most common question you get asked in a call?
[00:01:26.700 --> 00:01:27.980]   I'm going to ask you a question. What's the most common question you get asked in a call?
[00:01:27.980 --> 00:01:32.160]   We get together for a live Q&A call and I really enjoy doing these. They are my favorite show of the week.
[00:01:32.160 --> 00:01:37.920]   because I get to interact with you on real circumstances, on real questions, on real things that you're facing.
[00:01:37.920 --> 00:01:41.240]   This is your opportunity to drive the content of the show.
[00:01:41.240 --> 00:01:46.420]   So if that means that you'd like to ask me advice on something in your own personal life, something in your own finances,
[00:01:46.420 --> 00:01:49.960]   you can pump me for a little bit of low-cost financial planning, I guess.
[00:01:49.960 --> 00:01:53.800]   If you want to ask me some tactical, technical question on anything related to financial planning, I can ask you.
[00:01:53.800 --> 00:01:53.800]   I'm going to ask you a question. What's the most common question you get asked in a call?
[00:01:54.640 --> 00:02:23.820]  , What's the most common question you get asked in a call?
[00:02:23.840 --> 00:02:24.360]   I'm going to ask you a question. What's the most common question you get asked in a call?
[00:02:24.360 --> 00:02:29.360]   If you would like to do that, it's your best way to get some interaction with me, the best way to have your questions answered.
[00:02:29.360 --> 00:02:34.360]   Over the years, I guess I've been doing these now, over the years, people have asked all kinds of interesting things.
[00:02:34.360 --> 00:02:41.840]   So there are currently 274 individuals just like you who support Radical Personal Finance at RadicalPersonalFinance.com/patron.
[00:02:41.840 --> 00:02:47.920]   I would love for you to join that program and in doing so to be on the next call.
[00:02:47.920 --> 00:02:51.880]   Let's go first to Matthew. Matthew, welcome to Radical Personal Finance. How can I serve you today?
[00:02:51.880 --> 00:02:53.840]   Absolutely, Joshua. I'm going to ask you a question. What's the most common question you get asked in a call?
[00:02:53.840 --> 00:02:53.840]   I'm going to ask you a question. What's the most common question you get asked in a call?
[00:02:53.880 --> 00:03:23.860]   So thank you for taking my call today. So on the Facebook group, I think a few months back, you mentioned that you had finally made the change from the PC world to the Mac world with the acquisition of a new Mac computer.
[00:03:23.860 --> 00:03:23.860]   I have been interested in making that change as well, but I've lived in the PC world my whole life and I feel very rooted in it. But I would like to think about making that change.
[00:03:23.880 --> 00:03:25.900]   From a productivity standpoint, what have you noticed from that change, pros and cons from making it?
[00:03:25.900 --> 00:03:26.900]   From a productivity standpoint, what have you noticed from that change, pros and cons from making it?
[00:03:26.900 --> 00:03:27.900]   Good question and a fun one. So I'll share just a short bit of my background and why I made the change and then answer the question straightforwardly.
[00:03:27.900 --> 00:03:28.900]   Good question and a fun one. So I'll share just a short bit of my background and why I made the change and then answer the question straightforwardly.
[00:03:28.900 --> 00:03:29.900]   For my entire computing lifetime, I have been a PC user and a Mac admirer.
[00:03:29.900 --> 00:03:31.900]   For my entire computing lifetime, I have been a PC user and a Mac admirer.
[00:03:31.900 --> 00:03:46.900]   For my entire computing lifetime, I have been a PC user and a Mac admirer.
[00:03:46.900 --> 00:03:48.900]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:03:49.440 --> 00:04:14.940]   a PC user and a Mac admirer.
[00:04:14.940 --> 00:04:15.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:15.940 --> 00:04:16.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:16.940 --> 00:04:17.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:17.940 --> 00:04:18.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:18.940 --> 00:04:18.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:18.940 --> 00:04:18.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:18.940 --> 00:04:18.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:18.940 --> 00:04:18.940]   But because the cost of entry for the Apple platform is so high, I've been able to make a change.
[00:04:18.980 --> 00:04:29.780]   was
[00:04:29.780 --> 00:04:32.900]   medicine,,,'m kind candy let just gute
[00:04:32.900 --> 00:04:37.860]   2022
[00:04:37.860 --> 00:04:47.200]   en stepped in instead, or, or, or, I. E., Ciao. I. play. Team. Huawei. rang. part.ssen private. gen. ambiguity. g. 현.朝. grand. I. get the shuw. package. entend. mon. the rel. dry. many. far. de -
[00:04:47.320 --> 00:04:53.680]  inform
[00:04:53.680 --> 00:05:14.800]   and like
[00:05:43.200 --> 00:05:43.200]   and like
[00:05:43.200 --> 00:05:43.200]   and like
[00:05:43.240 --> 00:05:52.880]   "
[00:05:52.880 --> 00:05:54.400]   influential Ge I about,,,,實
[00:06:39.320 --> 00:06:49.180]   notified
[00:06:49.180 --> 00:07:06.660]   oh și toilets in the receive of
[00:07:35.480 --> 00:07:35.480]   and
