
[00:00:00.040 --> 00:00:09.600]   Mona
[00:00:09.600 --> 00:00:10.420]   but le
[00:00:10.420 --> 00:00:11.600]   FROM
[00:00:11.600 --> 00:00:13.360]   con just," but, is a, that is, them,則,
[00:00:13.360 --> 00:00:17.620]   study
[00:00:17.620 --> 00:00:24.900]  br,
[00:03:33.320 --> 00:03:39.900]   all
[00:03:39.900 --> 00:03:51.780]   школ vs not,,,liner
[00:05:03.400 --> 00:05:03.400]   ...
[00:05:03.440 --> 00:05:33.420]   didnt have to have exactly the right thing in order for you to be able to use this vehicle for transport. How important to you is the ability to spec out exactly what you want. Here you'll need to think about your use case. Do you intend to use this vehicle just for transporting your body from place A to place B? Or your body and one or two or a handful of other people from place A to place B? In that context, just about anything will do the job. So you don't have to have exactly the right thing in order for you to be able to use this vehicle.
[00:05:33.420 --> 00:05:33.440]   .
[00:05:33.440 --> 00:05:33.440]   .
[00:05:33.480 --> 00:05:43.060]   expect
[00:05:43.060 --> 00:05:52.060]   usually e de,,,,,
[00:05:52.060 --> 00:06:01.320]   spirit 2 discuss the Det the per the by the per the make the Cinema请CGCMIDIー degrad часть social decreases
[00:06:01.780 --> 00:06:10.460]   be
[00:06:10.460 --> 00:06:13.700]   just with
[00:06:31.800 --> 00:06:42.080]   is
[00:06:42.080 --> 00:06:45.140]   perpet. I make at do
[00:07:01.340 --> 00:07:30.840]  �t. The earlier the vehicle is in that life span, the more time you can drive it, the more time you'll have with that vehicle. It's a fact of life that cars or vehicles are mechanical devices and mechanical devices over time wear down and wear out. If I offered you an unrestored car from 1950, you'd say no. You don't want it because it doesn't do what you need it to do.
[00:07:30.860 --> 00:08:00.380]   We're not driving vehicles from 1950 that are not restored or from 1970. The vehicle has a life span and the earlier you buy it, the better in terms of the maximum possible life span. This is important primarily for its ability to do the job that you're buying it to do. You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:00.380 --> 00:08:00.380]   You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:00.380 --> 00:08:00.380]   You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:00.380 --> 00:08:00.380]   You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:00.420 --> 00:08:29.920]   You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:29.920 --> 00:08:30.020]   You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:30.020 --> 00:08:30.120]   You want it to do the job that you're buying it to do. If you need a car to pull your camper, well, it even does that.
[00:08:30.120 --> 00:08:30.220]   If you need a car to pull your camper, well, it even does that.
[00:08:30.220 --> 00:08:30.320]   If you need a car to pull your camper, well, it even does that.
[00:08:30.320 --> 00:08:30.320]   If you need a car to pull your camper, well, it even does that.
[00:08:30.320 --> 00:08:30.320]   If you need a car to pull your camper, well, it even does that. If you need a car to pull your camper, well, it even does that.
[00:08:30.340 --> 00:09:00.260]   If you need a car to pull your camper, well, it even does that.
[00:09:00.260 --> 00:09:00.260]   If you need a car to pull your camper, well, it even does that.
[00:09:00.260 --> 00:09:00.320]   If you need a car to pull your camper, well, it even does that.
[00:09:00.320 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:00.340]   If you need a car to pull your camper, well, it even does that.
[00:09:00.340 --> 00:09:20.640]  , and it starts to increase significantly at some point.
[00:09:20.640 --> 00:09:25.400]   But there's another cost, which is depreciation.
[00:09:25.400 --> 00:09:30.340]   And that line starts off on the left at very high,
[00:09:30.340 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.360 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.360 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.360 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.360 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.360 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.360 --> 00:09:30.360]   and it starts off on the left at very high,
[00:09:30.400 --> 00:09:40.240]   aye
[00:09:40.240 --> 00:09:59.300]   reach달�
[00:10:28.320 --> 00:10:28.320]   the
[00:10:57.320 --> 00:10:57.320]   ----
[00:10:57.320 --> 00:10:57.320]   ----
[00:10:57.380 --> 00:11:03.420]   recognize
[00:11:03.420 --> 00:11:26.200]   were,
[00:11:27.400 --> 00:11:30.740]   .
[00:11:30.740 --> 00:11:54.540]   wasn shadow. I my
[00:12:52.480 --> 00:13:20.800]  bew.com/newcar.
[00:13:20.800 --> 00:13:20.800]   We're going to talk about the benefits of a pickup truck.
[00:13:20.800 --> 00:13:20.800]   So if you're in a new car, you might need to buy a new car.
