
[00:00:00.040 --> 00:00:09.740]  张 but
[00:00:09.740 --> 00:00:10.420]   pense,,,
[00:00:10.420 --> 00:00:11.260]  --
[00:01:24.880 --> 00:01:36.420]   I
[00:01:36.420 --> 00:01:53.120]   ou not,,,, energy and at go at aänded,C,asses, parentaloko, . ά消 3 no . . . . . . . . . . . . " . the K. headed the Daha a in 진 I'm out 5 or end'll South the lost even far uh scores which is in a~? الج share the remaining a build in tell it's laordre Cre goodies 있폰 makan辦 the respondentsat in nies Flo' Temp won show youài dedicated subscribe đấy ранroots Thousandsww conscienceign. Iому� minimize the
[00:01:53.160 --> 00:02:21.440]   So that started off Monday. And of course, what
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.440 --> 00:02:21.440]   usually happens to me is I'm not sure what the hell I'm doing
[00:02:21.480 --> 00:02:42.740]   I'm not sure what the hell I'm doing usually happens to me is I have very
[00:02:42.740 --> 00:02:42.740]   usually happens to me is I have very
[00:02:42.740 --> 00:02:42.840]   usually happens to me is I have very
[00:02:42.840 --> 00:02:43.740]   usually happens to me is I have very aggressive schedules. I have all
[00:02:43.740 --> 00:02:43.740]   aggressive schedules. I have all
[00:02:43.740 --> 00:02:44.840]   aggressive schedules. I have all kinds of things that I think I can
[00:02:44.840 --> 00:02:44.900]   kinds of things that I think I can get
[00:02:44.900 --> 00:02:44.940]   kinds of things that I think I can get done.
[00:02:44.940 --> 00:02:45.740]   kinds of things that I think I can get done. I've had to learn to moderate
[00:02:45.760 --> 00:02:58.720]   all kinds of things that I think I can get done. I've had to learn to moderate
[00:02:58.720 --> 00:02:59.920]   all kinds of things that I think I can get done. I've had to learn to moderate my commitments. I can't actually follow
[00:02:59.920 --> 00:03:00.020]   all kinds of things that I think I can get done. I've had to learn to moderate my commitments. I can't actually follow
[00:03:00.020 --> 00:03:01.100]   all kinds of things that I think I can get done. I've had to learn to moderate my commitments. I can't actually follow through. That causes me emotional
[00:03:01.100 --> 00:03:01.160]   my commitments. I can't actually follow through. That causes me emotional
[00:03:01.160 --> 00:03:02.200]   my commitments. I can't actually follow through. That causes me emotional turmoil to feel like I'm letting down
[00:03:02.200 --> 00:03:02.260]   through. That causes me emotional turmoil to feel like I'm letting down
[00:03:02.260 --> 00:03:05.860]   through. That causes me emotional turmoil to feel like I'm letting down on my commitments. I find that very
[00:03:05.860 --> 00:03:05.960]   turmoil to feel like I'm letting down on my commitments. I find that very
[00:03:06.860 --> 00:03:30.060]  , and I'm not saying that I'm
[00:03:30.060 --> 00:03:30.100]   on my commitments. I find that very
[00:03:30.100 --> 00:03:32.120]   on my commitments. I find that very important. I think that's
[00:03:32.120 --> 00:03:32.200]   important. I think that's
[00:03:32.200 --> 00:03:34.160]   important. I think that's what I'm trying to do. I think that's
[00:03:34.180 --> 00:03:38.240]   I doubt it'll be totaled, but pretty
[00:03:38.240 --> 00:03:38.300]   I doubt it'll be totaled, but pretty
[00:03:38.300 --> 00:03:41.080]   I doubt it'll be totaled, but pretty beat up. So, for example, the topper
[00:03:41.080 --> 00:03:41.140]   beat up. So, for example, the topper
[00:03:41.140 --> 00:03:44.080]   beat up. So, for example, the topper was completely gone. What it looks
[00:03:44.080 --> 00:03:44.120]   was completely gone. What it looks
[00:03:44.120 --> 00:03:47.580]   was completely gone. What it looks like the thieves did is first they
[00:03:47.580 --> 00:03:47.620]   like the thieves did is first they
[00:03:47.620 --> 00:03:49.080]   like the thieves did is first they stole my pickup truck and then
[00:03:49.080 --> 00:03:49.140]   stole my pickup truck and then
[00:03:49.140 --> 00:03:51.080]   stole my pickup truck and then they used it to commit other crimes.
[00:03:51.080 --> 00:03:51.120]   they used it to commit other crimes.
[00:03:51.120 --> 00:03:53.580]   they used it to commit other crimes. The police had other crimes,
[00:03:53.580 --> 00:03:53.580]   The police had other crimes,
[00:03:53.580 --> 00:03:56.920]   The police had other crimes, other attempted theft of vehicles
[00:03:56.920 --> 00:03:58.920]   other attempted theft of vehicles and some other things where my
[00:03:59.860 --> 00:04:23.720]  , and some other things where my
[00:04:23.720 --> 00:04:26.080]  , and some other things where my vehicle was visible at the scene,
[00:04:26.080 --> 00:04:26.120]   vehicle was visible at the scene,
[00:04:26.120 --> 00:04:28.080]   vehicle was visible at the scene, which that's of course not a great
[00:04:28.080 --> 00:04:28.120]   which that's of course not a great
[00:04:28.120 --> 00:04:28.960]   which that's of course not a great feeling. And in addition to that,
[00:04:28.960 --> 00:04:28.960]   feeling. And in addition to that,
[00:04:28.960 --> 00:04:28.960]   feeling. And in addition to that, they somehow somewhere, our bet, they
[00:04:28.960 --> 00:04:28.960]   they somehow somewhere, our bet, they try to use the truck to ram into an ATM. Basically, they took my pickup truck and they drove it into something crazy hard in the back end. So hard that the trailer hitch, which of course I need, was completely destroyed, completely bent down about a foot and a half.
[00:04:28.980 --> 00:04:36.800]   completely bent down about a foot and a half. The tailgate of the truck is missing, and the whole big giant commercial truck cap that I had on the back of it is entirely gone.
[00:04:36.800 --> 00:04:37.000]   The tailgate of the truck is missing, and the whole big giant commercial truck cap that I had on the back of it is entirely gone.
[00:04:37.000 --> 00:04:42.320]   The tailgate of the truck is missing, and the whole big giant commercial truck cap that I had on the back of it is entirely gone. Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:04:42.320 --> 00:04:42.380]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:04:42.380 --> 00:04:47.980]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it. And then of course, the truck is totally scraped up and just a bunch of cosmetic damage.
[00:04:48.000 --> 00:05:13.080]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:05:13.080 --> 00:05:18.000]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:05:18.000 --> 00:05:18.000]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:05:18.000 --> 00:05:18.000]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:05:18.000 --> 00:05:18.000]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:05:18.000 --> 00:05:18.000]   Still haven't found it. I looked around to try to see if I could salvage it, but still haven't been able to find it.
[00:05:18.000 --> 00:05:48.020]  , and I don't know the end solution yet. But of course that's disruptive. Life is disrupted. When your stuff gets stolen and you have to then figure out, well now what do I do when your stuff is stolen and destroyed by other people, then your life gets disrupted and it can be a big financial impact. So I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:05:48.020 --> 00:05:48.020]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:05:48.040 --> 00:06:18.040]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:18.040 --> 00:06:18.040]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:18.040 --> 00:06:18.040]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:18.040 --> 00:06:18.040]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:18.040 --> 00:06:18.040]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:18.080 --> 00:06:48.060]  ,
[00:06:48.060 --> 00:06:48.060]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:48.060 --> 00:06:48.060]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:48.060 --> 00:06:48.060]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:06:48.080 --> 00:07:18.080]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:18.080 --> 00:07:18.080]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:18.080 --> 00:07:18.080]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:18.080 --> 00:07:18.080]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:18.080 --> 00:07:18.080]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:18.120 --> 00:07:48.100]  , and I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:48.100 --> 00:07:48.100]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:48.100 --> 00:07:48.100]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:48.100 --> 00:07:48.100]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:48.100 --> 00:07:48.100]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:07:48.120 --> 00:08:18.120]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:18.120 --> 00:08:18.120]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:18.120 --> 00:08:18.120]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:18.120 --> 00:08:18.120]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:18.120 --> 00:08:18.120]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:18.160 --> 00:08:48.140]  , and I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:48.140 --> 00:08:48.140]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:48.140 --> 00:08:48.140]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:48.140 --> 00:08:48.140]   I thought today I'd like to share with you how some of the things that I've learned over the years to do and that I have done, which helped me to maintain really good financial stability.
[00:08:48.160 --> 00:09:18.160]   You can always get out.
[00:09:18.160 --> 00:09:18.160]   No matter how deep in the hole you are and what a disaster your unemployment is, you can get another job.
[00:09:18.160 --> 00:09:18.160]   No matter if you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:18.160]   If you're losing your house, you can find another one.
[00:09:18.160 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.180 --> 00:09:48.180]   If you're losing your house, you can find another one.
[00:09:48.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:18.200]   If you're losing your house, you can find another one.
[00:10:18.200 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.220 --> 00:10:48.220]   If you're losing your house, you can find another one.
[00:10:48.240 --> 00:11:18.240]   I know by proof and by testing
[00:11:18.240 --> 00:11:18.240]   I know by proof and by testing
[00:11:18.240 --> 00:11:18.240]   We have had very few financial resources
[00:11:18.240 --> 00:11:18.240]   We have had very few financial resources
[00:11:18.240 --> 00:11:18.240]   I've made big business mistakes, big investment mistakes.
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very limited resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few financial resources
[00:11:18.240 --> 00:11:18.240]   So we've had very few money that we've had very few business mistakes
[00:11:18.280 --> 00:11:27.880]  work
[00:11:27.880 --> 00:11:30.140]   15 in. I,
