
[00:00:00.040 --> 00:00:09.560]  ivat
[00:00:09.560 --> 00:00:10.380]   has see. I find a
[00:00:10.380 --> 00:00:16.500]   mand
[00:00:16.500 --> 00:00:19.940]   lui chez phonesäng driョ quietly intimate underneath политed in as ngoolé Frederick que
[00:00:19.940 --> 00:00:28.500]   So,
[00:00:28.900 --> 00:00:36.320]   I like to pivot now to talking about some of the nuts and bolts of technology because you're a real expert in that.
[00:00:36.320 --> 00:00:41.120]   And I think that'll be of help and interest to my audience and to me personally.
[00:00:41.120 --> 00:00:44.720]   It also it's a fascinating world in which we live.
[00:00:44.720 --> 00:00:58.020]   My audience is hearing our voices right now through a technology that's been developed 15 years ago, but really today and it's really come into its own in the last five years ever since.
[00:00:58.260 --> 00:01:28.100]   and I think it's a really interesting world in which we live.
[00:01:28.100 --> 00:01:28.200]   and I think it's a really interesting world in which we live.
[00:01:28.200 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.280 --> 00:01:28.280]   and I think it's a really interesting world in which we live.
[00:01:28.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:01:58.300 --> 00:01:58.300]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
[00:02:28.320 --> 00:02:28.320]   I think it's a really interesting world in which we live.
