
[00:00:00.040 --> 00:00:07.660]   Reporting up this
[00:00:07.660 --> 00:00:10.860]   let in the cr they
[00:00:10.860 --> 00:00:13.780]  woman
[00:00:13.780 --> 00:00:28.420]   un * discuss a . . .. wine. is. bi. thin. in., one., zac., ar., Elizabeth, solve, appointed, satisfy, cess,ips, helium., teil., earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,., le ..視 I'm. segu the chin. lie. whe 5-G.� Hz. Wirtschafteg S weigh only corazón убий הה braid my sustainable
[00:00:28.480 --> 00:00:39.840]  ed
[00:00:39.840 --> 00:00:51.880]   story,,,, map actually I have a СC quality
[00:00:51.880 --> 00:00:57.980]   in the
[00:00:58.500 --> 00:01:08.960]  eration Ver G A L
[00:01:08.960 --> 00:01:23.220]   at, the, the, the非,FR,邊, prospect,味,
[00:01:26.620 --> 00:01:29.720]   Your next tech startup is going to make you $10 million.
[00:01:29.720 --> 00:01:37.140]   And invest all your money in the latest crypto offering in order for you to become rich. You don't.
[00:01:37.140 --> 00:01:43.580]   You just can't be stupid and make the stupid mistakes that so many people make.
[00:01:43.580 --> 00:01:48.840]   Today we talk about part five of my framework called Optimize Lifestyle.
[00:01:48.840 --> 00:01:54.320]   Now Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it
[00:01:54.320 --> 00:01:56.440]   in a simple way to say,
[00:01:56.440 --> 00:01:56.460]   Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it in a simple way to say,
[00:01:56.460 --> 00:01:56.560]   Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it in a simple way to say,
[00:01:56.560 --> 00:01:56.620]   Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it in a simple way to say,
[00:01:56.620 --> 00:02:26.640]   I teach this, I teach it in a simple way to say,
[00:02:26.640 --> 00:02:26.640]   Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it in a simple way to say,
[00:02:26.640 --> 00:02:26.640]   Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it in a simple way to say,
[00:02:26.660 --> 00:02:56.660]   Optimize Lifestyle is, in a sense, very simple. When I teach this, I teach it in a simple way to say,
[00:02:56.700 --> 00:03:26.680]  ,
[00:03:26.680 --> 00:03:26.680]   It's close to the stores and it has a really beautiful view. Or you can buy a really ordinary house that you don't like because it has some problems that you don't like. Well, if you don't like your house, just sell it and go buy another one. If you don't like your car, just sell it and go get a different one. If you don't like where you live, just move and go live somewhere else and optimize those things.
[00:03:26.680 --> 00:03:26.680]   And I teach this in a simple way to say,
[00:03:26.680 --> 00:03:26.680]   It's close to the stores and it has a really beautiful view. Or you can buy a really ordinary house that you don't like because it has some problems that you don't like. Well, if you don't like your house, just sell it and go buy another one. If you don't like your car, just sell it and go get a different one. If you don't like where you live, just move and go live somewhere else and optimize those things.
[00:03:26.700 --> 00:03:56.700]   You don't need any super secret strategy. You just need to pay attention to those things that are working for you and do more of them. Pay attention to the things that are not working for you and change them.
[00:03:56.700 --> 00:03:56.700]   I knew a guy one time who worked in my local coin shop and I would go in and talk to him.
[00:03:56.700 --> 00:03:56.700]   I knew a guy one time who worked in my local coin shop and I would go in and talk to him.
[00:03:56.700 --> 00:03:56.700]   I knew a guy one time who worked in my local coin shop and I would go in and talk to him.
