
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:30.700]   for
[00:00:30.700 --> 00:00:31.700]   everyone.
[00:00:31.700 --> 00:00:57.320]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less. My name is Joshua, I am your host, and today we answer a listener question. The listener writes in and says, "Joshua, good evening. I've been listening for a while, and I remember that during one episode you briefly went into how you were scanning all of your books to PDF. I was wondering, will you please elaborate some more on that for me? Did you have a high-end duplex scanner? Or software specially made for the PDF?"
[00:00:57.360 --> 00:01:26.980]  -
[00:01:27.020 --> 00:01:57.000]  ,
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   -
[00:01:57.000 --> 00:01:57.000]   - -
[00:01:57.940 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.020 --> 00:02:27.020]   -
[00:02:27.060 --> 00:02:36.900]  anc «
[00:02:36.900 --> 00:02:37.280]   end. #
[00:02:37.280 --> 00:02:37.780]   22 surprised
