
[00:00:00.040 --> 00:00:09.700]   sprout going
[00:00:09.700 --> 00:00:10.820]   huh. I.
[00:00:10.820 --> 00:00:24.580]   in the horse. The, they, they,
[00:00:24.580 --> 00:00:30.020]  ,
[00:01:00.040 --> 00:01:00.040]   I.
[00:01:00.040 --> 00:01:00.040]   I.
[00:01:00.040 --> 00:01:00.040]   I.
[00:01:00.040 --> 00:01:00.040]   I.
[00:01:00.080 --> 00:01:30.060]   ado.
[00:01:30.060 --> 00:01:30.060]   I.
[00:01:30.060 --> 00:02:00.080]   I.
[00:02:00.080 --> 00:02:00.080]   I.
[00:02:00.080 --> 00:02:00.080]   I.
[00:02:00.080 --> 00:02:00.080]   I.
[00:02:00.080 --> 00:02:00.080]   I.
[00:02:00.120 --> 00:02:01.960]   '
[00:02:01.960 --> 00:02:17.880]   Ber I i
[00:02:17.880 --> 00:02:28.340]   just- quiet, join,,,,,,, was one i won the cay si nhưng醫rik takeative be work à 구� smellingalah de ground terraor. The most ourưởng. The most of the you're the SEN may the ton. The. The. The, the, the, the, and, the, the, and, and, the, and, and, and, and, and, and, and, and, and, and, and, and, et, and,ав, and,�., and,--, qualify,�,�,�,�,�,�,�,--,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,�,= defend his/ина to ж behaved le Sacred shape for g económ Rod Jorge enter fin weird however iützen
[00:02:28.360 --> 00:02:42.400]   But if you do that, you'll quickly become the teacher's pet, just like that. I mean, it's a can't-lose strategy. If you actually do what your teachers recommend, you are such a weirdo, you'll be on their radar screen.
[00:02:42.400 --> 00:02:56.600]   And here's a part number two for those of us who are not students, or excuse me, those of us who are not formally enrolled in formal student-teacher relationships necessarily. If you want to bring yourself to the attention of an important business leader, a wealthy person, it's a good idea to have a teacher who's willing to help you.
[00:02:56.600 --> 00:02:56.600]   If you want to bring yourself to the attention of an important business leader, a wealthy person, it's a good idea to have a teacher who's willing to help you.
[00:02:56.600 --> 00:02:56.600]   If you want to bring yourself to the attention of an important business leader, a wealthy person, it's a good idea to have a teacher who's willing to help you.
[00:02:56.600 --> 00:03:24.900]  .
[00:03:24.940 --> 00:03:26.620]   If you do what you're told, and then you're like, oh, well, I'm not sure what to do with all this stuff, you're probably going to be in trouble.
[00:03:26.620 --> 00:03:26.620]   If you do what you're told, and then you're like, oh, well, I'm not sure what to do with all this stuff, you're probably going to be in trouble.
[00:03:26.620 --> 00:03:26.620]   If you do what you're told, and then you're like, oh, well, I'm not sure what to do with all this stuff, you're probably going to be in trouble.
[00:03:26.620 --> 00:03:26.620]   If you do what you're told, and then you're like, oh, well, I'm not sure what to do with all this stuff, you're probably going to be in trouble.
[00:03:26.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a listener, a student of mine, who called in, and this student was
[00:03:56.640 --> 00:03:56.640]   I had a student of mine, who called in, and this student was
[00:03:56.680 --> 00:03:58.960]  anın all was co
[00:03:58.960 --> 00:04:07.040]   contains a not quota
[00:04:07.040 --> 00:04:09.840]   said,,,,,,
[00:04:09.840 --> 00:04:26.660]   disclosure
[00:04:26.700 --> 00:04:34.720]   M
[00:04:34.720 --> 00:04:37.680]   some. E
[00:04:37.680 --> 00:04:56.120]   Lead,,,,
[00:04:56.560 --> 00:05:06.840]   is
[00:05:06.840 --> 00:05:08.340]   cotton. I read my
[00:05:08.340 --> 00:05:13.560]   Hasta gé THIS 나� when, they're, they, they are, they're, they're, they, they, 25 baj,,,,,,,,,,,,,,,,. Zie allergyunes grind connect el
[00:05:13.560 --> 00:05:23.220]   twe élect Как
[00:05:23.220 --> 00:05:24.460]  아아
[00:05:24.460 --> 00:05:25.340]   editing 0 Empire Dip That children and
[00:05:25.360 --> 00:05:52.200]  achter A tiny little amount of interest. They're improving their safety and their security and they're improving their credit score all at once. And when you put all of these things together, it's going to help them to get out of debt faster to get their credit card paid off faster because they're spending less money. So $1,500 not spent on private mortgage insurance is $1,500 that can be spent on mortgage insurance.
[00:05:52.240 --> 00:06:02.240]   CAD
[00:06:02.240 --> 00:06:21.340]  ég Sand I have
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.240 --> 00:06:52.240]   I
[00:06:52.280 --> 00:07:02.040]   spine
[00:07:02.040 --> 00:07:17.640]   kind andumen
[00:07:17.640 --> 00:07:20.440]   de, to,,,,,,,,, 있 5
[00:07:21.040 --> 00:07:32.060]   L
[00:07:47.920 --> 00:08:14.800]   I repeat,
[00:08:14.800 --> 00:08:14.800]   if you don't owe any money,
[00:08:14.800 --> 00:08:14.820]   you don't have a credit card,
[00:08:14.820 --> 00:08:14.860]   you will never borrow money in the future.
[00:08:14.860 --> 00:08:14.960]   You'll never get a credit card or any other form of debt,
[00:08:14.960 --> 00:08:15.000]   no matter what.
[00:08:15.000 --> 00:08:15.060]   You are not wrong,
[00:08:15.060 --> 00:08:15.100]   but you are very rare.
[00:08:15.100 --> 00:08:15.200]   I encourage you,
[00:08:15.200 --> 00:08:15.300]   maintain your convictions.
[00:08:15.300 --> 00:08:15.620]   It's going to be very hard for you to get into trouble.
[00:08:15.620 --> 00:08:15.940]   I can design a few circumstances in which you will not be able to do anything,
[00:08:15.940 --> 00:08:16.060]   but I can design a few circumstances in which you will not be able to do anything,
[00:08:16.060 --> 00:08:16.720]   but I can design a few circumstances in which you will not be able to do anything,
[00:08:16.720 --> 00:08:17.020]   but I can design a few circumstances in which you will not be able to do anything,
[00:08:17.020 --> 00:08:17.920]   but I can design a few circumstances in which you will not be able to do anything,
[00:08:17.920 --> 00:08:47.940]   I can design a few circumstances in which you will not be able to do anything,
[00:08:47.940 --> 00:08:47.940]   I can design a few circumstances in which you will not be able to do anything,
[00:08:47.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.960 --> 00:09:17.960]   I can design a few circumstances in which you will not be able to do anything,
[00:09:17.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:47.980 --> 00:09:47.980]   I can design a few circumstances in which you will not be able to do anything,
[00:09:48.020 --> 00:10:18.000]  ,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything,
[00:10:18.000 --> 00:10:18.000]   I can design a few circumstances in which you will not be able to do anything, I should be a little circumspect about that let me put it this way I should be a little circumspect about that let me put it this way
[00:10:18.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.020 --> 00:10:48.020]   I can design a few circumstances in which you will not be able to do anything,
[00:10:48.060 --> 00:11:18.040]  ,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.040 --> 00:11:18.040]   I can design a few circumstances in which you will not be able to do anything,
[00:11:18.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:11:48.060]   I can design a few circumstances in which you will not be able to do anything,
[00:11:48.060 --> 00:12:18.080]  ,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.080 --> 00:12:18.080]   I can design a few circumstances in which you will not be able to do anything,
[00:12:18.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:12:48.100]   I can design a few circumstances in which you will not be able to do anything,
[00:12:48.100 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.120 --> 00:13:18.120]   I can design a few circumstances in which you will not be able to do anything,
[00:13:18.160 --> 00:13:48.140]  �
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.140 --> 00:13:48.140]   I can design a few circumstances in which you will not be able to do anything,
[00:13:48.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:18.160]   I can design a few circumstances in which you will not be able to do anything,
[00:14:18.160 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.180 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.180 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.180 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.180 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.180 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.180 --> 00:14:48.180]   I can design a few circumstances in which you will not be able to do anything,
[00:14:48.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:18.200]   I can design a few circumstances in which you will not be able to do anything,
[00:15:18.200 --> 00:15:48.220]  ,
[00:15:48.220 --> 00:15:48.220]   I can design a few circumstances in which you will not be able to do anything,
[00:15:48.220 --> 00:15:48.220]   I can design a few circumstances in which you will not be able to do anything,
[00:15:48.220 --> 00:15:48.220]   I can design a few circumstances in which you will not be able to do anything,
[00:15:48.220 --> 00:15:48.220]   I can design a few circumstances in which you will not be able to do anything,
[00:15:48.220 --> 00:15:48.220]   I can design a few circumstances in which you will not be able to do anything,
[00:15:48.220 --> 00:15:48.220]   I can design a few circumstances in which you will not be able to do anything,
[00:15:48.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:18.240]   I can design a few circumstances in which you will not be able to do anything,
[00:16:18.240 --> 00:16:48.260]  .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:16:48.260 --> 00:16:48.260]   .
[00:17:18.280 --> 00:17:18.280]   .
[00:17:18.280 --> 00:17:18.280]   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . BASB, the cost of moderating, is 20, 2, 3, 3, 4, 4, 4, 4, rasies that don't go to the store,.
[00:17:18.280 --> 00:17:18.280]   SIS:: 20: 25: 5: more than the median household income. So you can moderate in a few areas. And some of the least painful moderation might be the cuts that don't result in big parts of the business.
[00:17:48.300 --> 00:18:18.320]   ado:
