
[00:00:00.000 --> 00:00:04.500]   Get the perfect gift for the wine lover in your life at WineEnthusiast.com
[00:00:04.500 --> 00:00:06.500]   Personalized wine openers?
[00:00:06.500 --> 00:00:08.200]   WineEnthusiast.com
[00:00:08.200 --> 00:00:10.200]   Cheese boards?
[00:00:10.200 --> 00:00:12.700]   Mmm. WineEnthusiast.com
[00:00:12.700 --> 00:00:14.000]   Glassware?
[00:00:14.000 --> 00:00:15.900]   WineEnthusiast.com
[00:00:15.900 --> 00:00:18.100]   A 500-bottle wine fridge?
[00:00:18.100 --> 00:00:20.700]   Yep. Wine Enthu- you get the picture.
[00:00:20.700 --> 00:00:25.600]   Find the best prices on the perfect wine gift for you- I mean, for someone special this year.
[00:00:25.600 --> 00:00:28.800]   At Wine Enthusiast, we bring wine to life.
[00:00:29.800 --> 00:00:34.600]   Welcome to Radical Personal Finance, a show dedicated to providing you with knowledge, skills, insight, and encouragement
[00:00:34.600 --> 00:00:40.000]   you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:45.900]   Today, we continue part two of our Asset Protection Planning for Mere Mortals series,
[00:00:45.900 --> 00:00:55.200]   wherein I want to speak with you for a bit about the legality and the morality of asset protection planning.
[00:00:55.200 --> 00:01:07.600]   The question is this, is it legal and is it moral for you to engage in conscious planning in order to protect your assets?
[00:01:07.600 --> 00:01:14.500]   Now, in the previous show, I expanded the concept of asset protection planning very, very broadly,
[00:01:14.500 --> 00:01:18.100]   much more broadly than is the customary use of that term.
[00:01:18.100 --> 00:01:23.500]   In today's show, although I think that is a valid perspective for you to continue to think about,
[00:01:23.500 --> 00:01:31.000]   I want to restrict my use of this term, asset protection planning, to the more conventional meaning.
[00:01:31.000 --> 00:01:39.500]   Basically, the conscious decisions that you might make to protect yourself from the legal claims
[00:01:39.500 --> 00:01:44.100]   that other people might seek to make upon you and your money.
[00:01:44.100 --> 00:01:49.000]   The field of asset protection planning, especially as it's practiced in the legal profession,
[00:01:49.000 --> 00:01:54.100]   is newer than many other forms of legal practice.
[00:01:54.100 --> 00:01:58.900]   That's not to say it's entirely new, it's simply newer and it is developing.
[00:01:58.900 --> 00:02:03.700]   So let's start with the simpler question of legality.
[00:02:03.700 --> 00:02:07.900]   Is it legal for you to engage in asset protection planning?
[00:02:07.900 --> 00:02:10.700]   In a word, yes, absolutely.
[00:02:10.700 --> 00:02:15.000]   It is legal for you to engage in asset protection planning.
[00:02:15.000 --> 00:02:20.500]   Now, there are some caveats that you should be aware of, but in short answer,
[00:02:20.500 --> 00:02:24.200]   asset protection planning is entirely legal.
[00:02:24.200 --> 00:02:29.600]   The legal field of asset protection planning draws heavily on the field of estate planning.
[00:02:29.600 --> 00:02:33.600]   So many of the methodologies that are used in estate planning,
[00:02:33.600 --> 00:02:38.400]   which is the conscious decisions that you might make for the disposition of your assets at your death,
[00:02:38.400 --> 00:02:42.500]   so that they go to the people that you want them to go to with a minimum of cost,
[00:02:42.500 --> 00:02:45.700]   with a minimum of friction, and with a minimum of problems,
[00:02:45.700 --> 00:02:50.800]   many of those concepts have been adapted over to the field of asset protection planning.
[00:02:50.800 --> 00:02:54.000]   Asset protection planning also draws heavily on bankruptcy laws
[00:02:54.000 --> 00:02:58.500]   and an understanding of the lengthy history of bankruptcy laws
[00:02:58.500 --> 00:03:03.700]   and an understanding of how to use those things for your own personal effect
[00:03:03.700 --> 00:03:05.600]   and for your own personal benefit.
[00:03:05.600 --> 00:03:11.000]   It is entirely legal for you to choose to align your decisions
[00:03:11.000 --> 00:03:17.600]   and choose to align the things that you do with your money in ways that help you.
[00:03:17.600 --> 00:03:25.200]   For example, one of the simplest and frankly strongest forms of asset protection planning
[00:03:25.200 --> 00:03:29.800]   for you to engage in is to fund something like a 401k account
[00:03:29.800 --> 00:03:34.400]   or to take advantage of another company pension that is offered to you.
[00:03:34.400 --> 00:03:40.500]   The question when you fund a 401k, are you funding that 401k
[00:03:40.500 --> 00:03:42.600]   because you want to break the law?
[00:03:42.600 --> 00:03:48.400]   Of course not. You're funding that 401k because you are seeking to provide for your retirement
[00:03:48.400 --> 00:03:50.600]   and you're seeking to invest for the future.
[00:03:50.600 --> 00:03:57.600]   But in the funding of that 401k, you are taking advantage of a tax loophole.
[00:03:57.600 --> 00:04:02.500]   After all, you are avoiding paying current income tax on your wages.
[00:04:02.500 --> 00:04:08.000]   You're avoiding paying current tax on the increase in the value of those investments
[00:04:08.000 --> 00:04:09.600]   as the money accumulates in your 401k.
[00:04:09.600 --> 00:04:12.800]   So you're engaging in tax planning, which is lowering your cost,
[00:04:12.800 --> 00:04:15.400]   and you're also engaging in asset protection planning
[00:04:15.400 --> 00:04:21.800]   because under US federal law, the assets held within a qualified plan,
[00:04:21.800 --> 00:04:25.100]   such as a 401k, are basically sacrosanct.
[00:04:25.100 --> 00:04:30.000]   They're bulletproof. They are protected from any legal claim that might come against you.
[00:04:30.000 --> 00:04:36.400]   They also happen to be protected from your declaration of bankruptcy.
[00:04:36.400 --> 00:04:41.000]   So if you were to declare bankruptcy, you generally would be able to hang on to the assets
[00:04:41.000 --> 00:04:43.400]   that are in your 401k.
[00:04:43.400 --> 00:04:47.900]   And so that's a very simple example of asset protection planning.
[00:04:47.900 --> 00:04:53.700]   In your state, there will be some provision made also to protect the value of your homestead.
[00:04:53.700 --> 00:04:58.600]   I think there are five states that allow a very high or unlimited homestead exemption.
[00:04:58.600 --> 00:05:01.200]   My state, Florida, is perhaps the best.
[00:05:01.200 --> 00:05:08.400]   It has the strongest, almost bulletproof protection for your homestead from most legal claims.
[00:05:08.400 --> 00:05:13.100]   So if you pay off your house and then somebody sues you,
[00:05:13.100 --> 00:05:16.100]   they get a judgment against you, but they're unable to collect on that judgment.
[00:05:16.100 --> 00:05:19.600]   Have you done something illegal because you paid off your house?
[00:05:19.600 --> 00:05:24.100]   Answer is simply no. No, you haven't. The law is very, very clear.
[00:05:24.100 --> 00:05:31.700]   So the simple answer is yes, it's absolutely legal for you to engage in asset protection planning.
[00:05:31.700 --> 00:05:40.000]   The law, drawing from business law, where legal risks and liabilities are limited within specific business entities,
[00:05:40.000 --> 00:05:44.400]   is well established. We have hundreds and hundreds of years of precedent,
[00:05:44.400 --> 00:05:47.700]   and this is a bulwark of our modern economy.
[00:05:47.700 --> 00:05:52.900]   So the fact that you choose to take advantage of these laws for your own benefit is not only entirely legal,
[00:05:52.900 --> 00:05:58.200]   but it's the standard piece of advice for anybody to engage in.
