
[00:00:00.040 --> 00:00:09.560]  對對
[00:00:09.560 --> 00:00:10.380]   "ав and this Yue
[00:00:10.380 --> 00:00:19.280]   " sub
[00:00:19.280 --> 00:00:27.280]   ad love talking lifeentư controls Kat,TC,_,�, yak, s, se, never,lude, saying, earth, provide, Le, honored, whatsoever, LAUGHTER, might,ICES C. recover the R. as,ל,tern. Acad, show: the next, prayer. Er.e. understand.IND.�. dic. is the New. lii, die. que�. étaientе. a
[00:00:27.280 --> 00:00:28.460]  �.
[00:00:28.460 --> 00:00:29.260]   today.
[00:00:29.380 --> 00:00:35.640]   q&a.
[00:00:35.640 --> 00:00:58.720]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less. My name is Joshua and today is Friday and we have the Open Funding Show.
[00:00:58.760 --> 00:01:05.040]   like
[00:01:05.040 --> 00:01:12.860]   gravy� W W C The
[00:02:55.480 --> 00:03:03.380]   manages
[00:03:03.380 --> 00:03:24.080]   child, be. I'm
[00:03:53.320 --> 00:03:53.320]   and I'm going to go ahead and get started.
[00:03:53.320 --> 00:03:53.320]   I'm going to go ahead and get started.
[00:03:53.320 --> 00:03:53.320]   I'm going to go ahead and get started.
[00:03:53.320 --> 00:03:53.420]   I'm going to go ahead and get started.
[00:04:22.380 --> 00:04:22.380]   I'm going to go ahead and get started.
[00:04:22.380 --> 00:04:22.380]   I'm going to go ahead and get started.
[00:04:22.380 --> 00:04:22.380]   I'm going to go ahead and get started.
[00:04:22.380 --> 00:04:22.440]   I'm going to go ahead and get started.
[00:04:22.440 --> 00:04:22.500]   I'm going to go ahead and get started.
[00:04:22.500 --> 00:04:22.560]   I'm going to go ahead and get started.
[00:04:22.560 --> 00:04:22.640]   I'm going to go ahead and get started.
[00:04:22.640 --> 00:04:22.720]   I'm going to go ahead and get started.
[00:04:22.720 --> 00:04:22.780]   I'm going to go ahead and get started.
[00:04:22.780 --> 00:04:22.860]   I'm going to go ahead and get started.
[00:04:22.860 --> 00:04:22.940]   I'm going to go ahead and get started.
[00:04:22.940 --> 00:04:22.960]   I'm going to go ahead and get started.
[00:04:22.960 --> 00:04:23.060]   I'm going to go ahead and get started.
[00:04:23.060 --> 00:04:23.120]   I'm going to go ahead and get started.
[00:04:23.120 --> 00:04:23.200]   I'm going to go ahead and get started.
[00:04:23.200 --> 00:04:23.240]   I'm going to go ahead and get started.
[00:04:23.240 --> 00:04:23.280]   I'm going to go ahead and get started.
[00:04:23.280 --> 00:04:23.320]   I'm going to go ahead and get started.
[00:04:23.320 --> 00:04:53.220]   I'm going to go ahead and get started.
[00:04:53.220 --> 00:04:53.240]   I'm going to go ahead and get started.
[00:04:53.240 --> 00:04:53.260]   I'm going to go ahead and get started.
[00:04:53.260 --> 00:04:53.280]   I'm going to go ahead and get started.
[00:04:53.280 --> 00:04:53.300]   I'm going to go ahead and get started.
[00:04:53.300 --> 00:04:53.340]   I'm going to go ahead and get started.
[00:04:53.340 --> 00:04:53.340]   I'm going to go ahead and get started.
[00:04:53.380 --> 00:05:01.340]   it
[00:05:01.340 --> 00:05:03.660]   at the thing with,,,,,
[00:05:22.380 --> 00:05:29.360]   find
[00:05:29.360 --> 00:05:32.640]   Z I don the. ...,
[00:05:32.640 --> 00:05:34.380]   cookies
[00:05:34.380 --> 00:05:34.880]   check and the en the brain is the more the mean the ZO CS GS GI Cs C's第一個
[00:05:34.880 --> 00:05:50.480]   have
[00:05:50.940 --> 00:06:19.080]   don
[00:08:40.740 --> 00:08:51.020]   show
[00:08:51.020 --> 00:08:52.020]   the very之後
[00:08:52.020 --> 00:08:54.600]  นะ. , ,, and y quinetics. I think that I just go with the government, and, ,, ,, ,,, ., No,
[00:08:54.600 --> 00:09:08.960]  聲
[00:10:07.920 --> 00:10:13.540]   Bar
[00:10:13.540 --> 00:10:17.760]   ad,luent Intelligence
[00:12:57.420 --> 00:13:03.140]   and you're going to lose your lawsuits. So the same thing applies with health.
[00:13:03.140 --> 00:13:03.140]   So it's possible that you could get in a situation where you get drunk and you drive into a school bus and you kill 15 children in the school bus and you lose 15 lawsuits, each of which costs you $15 million and you wind up bankrupt. So that's possible with your car insurance and your car insurance isn't going to cover it and your umbrella policy is going to run out and you're going to lose your lawsuits. So the same thing applies with health.
[00:13:03.140 --> 00:13:03.140]   So it's possible that you could get in a situation where you get drunk and you drive into a school bus and you kill 15 children in the school bus and you lose 15 lawsuits, each of which costs you $15 million and you wind up bankrupt. So that's possible with your car insurance and your car insurance isn't going to cover it and your umbrella policy is going to run out and you're going to lose your lawsuits. So the same thing applies with health.
[00:13:03.180 --> 00:13:09.200]  Hola 천
[00:13:09.200 --> 00:13:13.400]   E I I,,,,,
[00:13:13.400 --> 00:13:27.200]   Mash sauce десят
[00:13:31.480 --> 00:13:41.540]   small
[00:13:41.540 --> 00:13:45.500]  ,�, 9,ware, monkey a is a doesn path quality腳
[00:13:45.500 --> 00:14:00.700]   less the
[00:14:01.360 --> 00:14:02.360]  programs.com/the-prospects.com.
[00:14:02.360 --> 00:14:05.360]   Thank you.
[00:14:05.360 --> 00:14:08.360]   I am now live at the St.
[00:14:08.360 --> 00:14:09.360]   Louis University of the University of
[00:14:09.360 --> 00:14:10.360]   Minnesota.
[00:14:10.360 --> 00:14:11.360]   I am going to start off with a quick
[00:14:11.360 --> 00:14:12.360]   summary of my experience in the health
[00:14:12.360 --> 00:14:13.360]   system.
[00:14:13.360 --> 00:14:14.360]   I have had a lot of experience in the
[00:14:14.360 --> 00:14:15.360]   healthcare system.
[00:14:15.360 --> 00:14:16.360]   I have had a lot of experience in the
[00:14:16.360 --> 00:14:17.360]   healthcare system.
[00:14:17.360 --> 00:14:18.360]   I have had a lot of experience in the
[00:14:18.360 --> 00:14:19.360]   healthcare system.
[00:14:19.360 --> 00:14:20.360]   I have been working with doctors and
[00:14:20.360 --> 00:14:21.360]   nurses and other people who have had
[00:14:21.360 --> 00:14:22.360]   experience in the healthcare system and
[00:14:22.360 --> 00:14:23.360]   have had experience in the healthcare system.
[00:14:23.360 --> 00:14:24.360]   I have been working with doctors and
[00:14:24.360 --> 00:14:25.360]   nurses and other people who have had
[00:14:25.360 --> 00:14:26.360]   experience in the healthcare system.
[00:14:26.360 --> 00:14:27.360]   I have been working with doctors and
[00:14:27.360 --> 00:14:28.360]   nurses and other people who have had
[00:14:28.360 --> 00:14:29.360]   experience in the healthcare system.
[00:14:29.360 --> 00:14:30.360]   I have been working with doctors and
[00:14:30.500 --> 00:15:00.400]   and other people who have had experience in the
[00:15:00.400 --> 00:15:00.400]   I have been working with doctors and nurses and other people who have had experience in the healthcare system.
[00:15:00.400 --> 00:15:00.400]   I have been working with doctors and nurses and other people who have had experience in the healthcare system.
[00:15:00.400 --> 00:15:00.400]   I have been working with doctors and nurses and other people who have had experience in the healthcare system.
[00:15:00.440 --> 00:15:10.320]   Steven
[00:15:10.320 --> 00:15:11.340]   2 continue
[00:15:11.340 --> 00:15:30.300]   g, they,,,,,,,, don W头| Batman Housing crazy 100 does have a enjoyed a taken the house. I'm not 就是 posts Ciao sheet Fell Leagement B característ đấy那我們ir fix but whatever I is a dé if we's even weigh the here's, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, a, and, and, and, and, or, and,, 1996 barely,ww, con,老師, dealing, ark, may, Dw. useless. Ar,�, servant,�,ind, feel, only, process, subscribe, hin, mmm,gio, vacun's,set, investige, Festival, pass, varied, specify the, Multip
[00:15:30.360 --> 00:15:37.480]   think
[00:15:37.480 --> 00:15:56.120]   the, with,
[00:16:26.960 --> 00:16:37.020]  ing
