
[00:00:00.040 --> 00:00:09.860]   поступ get
[00:00:09.860 --> 00:00:10.400]  cal,
[00:00:56.080 --> 00:00:58.060]   and
[00:01:28.080 --> 00:01:28.080]  ,
[00:01:28.120 --> 00:01:39.640]   in
[00:01:39.640 --> 00:01:56.200]   dé en,,,,, and 5
[00:03:24.320 --> 00:03:24.320]   and 5:00 p.m. to get the money away. It's not right for you to make it easy for people to steal from you and there may be cases where you can be found legally in the wrong where you know that you are morally in the right and in those cases I believe you have a moral duty a moral obligation to fight against the moral injustice no matter what the legal consequences are.
[00:03:53.380 --> 00:03:53.380]   I defended the thesis that yes it is moral for you to engage in asset protection planning because you will always be in the situation where you can choose whether to give money you can choose whether to pay a claim and I want to put you in a situation where you're strong so that you can do what morally right no matter the course today in this episode part 3 we're going to talk about what is the problem we are protecting against and my focus is to try to instill a little bit of concern into you.
[00:03:53.380 --> 00:03:53.380]   I defended the thesis that yes it is moral for you to engage in asset protection planning because you will always be in the situation where you can choose whether to give money you can choose whether to pay a claim and I want to put you in a situation where you're strong so that you can do what morally right no matter the course today in this episode part 3 we're going to talk about what is the problem we are protecting against and my focus is to try to instill a little bit of concern into you.
[00:03:53.420 --> 00:04:03.240]   지 clos
[00:04:03.240 --> 00:04:09.760]   Le It The e in the
[00:04:09.760 --> 00:04:22.220]   É
[00:04:23.460 --> 00:04:53.440]   ck. I don't need I don't have any big risks. And I want to disabuse you of that lackadaisical attitude in this show by talking about
[00:04:53.480 --> 00:05:23.480]   the problem. I'm going to read you a number of examples from various asset protection books to help you to understand how severe this is. Quick comment on asset protection planning. This is the entirety of the series is put together by me based upon research, not based upon practice. I've never engaged in asset protection planning. I'm not a lawyer. I don't write trusts. It's not what I do. This is simply an interest of mine.
[00:05:23.520 --> 00:05:53.520]  , and I believe it should be an interest of other people. And as such, I've educated myself about it, but I've educated myself about it entirely through reading, never through actual practice. Now reading can be very helpful. It's helpful because it gives you a broad survey. And if you read a lot of stuff, as I do, you find a lot of really bad books and a lot of really good books and you kind of learn to pick and choose. And in many ways, when you read extensively about a subject, you can start to see the themes that are the same that everyone agrees on. And then those themes that are more questionable. In this series, I'm not going to be engaging in anything this
[00:05:53.520 --> 00:05:53.540]   I'm not going to be engaging in anything this
[00:05:53.540 --> 00:05:53.540]   series. I'm not going to be engaging in anything this
[00:05:53.540 --> 00:05:53.540]   series. I'm not going to be engaging in anything this
[00:05:53.580 --> 00:06:04.380]   at
[00:06:04.380 --> 00:06:07.940]   cancel. I didn,,,,
[00:07:19.500 --> 00:07:25.940]   honoring
[00:07:25.940 --> 00:07:47.400]   I,
[00:07:47.400 --> 00:07:47.720]   all 10 is end heelscess不會 building的時候," лай, "G, ", ", ", ", ", ", ", ", ", Nouster but end acop but cop andpath and just지는 DI ech 지� was SCH أي donn roasted
[00:07:47.820 --> 00:07:53.080]   los
[00:07:53.080 --> 00:07:55.480]   heart grand fluorescent
[00:07:55.480 --> 00:07:58.080]   en a continue to be
[00:07:58.080 --> 00:08:04.040]  lling
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.240]   and en a continue to be
[00:09:14.240 --> 00:09:14.280]   and en a continue to be
[00:09:14.280 --> 00:09:14.280]   and en a continue to be
[00:09:14.280 --> 00:09:14.320]   and in a continue to be
[00:09:14.320 --> 00:09:14.420]   and in a continue to be
[00:09:14.420 --> 00:09:14.480]   and in a continue to be on the ground.
[00:09:14.480 --> 00:09:14.540]   and in a continue to be on the ground.
[00:10:12.020 --> 00:10:16.160]   and in a way that's what we're talking about.
[00:10:16.160 --> 00:10:16.220]   and in a way that's what we're talking about.
[00:10:16.220 --> 00:10:18.260]   and in a way that's what we're talking about.
[00:10:18.260 --> 00:10:18.340]   and in a way that's what we're talking about.
[00:10:18.340 --> 00:10:18.340]   and in a way that's what we're talking about.
[00:10:18.340 --> 00:10:18.540]   and in a way that's what we're talking about.
[00:10:18.540 --> 00:10:18.680]   and in a way that's what we're talking about.
[00:10:18.680 --> 00:10:18.780]   and in a way that's what we're talking about.
[00:10:18.780 --> 00:10:18.840]   and in a way that's what we're talking about.
[00:10:18.840 --> 00:10:18.880]   and in a way that's what we're talking about.
[00:10:18.880 --> 00:10:18.940]   and in a way that's what we're talking about.
[00:10:18.940 --> 00:10:18.980]   and in a way that's what we're talking about.
[00:10:18.980 --> 00:10:19.040]   and in a way that's what we're talking about.
[00:10:19.040 --> 00:10:19.080]   and in a way that's what we're talking about.
[00:10:19.080 --> 00:10:23.140]  .
[00:10:23.140 --> 00:10:27.160]   and in a way that's what we're talking about.
[00:10:27.160 --> 00:10:42.380]  ,
[00:10:42.380 --> 00:10:55.440]   and in a way that's what we're talking about.
[00:10:55.440 --> 00:10:55.500]   and in a way that's what we're talking about.
[00:10:55.500 --> 00:10:55.560]   and in a way that's what we're talking about.
[00:10:55.560 --> 00:10:55.620]   and in a way that's what we're talking about.
