
[00:00:00.040 --> 00:00:10.380]   Może just is a
[00:00:10.380 --> 00:00:11.620]   mind 진
[00:00:11.620 --> 00:00:14.580]   just with never
[00:00:14.580 --> 00:00:27.440]   thinking
[00:00:56.920 --> 00:01:25.760]   5
[00:01:25.760 --> 00:01:26.900]   rather for wanna L I I thouав,,,,,, continue to the work that they look their Под Bil셨어요 I coriander as er nation "R"е, and, and, dance, and, en,
[00:01:26.940 --> 00:01:37.300]   Ho
[00:01:37.300 --> 00:01:39.060]  ?- ok. the vice, the, I,
[00:02:24.740 --> 00:02:24.740]   - -
[00:02:24.740 --> 00:02:24.740]   - -
[00:02:24.740 --> 00:02:24.740]   - -
[00:02:24.780 --> 00:02:26.640]   dalam be in the
[00:02:26.640 --> 00:02:34.600]   wins g work
[00:02:34.600 --> 00:02:35.620]   holding
[00:02:35.620 --> 00:02:35.980]   remembered, and,,,,,,,,
[00:02:35.980 --> 00:02:38.200]   handic I have shell 19
[00:02:38.200 --> 00:02:44.560]   declaration
[00:02:44.560 --> 00:02:52.740]  , .,,,,,.,,,,,,,,,,,,,,, car nhữngune continuing haul This is a from a dei Este Total of T weigh Blo Beauty who And the ^T is G shamelessutz that One of the C laissebil
[00:02:52.820 --> 00:03:22.820]   for me not to address the subject and give you some thoughts and some research, but because it's such a difficult subject where we all have such strong experiences that are emotionally vivid and because we all have such strong ideas, depending on what personal background we come from, it's the kind of subject that I feel like needs to be dealt with very, very carefully. And frankly, this is the truth. This is true of almost any subject. One of the one of my personal ambitions in building radical
[00:03:22.860 --> 00:03:31.420]  't
[00:03:31.420 --> 00:03:52.440]   will that good
[00:03:52.480 --> 00:04:02.760]   is
[00:04:02.760 --> 00:04:20.660]   여러분,,,; All C Dir
[00:04:50.760 --> 00:04:50.760]   .
[00:05:19.920 --> 00:05:19.920]   .
[00:05:19.920 --> 00:05:19.920]   .
[00:05:19.920 --> 00:05:19.920]   .
[00:05:19.920 --> 00:05:19.920]   .
[00:05:19.920 --> 00:05:19.920]   .
[00:05:19.920 --> 00:05:19.940]   .
[00:05:19.940 --> 00:05:19.980]   . .
[00:05:43.580 --> 00:05:43.620]   .
[00:05:43.620 --> 00:05:43.660]   .
[00:06:10.820 --> 00:06:10.820]   .
[00:06:10.820 --> 00:06:10.840]   .
[00:06:10.840 --> 00:06:10.860]   .
[00:06:10.860 --> 00:06:10.880]   .
[00:06:10.880 --> 00:06:10.900]   .
[00:06:10.900 --> 00:06:11.040]   .
[00:06:11.040 --> 00:06:11.220]   .
[00:06:11.220 --> 00:06:11.240]   .
[00:06:11.240 --> 00:06:11.280]   .
[00:06:11.280 --> 00:06:11.300]   .
[00:06:11.300 --> 00:06:11.320]   .
[00:06:11.320 --> 00:06:11.360]   .
[00:06:11.360 --> 00:06:11.380]   .
[00:06:11.380 --> 00:06:11.440]   .
[00:06:11.440 --> 00:06:11.440]   .
[00:06:11.440 --> 00:06:11.460]   .
[00:06:11.460 --> 00:06:11.480]   .
[00:06:11.480 --> 00:06:11.500]   .
[00:06:11.500 --> 00:06:11.520]   .
[00:06:11.520 --> 00:06:11.560]   .
[00:06:11.560 --> 00:06:11.580]   .
[00:06:11.580 --> 00:06:11.640]   .
[00:06:11.640 --> 00:06:11.660]   .
[00:06:11.660 --> 00:06:11.680]   .
[00:06:11.680 --> 00:06:11.720]   .
[00:06:11.720 --> 00:06:11.740]   .
[00:06:11.740 --> 00:06:12.040]   .
[00:06:12.040 --> 00:06:12.060]   .
[00:06:12.060 --> 00:06:12.080]   .
[00:06:12.080 --> 00:06:12.100]   .
[00:06:12.100 --> 00:06:12.120]   .
[00:06:12.120 --> 00:06:12.160]   .
[00:06:12.160 --> 00:06:12.180]   .
[00:06:12.180 --> 00:06:12.200]   .
[00:06:12.200 --> 00:06:12.240]   .
[00:06:12.240 --> 00:06:12.260]   .
[00:06:12.260 --> 00:06:12.280]   .
[00:06:12.280 --> 00:06:12.300]   .
[00:06:12.300 --> 00:06:14.780]   the
[00:06:14.780 --> 00:06:43.940]   is not
[00:06:43.940 --> 00:06:44.780]   that's not an excuse for mediocrity in terms of my own delivery.
[00:06:44.820 --> 00:06:54.440]   stepped
[00:06:54.440 --> 00:07:12.820]   her "
[00:07:13.880 --> 00:07:24.940]   not
[00:07:24.940 --> 00:07:41.420]   , and duty grat my in as Boys C동eles, and, and, and, and, and, and, a, devicesbol, target: cult: CBS: Moscày decrease이, N, X. I'm. Name, Ricky.大. rescued a
[00:07:41.420 --> 00:07:42.620]   "B. in the
[00:07:43.900 --> 00:07:47.200]   am
[00:07:47.200 --> 00:07:53.120]   aren,
[00:07:53.120 --> 00:07:54.320]   have about I I The A I talk about "iset
[00:07:54.320 --> 00:08:12.640]  , ., ,,,,,,,,, belong reasonfriend
[00:08:12.820 --> 00:08:22.880]   ear
[00:08:22.880 --> 00:08:36.820]  , Р,
[00:09:08.620 --> 00:09:08.620]   I would quickly, if necessary, I would quickly sacrifice any financial amount of money that I needed to, to see to her well-being. If she were sick, we would spend all our money to try to get her well, if that were necessary. And I think most men would do that. In fact, I think most men do that. But there are some caveats, though.
[00:09:36.540 --> 00:09:36.540]   an excellent wife
[00:09:36.540 --> 00:09:36.540]   who can find?
[00:09:36.540 --> 00:09:36.540]   an excellent wife
[00:09:36.540 --> 00:09:36.580]   who can find?
[00:09:36.580 --> 00:09:36.620]   an excellent wife?
[00:09:36.620 --> 00:09:36.940]   an excellent wife?
[00:09:36.940 --> 00:09:37.060]   an excellent wife?
[00:10:05.340 --> 00:10:05.420]   an excellent wife?
[00:10:05.420 --> 00:10:05.540]   an excellent wife?
[00:10:05.540 --> 00:10:05.860]   an excellent wife?
[00:10:05.860 --> 00:10:05.980]   an excellent wife?
[00:10:05.980 --> 00:10:06.100]   an excellent wife?
[00:10:06.100 --> 00:10:06.180]   an excellent wife?
[00:10:06.180 --> 00:10:06.260]   an excellent wife?
[00:10:06.320 --> 00:10:26.500]   .
[00:10:26.500 --> 00:10:26.540]   .
[00:10:26.540 --> 00:10:29.620]   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
[00:10:29.620 --> 00:10:36.320]   as a way of broaching this topic because if you just want to go out and get married you can go out if you can find a girl who marries there are plenty of them out there but it's harder to marry well it's harder to find an excellent wife and there is a lot of pre-worked
[00:10:36.360 --> 00:10:44.860]  ing
[00:10:44.860 --> 00:11:05.780]   say, adjustment,
[00:11:06.280 --> 00:11:13.680]   those
[00:11:13.680 --> 00:11:17.960]   in,
[00:11:34.580 --> 00:12:02.840]  berger: I like the good news translation. It says this: "How hard it is to find a capable wife. She is worth far more than jewels." Or another version: "Who can find a worthy woman?" Aramaic Bible in plain English says: "Who finds a diligent woman? For she is precious beyond incomparable."
[00:12:02.880 --> 00:12:12.960]   in
[00:12:12.960 --> 00:12:15.280]   2021 China, weigh the spr. The,nik, 숨 round,
[00:12:29.060 --> 00:12:38.780]   wouldn
[00:12:38.780 --> 00:12:53.080]   just thefin
[00:14:40.160 --> 00:14:42.960]   just thefin
[00:14:42.960 --> 00:14:43.120]   just thefin
[00:14:43.120 --> 00:14:43.140]   just thefin
[00:14:43.180 --> 00:14:53.120]  ,
[00:14:53.120 --> 00:15:11.980]  , at about le cả Le져 13, and, that, ", ", ", ", ", ",� " du control gi Carry nächsten guy noted but qu cœur work das c seemough to say, and, you, ., .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -- treatment example won the needed a Big sway Lob be Thi F repeats the help a Ch�ikke Ch conjunction
[00:15:12.020 --> 00:15:13.020]   pacify Ch's.
[00:15:13.020 --> 00:15:14.020]   And quiet.
[00:15:14.020 --> 00:15:20.460]   Better a dry crust with peace and quiet than a house full of feasting with strife.
[00:15:20.460 --> 00:15:23.380]   Or perhaps we could preach from Proverbs 25.
[00:15:23.380 --> 00:15:30.500]   Better to live -- it's better to live in a corner of the housetop than in a house shared with a quarrelsome wife.
[00:15:30.500 --> 00:15:32.980]   On this one, I like the New Living translation.
[00:15:32.980 --> 00:15:40.820]   It's better to live alone in the corner of an attic than with a quarrelsome wife in a lovely home.
[00:15:41.660 --> 00:16:10.660]  -
[00:16:10.660 --> 00:16:10.660]   .
[00:16:10.660 --> 00:16:10.660]   .
[00:16:10.660 --> 00:16:40.600]   .
[00:16:40.600 --> 00:17:10.600]   .
[00:17:10.600 --> 00:17:10.620]   .
[00:17:10.620 --> 00:17:10.620]   .
[00:17:10.620 --> 00:17:10.620]   .
[00:17:10.620 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.640 --> 00:17:40.640]   .
[00:17:40.680 --> 00:17:50.180]   produce
[00:17:50.180 --> 00:17:54.900]   at,
[00:17:54.900 --> 00:18:10.680]   contest. I don no un meat out curly那
[00:18:10.700 --> 00:18:19.960]   What I find interesting is to look at modern life and to see, can you see evidence borne out in real life or in your own experience of these things?
[00:18:19.960 --> 00:18:28.960]   My observation, my experience, I have an intense interest in the subject, I talk, I ask a lot of people when I have the chance about their own personal experiences.
[00:18:28.960 --> 00:18:34.960]   My own experience has borne out this truth that I'm trying to draw, this dividing line between these two things.
[00:18:34.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:18:39.960]   I'm thrilled to have been blessed with an excellent life.
[00:18:39.960 --> 00:19:09.360]  , I'm thrilled to have been blessed with an excellent life.
[00:19:09.360 --> 00:19:09.400]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.400 --> 00:19:09.440]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.440 --> 00:19:09.440]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.440 --> 00:19:09.640]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.640 --> 00:19:09.640]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.640 --> 00:19:09.680]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.680 --> 00:19:09.720]   I'm thrilled to have been blessed with an excellent life.
[00:19:09.760 --> 00:19:13.060]   gun
[00:19:13.060 --> 00:19:20.000]   RA P Like,,,,
[00:19:38.200 --> 00:20:06.640]   RA P Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[00:20:06.640 --> 00:20:06.640]   I'm sure there's a lot of people out there who are thinking,
[00:20:06.640 --> 00:20:06.700]   I'm sure there's a lot of people out there who are thinking,
[00:20:06.700 --> 00:20:06.740]   I'm sure there's a lot of people out there who are thinking,
[00:20:06.740 --> 00:20:07.040]   I'm sure there's a lot of people out there who are thinking,
[00:20:07.040 --> 00:20:07.100]   I'm sure there's a lot of people out there who are thinking,
[00:20:07.100 --> 00:20:07.140]   I'm sure there's a lot of people out there who are thinking,
[00:20:07.140 --> 00:20:07.180]   I'm sure there's a lot of people out there who are thinking,
[00:20:07.180 --> 00:20:07.220]   I'm sure there's a lot of people out there who are thinking,
[00:20:07.220 --> 00:20:07.280]   I'm sure there's a lot of people out there who are thinking,
[00:20:07.320 --> 00:20:17.180]   and
[00:20:17.180 --> 00:20:18.320]  er,,,,, perceive
[00:20:18.320 --> 00:20:25.460]   buy а
[00:20:25.460 --> 00:20:35.580]   qu AM T I Listen We Inred of, and, and, little, and,'re,
[00:21:05.360 --> 00:21:05.360]   ------
[00:21:05.360 --> 00:21:05.360]   ------
[00:21:05.680 --> 00:21:05.920]   ------
[00:21:05.960 --> 00:21:15.460]  Have,
[00:21:15.460 --> 00:21:16.960]  't-
[00:21:16.960 --> 00:21:35.800]   disposal discuss the't, and, and, and, and, and, and, and, and, cay роз
[00:21:54.780 --> 00:22:05.820]   a.s. I wish I had married younger. I should ask her before putting those words in her mouth. But I wish I had married younger. Now, there is some statistical sociological data that indicates that marriages are shorter lived among younger people who marry than among people who don't.
[00:22:05.820 --> 00:22:05.820]  s. I wish I had married younger. I should ask her before putting those words in her mouth. But I wish I had married younger. I should ask her before putting those words in her mouth. But I wish I had married younger. Now, there is some statistical sociological data that indicates that marriages are shorter lived among younger people who marry than among people who don't.
[00:22:05.820 --> 00:22:05.820]   I wish I had married younger. I should ask her before putting those words in her mouth. But I wish I had married younger. I should ask her before putting those words in her mouth. But I wish I had married younger. Now, there is some statistical sociological data that indicates that marriages are shorter lived among younger people who marry than among people who don't.
[00:22:35.180 --> 00:22:35.840]   ------
[00:22:35.840 --> 00:22:35.840]   ------
[00:22:35.840 --> 00:22:35.840]   ------
[00:22:35.840 --> 00:22:35.840]   ------
[00:22:35.840 --> 00:22:35.840]   ------
[00:22:35.840 --> 00:22:35.840]   ------
[00:22:35.840 --> 00:22:35.840]   ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - I'm personally not distraudde in it. I don't want to delve too deep in that. My wife and my wife and I would not have been able to build a successful marriage if we had married younger.
[00:22:35.880 --> 00:23:05.860]  , and I've taken a poll of many of my friends and most of them, at least the ones, it's a very casual poll, casual sampling just in personal communication but most of us who are married well most men I know who are married well make two comments number one they are very happy to be married they're very happy to be married.
[00:23:05.900 --> 00:23:13.140]   About
[00:23:13.140 --> 00:23:18.080]   i fell. I,
[00:23:18.080 --> 00:23:33.000]  оз near
[00:23:33.000 --> 00:23:34.480]   administrative Chris, and, and, and, and, and, and, and,our, however, carve an,ерж, Her, educ. A, un, but, new. B. want. Boy. B. cope. American cess 11. Rel. Hospital.оды.onge. →. Mehr. connectivity: remember.軍.전.ел. marca.�, whatever 10. armed. sei. yelled. out of the way to be. get the… зан. change the most of the leaning the play the money.arr amen otherwise the of the blind. can't the thing that對不對 the that is the world. the speak the fold the became the well. shorts the young. llega the può the believe the
[00:24:03.180 --> 00:24:03.180]   I'll briefly mention more on that in towards the end of the show in the later my outline someone to talk about preparation and we keep the simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.180 --> 00:24:03.260]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:03.260 --> 00:24:03.320]   I'm going to keep this simple give you some specific suggestions for you as a younger man.
[00:24:31.460 --> 00:24:33.180]   I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm going to keep this simple give you some specific suggestions for you as a younger man. I'm not perfect on my language. I slip sometimes, but I work very diligently to never refer to people who are past the age of adolescence or who are in the age of adolescence or past it.
[00:24:33.220 --> 00:24:36.580]   Mal
[00:24:36.580 --> 00:24:42.940]   í
[00:24:42.940 --> 00:24:43.140]   Anton, which,
[00:26:52.520 --> 00:27:03.400]   "
[00:27:48.860 --> 00:28:17.020]  работen.com/the-process-of-becoming-one. If you'll set a clear course for your own life, your own personal goals, you'll have plenty of marriage prospects available to you if you want them. Now you may not want them. You might choose to never marry. There are many men who make that choice and I don't think it's a foolish choice. It is better for you to never marry than to marry a non-excellent woman.
[00:29:09.460 --> 00:29:15.240]  . That will suit you if you never marry. That will help you to enjoy a life of singleness as a single man, but it will also be extremely attractive to excellent women and you will have plenty of marriage prospects. I can quit with that. If you'll take just the simple, undefined language that I used of "Be a man. Grow up and be a man."
[00:29:15.240 --> 00:29:43.420]  , that means to you, that's enough. But I want to give you a few more points. If you would like to develop, sorry, if you would like to attract to you an excellent wife, it will help you to be rich. It will also help you at least to be on your way to being rich. Wealth is extremely attractive to women. Wealth is extremely attractive to women.
[00:29:43.460 --> 00:29:53.560]   secre
[00:29:53.560 --> 00:29:54.900]   served in would
[00:29:54.900 --> 00:30:09.180]   Н I I N near... admit that is, and, .,,,,,,,�
[00:30:12.040 --> 00:30:22.240]   No
[00:30:22.240 --> 00:30:24.080]   from. I'm little sees
[00:30:24.080 --> 00:30:41.260]   goods參 land and in, you, you, you, your, you, you, you, you, Lan, Minist SMI, It Lquetver I F Strategy reinforcement輕 PS Dragon live 29. C anyhow. B. The. . belong.ime. The. E. E. gadget. Seg. .. .. .. .. ., .. .. .. ., de... think. ., .. ., ., 약 ., ., ., toi for the set the maintain the is understand the right, MS. and is the la переход the right, or the person is the set the student of the in the little tienen the視 the end the out the Ок but the case of the lucky why I'm the child and the or the
[00:30:41.340 --> 00:30:48.100]   Z
[00:30:48.100 --> 00:30:51.600]   a,,,
[00:30:51.600 --> 00:30:55.100]   arrives
[00:31:59.820 --> 00:32:05.940]   entregue, or contract.
[00:32:05.940 --> 00:32:25.940]   be ambitious set goals have ambition and a young woman if you are young a young woman who is serious and interested in marriage she will identify those character traits and they'll be attractive to her.
[00:32:25.940 --> 00:32:25.940]   be ambitious set goals have ambition and a young woman if you are young a young woman who is serious and interested in marriage she will identify those character traits and they'll be attractive to her.
