
[00:00:00.040 --> 00:00:09.420]   lihat
[00:00:09.420 --> 00:00:28.060]   back. I,
[00:00:57.400 --> 00:00:58.720]   and I'll see you next time.
[00:00:58.720 --> 00:00:58.720]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:00:58.720 --> 00:00:58.720]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less. The Radical Personal Finance Show is a production of WGBH.com today.
[00:00:58.720 --> 00:00:58.720]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:00:58.720 --> 00:00:58.720]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:00:58.720 --> 00:00:58.720]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less. The Radical Personal Finance Show is a production of WGBH.com today.
[00:00:58.720 --> 00:00:58.720]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:28.740 --> 00:01:28.740]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:28.740 --> 00:01:28.740]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:28.740 --> 00:01:28.740]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:28.740 --> 00:01:28.740]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:28.740 --> 00:01:58.760]   the Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.760 --> 00:01:58.760]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:01:58.780 --> 00:02:28.780]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:02:28.780 --> 00:02:28.780]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:02:28.780 --> 00:02:28.780]   The Radical Personal Finance Show is a production of WGBH.com today.
[00:02:28.780 --> 00:02:28.780]   The Radical Personal Finance Show is a production of WGBH.com today.
