
[00:00:00.040 --> 00:00:10.720]   fight
[00:01:55.320 --> 00:02:25.300]   I'm going to talk to you about health savings accounts in a moment where you can put $7,000 a year into that. Well, $7,000 a year for somebody who's making $100,000 a year can be a very meaningful contribution of 7%. $7,000 a year for somebody who's making $20 million a year is not at all meaningful. It's not that they can't still make that contribution. It's just that it simply is irrelevant.
[00:02:55.320 --> 00:02:55.320]   and the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:02:55.320 --> 00:02:55.320]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:02:55.320 --> 00:02:55.320]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:02:55.320 --> 00:02:55.320]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:02:55.320 --> 00:02:55.320]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:02:55.320 --> 00:02:55.320]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:02:55.360 --> 00:03:25.340]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:03:25.340 --> 00:03:25.340]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:03:25.340 --> 00:03:25.340]   the risk of creditors. That's the common accepted use of this term. And so then in part three, I zoomed in on that. We talked about the
[00:03:25.360 --> 00:03:55.360]   the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:03:55.360 --> 00:03:55.360]   We talked about the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:03:55.360 --> 00:03:55.360]   I zoomed in on that. We talked about the
[00:03:55.360 --> 00:03:55.360]   I zoomed in on that. We talked about the
[00:03:55.360 --> 00:03:55.360]   We talked about the risk of creditors. That's the common accepted use of this term. And so then in part two, I zoomed in on that. We talked about the
[00:03:55.360 --> 00:03:55.360]   We talked about the risk of creditors. That's the common accepted use of this term. And so then in part three, I zoomed in on that. We talked about the
[00:03:55.360 --> 00:04:25.380]   I zoomed in on that. We talked about the
[00:04:25.380 --> 00:04:25.380]   We talked about the risk of creditors. That's the common accepted use of this term. And so then in part three, I zoomed in on that. We talked about the
[00:04:25.380 --> 00:04:25.380]   We talked about the risk of creditors. That's the common accepted use of this term. And so then in part three, I zoomed in on that. We talked about the
[00:04:25.420 --> 00:04:27.300]   high
[00:04:27.300 --> 00:04:36.060]   South. must buy
