
[00:00:00.040 --> 00:00:09.480]   Оп
[00:00:09.480 --> 00:00:10.500]  'm their,
[00:00:56.360 --> 00:00:56.360]   The show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:00:56.360 --> 00:00:56.360]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:00:56.360 --> 00:00:56.360]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:00:56.360 --> 00:00:56.360]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years.
[00:01:24.540 --> 00:01:24.540]   The show is live Q&A which means open phone lines.
[00:01:24.540 --> 00:01:24.540]   Today's callers are all from Patreon.
[00:01:24.540 --> 00:01:24.540]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:24.540 --> 00:01:24.540]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:24.540 --> 00:01:24.540]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:24.540 --> 00:01:24.540]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:24.540 --> 00:01:24.540]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:24.580 --> 00:01:52.740]  , and you can also join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:52.740 --> 00:01:52.760]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:52.760 --> 00:01:52.800]   If you'd like to join us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:01:52.820 --> 00:02:03.780]   Thanks for joining us for the next phone call.
[00:02:03.780 --> 00:02:03.820]   Thanks for joining us for the next phone call.
[00:02:03.820 --> 00:02:17.760]   Thanks for joining us for the next phone call. I've been looking for about a year, year and a half, and I find you're inspirational. I have one question, and one thing I'd like you to expound upon, based on things you've said in the past, and I'd like to hear your opinion on it. But first up, the question is, I was curious, I was going to give you whatever numbers you wanted for this, but am I spending...
[00:02:17.760 --> 00:02:17.860]   Thanks for joining us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:02:17.860 --> 00:02:17.960]   Thanks for joining us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:02:17.960 --> 00:02:17.980]   Thanks for joining us for the next phone call, you can go to RadicalPersonalFinance.com/patron.
[00:02:18.780 --> 00:02:46.180]  , but I'm not sure if we're paying an amount commensurate to what we make, versus what we potentially need, so I'm just curious on what your thoughts on that are.
[00:02:46.180 --> 00:02:46.240]   Okay. Tell me about the insurance policies that you have, how much they're worth, how much the premiums are, and I'd like to hear your opinion on that.
[00:02:46.240 --> 00:02:46.280]   Okay. Tell me about the insurance policies that you have, how much they're worth, how much the premiums are, and I'd like to hear your opinion on that.
[00:02:46.280 --> 00:02:46.380]   Okay. Tell me about the insurance policies that you have, how much they're worth, how much the premiums are, and I'd like to hear your opinion on that.
[00:02:46.420 --> 00:02:56.540]   gun
[00:02:56.540 --> 00:03:00.200]   can. H. out,
[00:03:00.200 --> 00:03:15.540]   see in cũng
[00:03:15.600 --> 00:03:44.740]  учa. Right now, the totality of the premiums that we pay is about $1,000 a month. And that goes towards two term benefits, one for each of us. One has a 370,000 death benefit and one has a $1.1 million death benefit. And those are 150 and 563 per year. And the whole death benefits are 495,000.
[00:03:44.760 --> 00:03:52.160]   And the total is about $495,000 and 408k. And the those add up to about $11,000 a year in premiums.
[00:03:52.160 --> 00:03:54.680]   Okay, how old are the policies?
[00:03:54.680 --> 00:04:06.260]   We started that will be getting into this, I believe the fourth anniversary of that in this year, this spring.
[00:04:06.260 --> 00:04:13.880]   And how are the policies structured? Is it universal life insurance, whole life insurance over funded whole life? How are the policies
[00:04:13.880 --> 00:04:14.160]   structured?
[00:04:14.160 --> 00:04:14.780]   structured?
[00:04:14.820 --> 00:04:22.640]   find
[00:04:22.640 --> 00:04:28.640]   be the is
[00:04:42.900 --> 00:05:10.940]  ere you know I think it's 55 when we're paying those premiums until so if I say something like it's whole life paid up at 65 does that sound like probably about what it is yes okay so then that kind of policy is a traditional whole life insurance policy it will last for your entire lifetime but you are scheduled under the policy schedule to pay premiums until the age of 65 how old are you and your wife currently
[00:05:10.940 --> 00:05:10.940]   I think it's 65 is when we're supposed to be paying those premiums until
[00:05:10.940 --> 00:05:10.940]   It will last for your entire lifetime but you are scheduled under the policy schedule to pay premiums until the age of 65 how old are you and your wife currently
[00:05:10.940 --> 00:05:10.940]   It will last for your entire lifetime but you are scheduled under the policy schedule to pay premiums until the age of 65 how old are you and your wife currently
[00:05:10.940 --> 00:05:10.940]   It will last for your entire lifetime but you are scheduled under the policy schedule to pay premiums until the age of 65 how old are you and your wife currently
[00:05:10.980 --> 00:05:40.960]  , we're both 31 like this year okay and tell me about your general wealth plan how do you plan to become wealthy I'm actually extremely comfortable with the current we're very very comfortable with our current income situation and so I I focused heavily on the invest wife currently we're both 31 and this year okay and tell me about your general wealth plan how do you plan to become wealthy I'm actually extremely comfortable with the current we're very very comfortable with our current income situation and so I I I focused heavily on the invest wife currently
[00:05:40.980 --> 00:06:10.980]   and as far as getting wealthy it's by putting a significant amount of funds into different investment portfolios so how much are you investing outside of this life insurance policy how much are you investing per year and what are you investing in
[00:06:10.980 --> 00:06:10.980]   and as far as getting wealthy it's by putting a significant amount of funds into different investment portfolios so how much are you investing outside of this life insurance policy how much are you investing per year and what are you investing in
[00:06:10.980 --> 00:06:10.980]   and as far as getting wealthy it's by putting a significant amount of funds into different investment portfolios so how much are you investing outside of this life insurance policy how much are you investing per year and what are you investing in
[00:06:10.980 --> 00:06:10.980]   and as far as getting wealthy it's by putting a significant amount of funds into different investment portfolios so how much are you investing outside of this life insurance policy how much are you investing per year and what are you investing in
[00:06:11.020 --> 00:06:41.000]  ,
[00:06:41.000 --> 00:06:41.000]   you mentioned that you're putting five percent into your 401k
[00:06:41.040 --> 00:07:11.020]   you mentioned that you're putting five percent into your 401k and how much is your wife putting away
[00:07:11.020 --> 00:07:11.020]   I believe she does five percent as well okay so right now then in general excuse me a moment I need to sneeze
[00:07:11.020 --> 00:07:11.020]   in general then right now you are spending sorry you're saving about fifteen percent
[00:07:11.020 --> 00:07:11.020]   in general then right now you are spending sorry you're saving about fifteen percent
[00:07:11.020 --> 00:07:11.020]   you're saving about fifteen percent of your 401k
[00:07:11.020 --> 00:07:11.020]   you're saving about fifteen percent of your 401k
[00:07:11.020 --> 00:07:11.020]   you're saving about fifteen percent of your 401k
[00:07:11.020 --> 00:07:11.020]   you're saving about fifteen percent of your 401k you're saving about 15% of your 401k
[00:07:11.040 --> 00:07:41.040]   and the way I got to that number is you're putting about five percent into whole life insurance on a two hundred and five thousand dollar income eleven thousand dollars of annual premiums is about five percent you're putting five percent into your 401k funds and you're putting twelve thousand dollars per year which is again about five percent into your other investment pursuit is about fifteen percent is that accurate
[00:07:41.040 --> 00:07:41.040]   Yeah that sounds about right
[00:07:41.040 --> 00:07:41.040]   So
[00:07:41.040 --> 00:07:41.040]   if
[00:07:41.040 --> 00:07:41.040]   you're saving about fifteen percent of your 401k you're saving about fifteen percent of your 401k
[00:07:41.040 --> 00:07:41.040]   so if you're saving about fifteen percent of your 401k you're saving about fifteen percent of your 401k
[00:07:41.040 --> 00:07:41.040]   so if you're saving about fifteen percent of your 401k you're saving about fifteen percent of your 401k
[00:07:41.040 --> 00:07:41.040]   so if you're saving about 15% of your income is about 15% of your income
[00:07:41.040 --> 00:07:41.040]   so if you're saving about 15% of your income is about 15% of your income is about 15% of your income
[00:07:41.080 --> 00:07:50.720]   at
[00:07:50.720 --> 00:07:54.840]  del. I, like,
[00:07:54.840 --> 00:08:05.680]   wasn�. The. It's a
[00:08:07.920 --> 00:08:16.820]   down as much as, but h
[00:08:16.820 --> 00:08:20.280]   to keep it up to around
[00:08:20.280 --> 00:08:23.560]   $150,000 range. And if
[00:08:23.560 --> 00:08:26.420]   move to Maine, what would
[00:08:26.420 --> 00:08:28.120]   would it cost you to live
[00:08:28.120 --> 00:08:34.760]   I have not calculated th
[00:08:34.760 --> 00:08:34.760]   it would be a little bit
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I have not calculated that. It probably would be a little bit less.
[00:08:34.760 --> 00:08:34.760]   have not calculated that. It probably would be a little bit less.
[00:08:34.760 --> 00:08:34.760]   probably less. But we, I have not calculated that. It probably would be a little bit less.
