
[00:00:00.000 --> 00:00:05.240]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.240 --> 00:00:09.920]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.920 --> 00:00:14.760]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.760 --> 00:00:18.180]   ♪ These are a few of my favorite things ♪
[00:00:18.180 --> 00:00:24.900]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.900 --> 00:00:27.360]   Ralphs. Fresh for everyone.
[00:00:27.360 --> 00:00:30.360]   ♪
[00:00:30.360 --> 00:00:38.060]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:00:38.060 --> 00:00:41.260]   while building a plan for financial freedom in 10 years or less.
[00:00:41.260 --> 00:00:46.340]   Today we pick up a long-neglected series called How to Find an Excellent Wife.
[00:00:46.340 --> 00:00:55.080]   This is part two of the series. Part one was released as episode 615 on January 8, 2019.
[00:00:55.080 --> 00:01:01.160]   Part one was entitled "The Preparation." Part two is entitled "The Decision."
[00:01:01.160 --> 00:01:07.460]   In essence, the decision of whether you should marry or remain unmarried.
[00:01:07.460 --> 00:01:15.940]   The basic concept of this series is I'm targeting it towards young men who are seeking to figure out how to find an excellent wife.
[00:01:15.940 --> 00:01:23.240]   Because I'm convinced that this is one of the most important decisions that will shape your life and will certainly shape your finances.
[00:01:23.240 --> 00:01:30.180]   A couple of ways that this works. First, I think an excellent wife is far more valuable than money.
[00:01:30.180 --> 00:01:39.660]   I think if you talk to almost any happily married man who has an excellent wife and ask him how much money he would be happy to spend in order to save his wife's life,
[00:01:39.660 --> 00:01:46.260]   or how much he would pay to keep her, generally the answer is almost infinite.
[00:01:46.260 --> 00:01:54.340]   There's almost no amount of money. I think that reflects the amount of value that many people would place on the value of their wife.
[00:01:54.340 --> 00:01:56.840]   Just trying to put this into a financial context.
[00:01:56.840 --> 00:02:04.320]   The other reason this is so important is because the decision to marry or not to marry will drive your entire life structure,
[00:02:04.320 --> 00:02:10.360]   and it will influence every component of your finances. This is completely inescapable.
[00:02:10.360 --> 00:02:16.800]   The whole structure of your life, the whole structure of your businesses, the whole structure of your money, the whole structure of your investments,
[00:02:16.800 --> 00:02:25.540]   the whole structure of insurance products that you choose to have or don't choose to have will be influenced based upon your decision to marry or remain unmarried.
[00:02:25.540 --> 00:02:29.340]   This is really inescapable. I think it's rightly so.
