
[00:00:00.040 --> 00:00:10.520]   case
[00:00:28.780 --> 00:00:57.640]   hard
[00:03:51.360 --> 00:04:01.460]  �
[00:04:01.460 --> 00:04:16.820]   at for
[00:04:48.120 --> 00:04:57.200]  ��� the
[00:04:57.200 --> 00:05:02.260]   in the
[00:05:02.260 --> 00:05:07.700]   Although參 heard, the, the, the, the,,,,,,,,,, E 옛 entraго or heiß DIS culprit BudJO hard Mum've understand well
[00:05:07.700 --> 00:05:16.340]   A
[00:05:16.340 --> 00:05:17.120]   little
[00:05:17.980 --> 00:05:18.500]   more
[00:05:18.500 --> 00:05:19.000]   about
[00:05:19.000 --> 00:05:19.500]   the
[00:05:19.500 --> 00:05:20.000]   planning
[00:05:20.000 --> 00:05:20.500]   steps
[00:05:20.500 --> 00:05:21.000]   for you
[00:05:21.000 --> 00:05:21.500]   to be
[00:05:21.500 --> 00:05:22.000]   thinking
[00:05:22.000 --> 00:05:22.500]   about
[00:05:22.500 --> 00:05:23.000]   to prepare
[00:05:23.000 --> 00:05:23.500]   for
[00:05:23.500 --> 00:05:24.000]   recession
[00:05:24.000 --> 00:05:24.500]   because
[00:05:24.500 --> 00:05:25.000]   recessions
[00:05:25.000 --> 00:05:25.500]   can be
[00:05:25.500 --> 00:05:26.000]   really
[00:05:26.000 --> 00:05:26.500]   really
[00:05:26.500 --> 00:05:27.000]   difficult
[00:05:27.000 --> 00:05:32.000]   Now, I will never make my bets based upon something that has to happen
[00:05:32.000 --> 00:05:37.000]   I, with the exception of perhaps some speculative moves that you want to make
[00:05:37.000 --> 00:05:41.000]   uh, which there is a place for that in your investing life and your business life
[00:05:41.000 --> 00:05:47.000]   I generally, being a fairly conservative person, I want to have a plan no matter what happens
[00:05:47.000 --> 00:05:47.840]   So I'm not going to make my bets based on something that has to happen
[00:05:48.720 --> 00:06:17.720]   and I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.720 --> 00:06:17.720]   I'm not going to make my bets based on something that has to happen
[00:06:17.740 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.600 --> 00:06:47.600]   I'm not going to make my bets based on something that has to happen
[00:06:47.620 --> 00:07:17.520]   I'm not going to make my bets based on something that has to happen
[00:07:17.520 --> 00:07:17.560]   I'm not going to make my bets based on something that has to happen
[00:07:17.560 --> 00:07:17.600]   I'm not going to make my bets based on something that has to happen
[00:07:17.600 --> 00:07:17.620]   I'm not going to make my bets based on something that has to happen
[00:07:17.620 --> 00:07:17.620]   I'm not going to make my bets based on something that has to happen
[00:07:17.620 --> 00:07:17.620]   I'm not going to make my bets based on something that has to happen
[00:07:17.620 --> 00:07:17.620]   I'm not going to make my bets based on something that has to happen
[00:07:17.620 --> 00:07:17.620]   I'm not going to make my bets based on something that has to happen
