
[00:00:00.040 --> 00:00:09.300]   oro
[00:00:09.300 --> 00:00:10.420]   let you,
[00:01:53.540 --> 00:01:59.820]   at
[00:01:59.820 --> 00:02:11.580]   Hin named the e. It.
[00:02:23.560 --> 00:02:26.080]  ió�
[00:02:26.080 --> 00:02:51.920]   were my think the
[00:02:52.320 --> 00:03:03.100]   not
[00:03:03.100 --> 00:03:06.100]   thin. I play.
[00:03:06.100 --> 00:03:22.300]   ac buy BA B I는llers sonorar dados Ппод g owed viu meant Lauren--G; yelled Er, or load in, is, is, and, is, and, and, and, and, ,, ., ,, ,, .,,,,,, ,, ., ,,,,,, ., ,, ,, ,, ., ,, hyvin Aber 모 over .'ll . represents a force milk ball is the closedlé veryrze мал
[00:03:22.320 --> 00:03:52.320]   I have listeners, tens of thousands of listeners all around the world, which is such a blessing. I'm doing this call-in show, and there's people, looks like all the numbers on my screen right now are U.S. American numbers, but you can call into this show no matter where you are. So it brings us tremendous opportunities. But what's hard is to keep the same strength of interpersonal relationships when all the communication is digital. And I've noticed this over the years. I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:03:52.320 --> 00:03:52.320]   Корres
[00:03:52.320 --> 00:03:52.320]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:03:52.320 --> 00:03:52.320]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:03:52.320 --> 00:03:52.320]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:03:52.320 --> 00:03:52.320]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:03:52.320 --> 00:04:22.340]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:22.340 --> 00:04:22.340]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:22.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:04:52.360 --> 00:04:52.360]   I've gone to conferences, and I've interacted with more and more and more people who are remote virtual
[00:04:52.360 --> 00:05:22.380]  , I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
