
[00:00:00.040 --> 00:00:10.620]   care
[00:00:57.520 --> 00:01:26.380]  --
[00:02:24.340 --> 00:02:34.440]  說
[00:02:34.440 --> 00:02:52.460]   do. Ich created,ur, Foundation I can play
[00:04:17.340 --> 00:04:17.340]   and I'm going to play a little bit of a song.
[00:04:17.340 --> 00:04:17.340]   and I'm going to play a little bit of a song.
[00:04:45.600 --> 00:04:46.180]   I'm going to play a little bit of a song.
[00:04:46.180 --> 00:04:46.280]   I'm going to play a little bit of a song.
[00:04:46.280 --> 00:04:46.340]   I'm going to play a little bit of a song.
[00:04:46.340 --> 00:04:46.400]   I'm going to play a little bit of a song.
[00:04:46.400 --> 00:04:46.500]   I'm going to play a little bit of a song.
[00:04:46.500 --> 00:04:46.600]   I'm going to play a little bit of a song.
[00:04:46.600 --> 00:04:46.800]   I'm going to play a little bit of a song.
[00:04:46.800 --> 00:04:46.940]   I'm going to play a little bit of a song.
[00:04:46.940 --> 00:04:47.000]   I'm going to play a little bit of a song.
[00:04:47.000 --> 00:04:47.100]   I'm going to play a little bit of a song.
[00:04:47.100 --> 00:04:47.200]   I'm going to play a little bit of a song.
[00:04:47.200 --> 00:04:47.260]   I'm going to play a little bit of a song.
[00:04:47.300 --> 00:05:09.380]   I'm going to play a little bit of a song.
[00:05:09.380 --> 00:05:09.400]   I'm going to play a little bit of a song.
[00:05:09.400 --> 00:05:09.420]   I'm going to play a little bit of a song.
[00:05:09.420 --> 00:05:09.440]   I'm going to play a little bit of a song.
[00:05:09.440 --> 00:05:09.480]   I'm going to play a little bit of a song.
[00:05:09.480 --> 00:05:09.520]   I'm going to play a little bit of a song.
[00:05:09.520 --> 00:05:09.580]   I'm going to play a little bit of a song.
[00:05:09.580 --> 00:05:09.620]   I'm going to play a little bit of a song.
[00:05:09.620 --> 00:05:09.680]   I'm going to play a little bit of a song.
[00:05:09.680 --> 00:05:10.860]   I'm going to play a little bit of a song.
[00:05:10.860 --> 00:05:11.760]   I'm going to play a little bit of a song.
[00:05:11.760 --> 00:05:13.060]   I'm going to play a little bit of a song.
[00:05:13.060 --> 00:05:13.920]   I'm going to play a little bit of a song.
[00:05:15.860 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.880 --> 00:05:45.880]   and I'm going to play a little bit of a song.
[00:05:45.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:15.900]   I'm going to play a little bit of a song.
[00:06:15.900 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.920 --> 00:06:45.920]   I'm going to play a little bit of a song.
[00:06:45.940 --> 00:07:15.940]   There's a reason why we have the aphorism that every cloud has a silver lining.
[00:07:15.940 --> 00:07:15.940]   It's true.
[00:07:15.940 --> 00:07:15.940]   Now here's what's so incredible about what you and I have the opportunity to do.
[00:07:15.940 --> 00:07:15.940]   You and I have the opportunity today to change our focus.
[00:07:15.940 --> 00:07:15.940]   To change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.940 --> 00:07:15.940]   to change it from the things that just happen to be around us,
[00:07:15.980 --> 00:07:45.960]  , to change it from the things that just happen to be around us,
