
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Welcome to Radical Personal Finance, a show dedicated
[00:00:30.000 --> 00:00:32.000]   to providing you with the knowledge, skills, insight,
[00:00:32.000 --> 00:00:35.000]   and encouragement you need to live a rich and meaningful life
[00:00:35.000 --> 00:00:37.000]   now while building a plan for financial freedom
[00:00:37.000 --> 00:00:39.000]   in 10 years or less.
[00:00:39.000 --> 00:00:41.000]   My guest on today's show is Miles.
[00:00:41.000 --> 00:00:43.000]   Miles Wakem, welcome to the show.
[00:00:43.000 --> 00:00:44.000]   Thank you.
[00:00:44.000 --> 00:00:45.000]   Great to be here.
[00:00:45.000 --> 00:00:46.000]   So I've had you on.
[00:00:46.000 --> 00:00:48.000]   We're going to have a chat about finances.
[00:00:48.000 --> 00:00:51.000]   You blog over at beunconstrained.com,
[00:00:51.000 --> 00:00:54.000]   talking about your journey to financial independence.
[00:00:54.000 --> 00:00:56.000]   And specifically, I've had you on because you
[00:00:56.000 --> 00:01:00.000]   have been doing a recent series, but also having
[00:01:00.000 --> 00:01:03.000]   some recent experiences specifically
[00:01:03.000 --> 00:01:06.000]   on the topic of medical tourism.
[00:01:06.000 --> 00:01:07.000]   You've been doing some work in Mexico,
[00:01:07.000 --> 00:01:09.000]   and I want to hear all about that and talk about it,
[00:01:09.000 --> 00:01:12.000]   because I think it's a very key financial strategy that more
[00:01:12.000 --> 00:01:15.000]   and more of us can and should implement.
[00:01:15.000 --> 00:01:17.000]   But begin with just a little bit of your background.
[00:01:17.000 --> 00:01:19.000]   How did you wind up in the United States doing
[00:01:19.000 --> 00:01:21.000]   the kind of work you're doing, and how did you
[00:01:21.000 --> 00:01:24.000]   wind up interested in finance?
[00:01:24.000 --> 00:01:27.000]   It's a very interesting question.
[00:01:27.000 --> 00:01:30.000]   I've always been a-- when I was a kid,
[00:01:30.000 --> 00:01:32.000]   I was always into business.
[00:01:32.000 --> 00:01:33.000]   I always liked businesses.
[00:01:33.000 --> 00:01:35.000]   When I was eight years old, I ran paper rounds,
[00:01:35.000 --> 00:01:38.000]   and then I decided to get two of them and three of them
[00:01:38.000 --> 00:01:41.000]   and scaled it up and became like the king of paper rounds
[00:01:41.000 --> 00:01:43.000]   in my suburb in Australia.
[00:01:43.000 --> 00:01:48.000]   And that led into all different various businesses
[00:01:48.000 --> 00:01:50.000]   and part-time jobs when I was a teenager
[00:01:50.000 --> 00:01:53.000]   all the way through to getting out of school
[00:01:53.000 --> 00:01:55.000]   probably way earlier than I should have and going
[00:01:55.000 --> 00:01:56.000]   into business on my own.
[00:01:56.000 --> 00:02:02.000]   And I got lucky and got into the computer world in 1978,
[00:02:02.000 --> 00:02:06.000]   right when the personal computers first started coming out.
[00:02:06.000 --> 00:02:10.000]   Built one of the first software companies in my hometown,
[00:02:10.000 --> 00:02:18.000]   employed a dozen people and sold it when I was 24, 23, 24.
