
[00:00:00.000 --> 00:00:03.000]   Your tough Tacoma is here.
[00:00:03.000 --> 00:00:05.000]   Your powerful 4Runner.
[00:00:05.000 --> 00:00:08.000]   Your stylish Camry.
[00:00:08.000 --> 00:00:10.000]   Your versatile RAV4.
[00:00:10.000 --> 00:00:14.000]   Even your fully electric VZ4X.
[00:00:14.000 --> 00:00:20.000]   Your new Toyota car, truck or SUV is available now.
[00:00:20.000 --> 00:00:23.000]   So see your Toyota dealer today.
[00:00:23.000 --> 00:00:26.000]   We make it easy.
[00:00:26.000 --> 00:00:29.000]   Toyota. Let's go places.
[00:00:30.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:47.000]   Today on the show, we're going to finish out our 7 Rings of Freedom series by talking about financial liberty.
[00:00:47.000 --> 00:00:53.000]   I'm using that word financial liberty just because it fits my theme of liberty, liberty, liberty, liberty or freedom, financial freedom.
[00:00:53.000 --> 00:00:59.000]   But here in Ring #7, we're going to talk about being financially independent.
[00:00:59.000 --> 00:01:10.000]   And the definition here that I'm going to use for financial independence is the ability to live your desired lifestyle based purely on the income from your investments.
[00:01:10.000 --> 00:01:17.000]   The ability to live your desired lifestyle based purely on the income from your investments.
[00:01:17.000 --> 00:01:24.000]   This is a definition that I would use to classify somebody as genuinely, truly wealthy.
[00:01:24.000 --> 00:01:31.000]   When you can live on your investment portfolio, you don't need to work for wages or for income.
[00:01:31.000 --> 00:01:37.000]   Any point in the rest of your life, I would classify you as genuinely wealthy in that circumstance.
[00:01:37.000 --> 00:01:49.000]   And in fact, I think this is one of the only, this is where the word passive income, this is one of the only places where the word passive income comes in and is relevant with regard to financial freedom and financial planning.
[00:01:49.000 --> 00:01:56.000]   People talk about passive income and maybe you can make passive income from an online business or passive income from a real estate portfolio.
[00:01:56.000 --> 00:02:06.000]   As far as I'm concerned, I think the only thing that truly qualifies as passive income would be something like dividends from a publicly traded company.
[00:02:06.000 --> 00:02:14.000]   I'm even nervous about dividends or income from a private company just simply because generally there's going to be some amount of work needed for you in a private company, much of the time.
[00:02:14.000 --> 00:02:18.000]   There's no rule why it has to be that way, but it just seems like generally that's the case.
[00:02:18.000 --> 00:02:30.000]   But if you can sit back and you can own shares of Coca-Cola Corporation and the dividends that you get from Coca-Cola Corporation are sufficient for you to pay your lifestyle for the rest of your life, well, you're genuinely wealthy.
[00:02:30.000 --> 00:02:32.000]   You've got passive income.
[00:02:32.000 --> 00:02:33.000]   You don't have to do anything.
[00:02:33.000 --> 00:02:35.000]   It just comes in for you.
[00:02:35.000 --> 00:02:37.000]   And that's what we're going to talk about today.
[00:02:37.000 --> 00:02:54.000]   Now, I see this as step seven and I want to do a few minutes of review of the first six steps because my intention in creating this show for you was to give you things that you can do to enjoy more freedom and liberty on your way to this level of financial liberty.
[00:02:54.000 --> 00:03:02.000]   So by way of review, step number one, or ring number one in this Seven Rings of Freedom shows was spiritual liberty.
[00:03:02.000 --> 00:03:12.000]   I shared with you the basic idea that if you are spiritually free, no matter how difficult your outward circumstances are, you can enjoy a life of freedom.
[00:03:12.000 --> 00:03:14.000]   You really can.
[00:03:14.000 --> 00:03:26.000]   And you've seen that in many cultures, many civilizations, all throughout history that if you are spiritually free, you can build a quality and satisfying life even in the midst of the most outwardly constricting circumstances.
[00:03:26.000 --> 00:03:49.000]   But on the converse, if you are a spiritual slave, if you're in bondage to something in your life, you're in bondage to sin, you're in bondage to behaviors that you don't want to be a part of, if you're spiritually not free, then no matter how great your outward life is, no matter how much money you have, no matter how much apparent freedom you have, you can live in a hell of your own making.
