
[00:00:00.000 --> 00:00:04.000]   Your tough Tacoma is here.
[00:00:04.000 --> 00:00:06.000]   Your powerful 4Runner.
[00:00:06.000 --> 00:00:08.000]   Your stylish Camry.
[00:00:08.000 --> 00:00:11.000]   Your versatile RAV4.
[00:00:11.000 --> 00:00:15.000]   Even your fully electric VZ4X.
[00:00:15.000 --> 00:00:21.000]   Your new Toyota car, truck, or SUV is available now.
[00:00:21.000 --> 00:00:24.000]   So see your Toyota dealer today.
[00:00:24.000 --> 00:00:26.000]   We make it easy.
[00:00:26.000 --> 00:00:29.000]   Toyota. Let's go places.
[00:00:30.000 --> 00:00:38.000]   Welcome to Radical Personal Finance.
[00:00:38.000 --> 00:00:44.000]   A show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:00:44.000 --> 00:00:47.000]   while building a plan for financial freedom in 10 years or less.
[00:00:47.000 --> 00:00:51.000]   Today on the show we're going to talk a little bit about our economic crisis and collapse.
[00:00:51.000 --> 00:00:53.000]   How exciting.
[00:00:53.000 --> 00:00:57.000]   I'm here with my friend Jimmy who's been working as a missionary who works in Venezuela.
[00:00:57.000 --> 00:00:59.000]   He's been working there for many years.
[00:00:59.000 --> 00:01:09.000]   On today's show we're going to talk a little bit about Venezuela, including also about the project that the Radical Personal Finance community was instrumental in helping to get started.
[00:01:09.000 --> 00:01:14.000]   But we're mainly going to focus on the economics of what's happening in Venezuela.
[00:01:14.000 --> 00:01:20.000]   I think it's one of the most instructive scenarios because a lot of people worry about what does a total economic crisis look like?
[00:01:20.000 --> 00:01:22.000]   What does a collapse look like?
[00:01:22.000 --> 00:01:29.000]   Well, in today's world, the place to go if you're interested in seeing what those kinds of things look like is Venezuela.
[00:01:29.000 --> 00:01:31.000]   So, Jimmy, welcome back to Radical Personal Finance.
[00:01:31.000 --> 00:01:34.000]   Thank you. Thank you for having me back.
[00:01:34.000 --> 00:01:41.000]   So, I would like you to describe. You have been going to Venezuela for 20 years? More?
[00:01:41.000 --> 00:01:43.000]   No, 30 years.
