
[00:00:00.000 --> 00:00:04.680]   [intro music]
[00:00:04.680 --> 00:00:10.440]   So for today's deep dive, the topic I want to tackle is the
[00:00:10.440 --> 00:00:17.520]   following provocative question, is ambition worth it? Now let me
[00:00:17.520 --> 00:00:20.160]   give a disclaimer before I set up this discussion. The
[00:00:20.160 --> 00:00:24.440]   disclaimer is this is not a topic for which I have polished
[00:00:24.440 --> 00:00:27.680]   evolved thoughts that I am now going to convey to you. It's
[00:00:27.680 --> 00:00:31.360]   instead a topic that I have found interesting off and on and
[00:00:31.360 --> 00:00:34.040]   particularly recently I've been thinking about. So this morning,
[00:00:34.040 --> 00:00:36.320]   I just jotted down some thoughts. So what this is what
[00:00:36.320 --> 00:00:40.480]   you're going to hear today is me thinking out loud, not
[00:00:40.480 --> 00:00:43.260]   delivering well thought through conclusions. So this this should
[00:00:43.260 --> 00:00:47.320]   be fun, you know, buckle up for that. So what made me start
[00:00:47.320 --> 00:00:49.600]   thinking about ambition recently, there has been
[00:00:49.600 --> 00:00:53.440]   recently, as there happens off and on, it feels like over the
[00:00:53.440 --> 00:00:57.680]   last couple of years, a big collection of various essays and
[00:00:57.680 --> 00:01:02.520]   articles that have come out that are all taking a negative stance
[00:01:02.520 --> 00:01:07.080]   against the idea of ambition. People often send these to me
[00:01:07.080 --> 00:01:10.360]   and so I encounter them quite often. I'm cited in some of
[00:01:10.360 --> 00:01:13.240]   these. What's interesting is sometimes I'm cited as the
[00:01:13.240 --> 00:01:17.760]   villain and sometimes I'm cited as the non villain depending on
[00:01:17.760 --> 00:01:20.720]   how you think about me or what part of my writing you're
[00:01:20.720 --> 00:01:23.360]   actually citing. So these come to me because they often they
[00:01:23.360 --> 00:01:27.000]   often cite me but it got me thinking recently about this
[00:01:27.000 --> 00:01:32.640]   topic of ambition. So if you look at these what I call
[00:01:32.640 --> 00:01:37.520]   anti-ambition essays, there's really two pieces to them.
[00:01:37.520 --> 00:01:42.240]   There's the piece which is personal and interesting and
[00:01:42.240 --> 00:01:45.960]   compelling, which is often people talking about their own
[00:01:45.960 --> 00:01:50.680]   struggles with ambition, and the difficulty they have with it.
[00:01:51.360 --> 00:01:55.080]   And the attempts they're making to perhaps disentangle their
[00:01:55.080 --> 00:01:58.920]   life from this ambition. And then there's a maybe the
[00:01:58.920 --> 00:02:03.560]   explanatory part that's saying why is ambition something that
[00:02:03.560 --> 00:02:07.040]   is so popular? Why was I as the person writing this essay so
[00:02:07.040 --> 00:02:08.920]   entangled in ambition? And in some sense, that's less
[00:02:08.920 --> 00:02:12.640]   interesting to me because you just see whatever frame that
[00:02:12.640 --> 00:02:15.720]   person's cultural context lies within will just give them that
[00:02:15.720 --> 00:02:18.520]   answer. So if you read anti-ambition essays coming from
[00:02:18.540 --> 00:02:22.340]   let's say a substack writer who lives in Brooklyn, they're going
[00:02:22.340 --> 00:02:24.580]   to look around their cultural world and say, well, ambition
[00:02:24.580 --> 00:02:28.100]   is, it's from capitalism. Let's have like an economic
[00:02:28.100 --> 00:02:31.540]   materialist approach to this where we say if we can just get
[00:02:31.540 --> 00:02:36.740]   rid of capitalism, we can get rid of these sort of disordered
[00:02:36.740 --> 00:02:40.020]   affectations, these disordered compulsions towards
[00:02:40.020 --> 00:02:42.900]   accomplishment. Whereas if you read an anti-ambition essay,
[00:02:42.900 --> 00:02:48.500]   let's say from someone who lives in Montana, and is really in
[00:02:48.500 --> 00:02:51.660]   to bow hunting or Brazilian jiu-jitsu, the frame there
[00:02:51.660 --> 00:02:55.300]   might be a much more Thoreauian type frame about simplicity and
[00:02:55.300 --> 00:02:59.820]   focusing on things that really matter and getting clutter out
[00:02:59.820 --> 00:03:02.740]   of your life. So it really just depends. So I don't care about
[00:03:02.740 --> 00:03:07.220]   the explanation, but I care about the phenomenon of these
[00:03:07.220 --> 00:03:10.980]   essays, once again, becoming something that we read quite a
[00:03:10.980 --> 00:03:15.660]   bit about. So I want to jump into this and try to actually
