
[00:00:00.040 --> 00:00:09.440]   걸로
[00:00:09.440 --> 00:00:10.260]   they like,,,,,
[00:00:10.260 --> 00:00:10.720]   Vic P L G F our
[00:00:23.900 --> 00:00:35.420]   in
[00:00:35.420 --> 00:00:51.280]   TV C I B or wasn�, and, as,주,änd, aisle,
[00:00:53.360 --> 00:01:00.780]   Nev: You die, you die. You die, you die.
[00:01:00.780 --> 00:01:16.360]   Any advice? Well, that was pretty good.
[00:01:16.360 --> 00:01:22.820]   Standing position, I think, sometimes you reach a little bit too much. So,
[00:01:22.820 --> 00:01:22.820]   If you reach a little bit too much, then you don't have enough space,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much. So, if you reach a little bit too much,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much, then you don't have enough space,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much, then you don't have enough space,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much, then you don't have enough space,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much, then you don't have enough space,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much, then you don't have enough space,
[00:01:22.820 --> 00:01:22.820]   Sometimes you reach a little bit too much, then you don't have enough space,
[00:01:22.860 --> 00:01:33.080]   via
[00:01:33.080 --> 00:01:33.140]   in the in the
[00:01:51.640 --> 00:01:59.640]   el
[00:01:59.640 --> 00:02:01.700]   just be the Dev The A支
[00:02:01.700 --> 00:02:20.320]  ,,,,,,,,,,
[00:03:16.480 --> 00:03:16.480]   In MMA, there's different styles. I like to be using proactive and reactive takedowns.
[00:03:16.480 --> 00:03:16.500]   I like to be using proactive and reactive takedowns.
[00:03:16.540 --> 00:03:26.820]   and
[00:03:26.820 --> 00:03:27.920]   발 not in the我們的
[00:03:27.920 --> 00:03:36.460]  ruktur
[00:03:36.460 --> 00:03:45.800]   headache, and, and,,,,,,,, is, millennials que chats X law sex parcel
[00:03:45.920 --> 00:04:08.440]  rage.com/biz. I'm more of a more of a dynamic I see. I like to explode. So that's one of my strengths, which can be very good. This was a bullet. Very good. Technically. And he's very strong in isometric crank. I heard. So he's very good with this style of resting.
