
[00:00:00.000 --> 00:00:17.040]   Hi. My name is Vik. I work on a model, an open-source vision model called Moon Dream.
[00:00:17.040 --> 00:00:23.920]   A little bit about myself before I dive into Moon Dream. I was at AWS for about nine years
[00:00:23.920 --> 00:00:28.960]   before I started working on this model. Looking at where the stock price is going,
[00:00:28.960 --> 00:00:32.480]   I'm not sure if that was the right financial decision, but I'm very happy with the work I'm
[00:00:32.480 --> 00:00:36.080]   doing. So let's dive into it. I'll talk about Moon Dream a little bit.
[00:00:36.080 --> 00:00:42.160]   It is a tiny vision language model. It's less than two billion parameters,
[00:00:42.160 --> 00:00:48.960]   so it can run anywhere, and it's open-source, Apache 2.0, so you can use it to do anything.
[00:00:48.960 --> 00:00:54.320]   Here are some examples of things you can do with Moon Dream. You can ask it questions about images.
[00:00:55.760 --> 00:01:02.000]   You can caption images. It can detect specific objects inside of images.
[00:01:02.000 --> 00:01:05.120]   So here I asked it to tell me where the peak is, and it gives me coordinates.
[00:01:05.120 --> 00:01:08.800]   I can count stuff. It can do all sorts of things.
[00:01:08.800 --> 00:01:14.320]   I had the audacity to title my talk, "How can a tiny vision model slap so hard?"
[00:01:14.320 --> 00:01:19.040]   So I have to back things up a little bit. And so here's me doing that.
[00:01:19.040 --> 00:01:25.120]   So these are two vision benchmarks, vision question-answering benchmarks. One is called VQA, V2.
[00:01:25.120 --> 00:01:31.280]   The other is called GQA. As you can see, Moon Dream has been steadily improving over the
[00:01:31.280 --> 00:01:35.280]   releases I've made over the last three months. I've included a reference line over there for
[00:01:35.280 --> 00:01:43.520]   Lava 1.5, which is a popular 7 billion parameter vision model. So this shows you that Moon Dream gives you
[00:01:43.520 --> 00:01:48.480]   a performance that's comparable to models that are about four times bigger than it.
[00:01:48.480 --> 00:01:55.520]   I didn't really set out to build a vision model, so I kind of got roped into it.
[00:01:55.520 --> 00:02:00.000]   I was originally trying to build an application that required an AI agent, so I needed to be able to
[00:02:00.000 --> 00:02:06.240]   see what was going on on the user's screen and have it describe what's on the browser page for QA
[00:02:06.240 --> 00:02:13.600]   testing automation. I tried to do this at first with GPT-4V, but there were too many safety refusals back
[00:02:13.600 --> 00:02:18.240]   then. Like, if there was any human being present in the image, I would just refuse to process it.
[00:02:18.240 --> 00:02:23.360]   It was also going to be really slow and expensive, and so I realized if this is a product I'm trying to
[00:02:23.360 --> 00:02:28.080]   build, I really need to have control over the model itself. So I figured, you know what, how hard can it be?
[00:02:28.080 --> 00:02:33.520]   Let me just go try and build this model myself. Now, the task I was trying to perform here was fairly
[00:02:33.520 --> 00:02:41.760]   constrained. I just needed to describe screens and answer questions about screens, so it doesn't
[00:02:41.760 --> 00:02:46.640]   need to be generally intelligent. I had a couple of 3090s at home, so I figured I'd train a small version
[00:02:46.640 --> 00:02:51.920]   of the model at home and then rent some beefier machines in the cloud to go train a bigger version.
[00:02:54.560 --> 00:02:58.000]   Once I got done training a small version, I was like, hey, this actually works pretty well, so I posted
[00:02:58.000 --> 00:03:02.320]   it on Twitter. I thought, you know what, I might get 20 likes off of this, and then I'll move on with my
[00:03:02.320 --> 00:03:08.480]   side project at the time. It blew up far beyond expectations. I was a little surprised, pleasantly
[00:03:08.480 --> 00:03:14.480]   surprised, but surprised nonetheless. And I immediately started seeing other automated testing companies
[00:03:14.480 --> 00:03:19.280]   reach out and be like, hey, can I use this to describe browser screens? Because this would work really
[00:03:19.280 --> 00:03:24.560]   great deal for us. As well as other companies, shout out to our friends at Open Interpreter from Seattle.
[00:03:24.560 --> 00:03:31.760]   That basically told us that they were -- I figured, you know what, like, this is getting a lot of
[00:03:31.760 --> 00:03:36.320]   traction. Let me pause on the whole automated testing app for a couple of weeks and focus on Moon Dream and see
[00:03:36.320 --> 00:03:44.640]   where it goes. Yeah, so let me dive into a couple of the technical details from what makes the model succeed
[00:03:44.640 --> 00:03:53.280]   despite being small. The first thing we did that I think really helped was deciding what problems the model
[00:03:53.280 --> 00:03:58.400]   should solve and what it should not solve. So Moon Dream wants to be a developer tool. We focus on being really
[00:03:58.400 --> 00:04:04.560]   accurate and not hallucinate. It doesn't really have a lot of knowledge about the world, so
[00:04:04.560 --> 00:04:10.320]   if you ask it to write a poem, it's probably not going to help you. It's really focused on answering questions, like
[00:04:10.960 --> 00:04:16.400]   giving you -- helping you understand images. This is really important because it affects the type of data
[00:04:16.400 --> 00:04:22.640]   that you use and the sort of benchmarks that you want to focus on. There's a popular vision language
[00:04:22.640 --> 00:04:26.800]   model benchmark called MathVester, which measures how good models are at solving math problems. You take a
[00:04:26.800 --> 00:04:31.920]   picture of a differential equation and you see whether the model can solve it. That was an example of a
[00:04:31.920 --> 00:04:37.840]   non-goal for us because we just want the model to be good at looking at images. The most we do is probably
[00:04:37.840 --> 00:04:44.240]   generate a latex representation of the problem. We don't really want to even attempt to try and solve
[00:04:44.240 --> 00:04:52.320]   calculus. It was not pre-trained from scratch. We use -- we use a vision encoder called Siglip from Google
[00:04:52.320 --> 00:05:00.960]   with a pre-trained text model called PHY 1.5 from Microsoft. The notable thing over here is PHY 1.5 was
[00:05:00.960 --> 00:05:04.640]   also trained on mostly synthetic data, which is very similar to our pipeline set works very well.
[00:05:04.640 --> 00:05:12.560]   For this sort of task, pre-training from scratch doesn't really make a difference as opposed to
