
[00:00:00.000 --> 00:00:02.000]   [Music]
[00:00:02.000 --> 00:00:08.440]   Today's question comes to us from Austin, and it's a trio of questions, really.
[00:00:08.440 --> 00:00:10.600]   He writes, "Pastor John, hello, and thank you for the podcast.
[00:00:10.600 --> 00:00:16.440]   My question is whether or not we should be praying for healing for our friends with physical and cognitive
[00:00:16.440 --> 00:00:20.960]   disabilities such as Down syndrome, autism, or cerebral palsy.
[00:00:20.960 --> 00:00:24.740]   We see Jesus heal people with physical disabilities in the Gospels,
[00:00:24.740 --> 00:00:27.040]   so should we pray for similar healing?
[00:00:27.040 --> 00:00:31.720]   If not, how should we encourage our friends with disabilities with the truth that they are made in God's image?
[00:00:31.720 --> 00:00:36.640]   And will individuals in heaven still have their disabilities to some extent?
[00:00:36.640 --> 00:00:39.480]   Thank you for your insights and your help on this."
[00:00:39.480 --> 00:00:43.920]   So there are three questions here, aren't there? One, should we pray
[00:00:43.920 --> 00:00:49.680]   for healing for our friends with physical and cognitive disabilities
[00:00:49.680 --> 00:00:53.080]   such as Down syndrome, autism, and cerebral palsy?
[00:00:53.080 --> 00:00:55.120]   Two,
[00:00:55.120 --> 00:01:01.040]   how should we encourage our friends with disabilities with the truth that they are made in the image of God? And
[00:01:01.040 --> 00:01:02.680]   three,
[00:01:02.680 --> 00:01:07.480]   will individuals in heaven still have their disabilities? Now, I'm gonna save that
[00:01:07.480 --> 00:01:10.280]   first question about prayer
[00:01:10.280 --> 00:01:17.560]   for last. I think how we pray is affected by how we answer these second two questions.
[00:01:17.560 --> 00:01:24.440]   So let's start with number two. How should we encourage our friends with disabilities
[00:01:24.800 --> 00:01:30.640]   with the truth that they are made in the image of God? Now, my response may be surprising.
[00:01:30.640 --> 00:01:36.080]   My response to this question is that I don't devote much effort to this
[00:01:36.080 --> 00:01:41.840]   because I think Christians have a far, far
[00:01:41.840 --> 00:01:44.920]   greater gift
[00:01:44.920 --> 00:01:46.440]   to give
[00:01:46.440 --> 00:01:49.640]   to the disabled than to help them know
[00:01:50.160 --> 00:01:57.440]   they are made in the image of God. If I were to try to encourage people that they are made in the image of God,
[00:01:57.440 --> 00:02:00.040]   I would say it involves two things. One,
[00:02:00.040 --> 00:02:08.840]   speaking the truth of God's Word to the effect that all humans are created in the image of God. Genesis 1:26,
[00:02:08.840 --> 00:02:12.120]   5-1, 9-6, James 3-9, and
[00:02:12.120 --> 00:02:13.840]   secondly,
[00:02:13.840 --> 00:02:15.840]   by treating people,
[00:02:16.040 --> 00:02:21.560]   disabled people, as persons, not projects. That would be my answer to the question, but
[00:02:21.560 --> 00:02:23.640]   let me encourage
[00:02:23.640 --> 00:02:26.760]   Austin and everybody else that focusing on
[00:02:26.760 --> 00:02:33.800]   helping people feel good about being created in the image of God is not a very high goal and
[00:02:33.800 --> 00:02:39.000]   in the end, not a hopeful goal. Think of it. There are two reasons
[00:02:39.000 --> 00:02:43.200]   for why I say this. One is that every
[00:02:43.640 --> 00:02:49.800]   human is made in the image of God, which means that God's enemies are created in his image,
[00:02:49.800 --> 00:02:56.680]   unrepentant rebels are created in God's image, people who are under God's wrath
[00:02:56.680 --> 00:03:01.160]   are created in God's image, people that God sends to hell
[00:03:01.160 --> 00:03:09.040]   for unbelief and disobedience were made in his image. Being in the image of God is not a hopeful condition.
[00:03:09.640 --> 00:03:16.920]   To focus on helping people feel created in God's image is not a saving effort. A second reason
[00:03:16.920 --> 00:03:25.400]   why helping people know they are created in God's image is not a high or hopeful goal is
[00:03:25.400 --> 00:03:27.840]   that Christians have a
[00:03:27.840 --> 00:03:32.360]   spectacularly higher, more hopeful message.
[00:03:32.360 --> 00:03:35.080]   When we offer Christ,
[00:03:35.480 --> 00:03:41.720]   we invite people to be not the created image of God, but the
[00:03:41.720 --> 00:03:47.080]   recreated child of God, a new creation in Christ.
[00:03:47.080 --> 00:03:53.400]   We don't offer the experience of a doomed and defaced image.
[00:03:53.400 --> 00:03:55.840]   We offer spirit-given
[00:03:55.840 --> 00:03:59.260]   conformity to the image of God's Son,
[00:03:59.260 --> 00:04:03.920]   wrought by the Spirit. We offer the forgiveness of sins,
[00:04:04.320 --> 00:04:08.120]   the removal of divine wrath against his image-bearers,
[00:04:08.120 --> 00:04:10.800]   the escape from all condemnation,
[00:04:10.800 --> 00:04:18.840]   the triumph over our sinful nature, the defeat of death, the hope of eternal life with God,
[00:04:18.840 --> 00:04:24.360]   not merely as his image-bearer, but as his loved, adopted
[00:04:24.360 --> 00:04:26.280]   child.
[00:04:26.280 --> 00:04:33.320]   That's what we offer to disabled people, and with it a dignity far beyond
