
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.920]   - That hit everything except this whole,
[00:00:06.920 --> 00:00:09.860]   this kind of looming topic of icebreakers.
[00:00:09.860 --> 00:00:11.320]   And I think anyone listening right now
[00:00:11.320 --> 00:00:12.480]   is kind of wondering, oh gosh,
[00:00:12.480 --> 00:00:15.940]   like what does Nick mean when he says icebreakers?
[00:00:15.940 --> 00:00:17.160]   - Yeah, and why do icebreakers?
[00:00:17.160 --> 00:00:18.640]   Aren't those silly?
[00:00:18.640 --> 00:00:19.480]   Aren't those childish?
[00:00:19.480 --> 00:00:21.280]   Well, we do icebreakers
[00:00:21.280 --> 00:00:24.880]   because it's a short survey of the room.
[00:00:24.880 --> 00:00:28.880]   And icebreakers also not only give your guests excuses
[00:00:28.880 --> 00:00:31.280]   to go meet new people, which by the way,
[00:00:31.280 --> 00:00:34.240]   that's why your party is going to be very successful.
[00:00:34.240 --> 00:00:37.320]   And that's why your friends will love you for hosting this
[00:00:37.320 --> 00:00:40.540]   because you are going to help them meet new people.
[00:00:40.540 --> 00:00:42.200]   Most adults haven't made a new friend
[00:00:42.200 --> 00:00:43.800]   in the last three years.
[00:00:43.800 --> 00:00:45.480]   And yet as we get older,
[00:00:45.480 --> 00:00:47.160]   we need friends more than ever, right?
[00:00:47.160 --> 00:00:49.320]   Friends become like a game of attrition.
[00:00:49.320 --> 00:00:51.320]   They have kids, they move, things happen.
[00:00:51.320 --> 00:00:53.260]   We don't see people as often.
[00:00:53.260 --> 00:00:54.840]   Your party will be successful
[00:00:54.840 --> 00:00:56.240]   because all of your guests
[00:00:56.240 --> 00:00:58.640]   are gonna talk to a lot of new people.
[00:00:58.640 --> 00:01:01.720]   How do we encourage that by using these icebreakers?
[00:01:01.720 --> 00:01:04.920]   Icebreakers are a short survey of the room.
[00:01:04.920 --> 00:01:06.560]   Generally, you'll go around the circle,
[00:01:06.560 --> 00:01:07.480]   you'll say your name,
[00:01:07.480 --> 00:01:08.700]   you'll say what you do for work.
[00:01:08.700 --> 00:01:09.800]   If you don't wanna say for work,
[00:01:09.800 --> 00:01:11.800]   you say something you're excited about.
[00:01:11.800 --> 00:01:12.720]   And then the third one,
[00:01:12.720 --> 00:01:14.800]   which is the icebreaker question, okay?
[00:01:14.800 --> 00:01:16.560]   So each icebreaker has three parts,
[00:01:16.560 --> 00:01:18.080]   name, what you do for work,
[00:01:18.080 --> 00:01:20.640]   and then the icebreaker question, right?
[00:01:20.640 --> 00:01:22.440]   You'll do three rounds of icebreakers.
[00:01:22.440 --> 00:01:27.440]   I think of icebreakers as a green, yellow, red scaffolding
[00:01:27.600 --> 00:01:29.600]   where you would wanna start your party
[00:01:29.600 --> 00:01:32.000]   with a green-level icebreaker.
[00:01:32.000 --> 00:01:34.240]   A green-level icebreaker, the one that I use,
[00:01:34.240 --> 00:01:37.000]   that I suggest everybody use for the first one,
[00:01:37.000 --> 00:01:39.600]   is what is one of your favorite things
[00:01:39.600 --> 00:01:41.180]   to eat for breakfast?
[00:01:41.180 --> 00:01:44.880]   So first, how does that hit with you?
[00:01:44.880 --> 00:01:45.720]   What are your thoughts?
[00:01:45.720 --> 00:01:46.540]   I'm ready for it.
[00:01:46.540 --> 00:01:47.600]   If you hate it, then tell me,
[00:01:47.600 --> 00:01:48.840]   and I'll tell you why it's great,
[00:01:48.840 --> 00:01:50.720]   but I just wanna hear your thoughts.
[00:01:50.720 --> 00:01:53.200]   - I mean, I don't actually eat breakfast that often, so--
[00:01:53.200 --> 00:01:55.000]   - Because why not?
[00:01:55.000 --> 00:01:56.880]   Why don't you choose to eat breakfast?
[00:01:56.880 --> 00:02:01.880]   - Uh, I, I don't know, I just--
[00:02:01.880 --> 00:02:05.200]   - You just skip, it's not for health reasons,
[00:02:05.200 --> 00:02:06.480]   you're not intermittent fasting, you're just,
[00:02:06.480 --> 00:02:07.640]   I'm just lazy.
[00:02:07.640 --> 00:02:09.600]   - I am just, I forget.
[00:02:09.600 --> 00:02:11.920]   - Sometimes it's been intermittent fasting,
[00:02:11.920 --> 00:02:13.640]   sometimes it's just been like, I don't wanna,
[00:02:13.640 --> 00:02:15.680]   it's just one more thing to think about during the day.
[00:02:15.680 --> 00:02:16.800]   - Yes, yeah.
[00:02:16.800 --> 00:02:18.180]   - Now, when you do eat breakfast,
[00:02:18.180 --> 00:02:19.820]   what's one of your favorite things to eat for breakfast,
[00:02:19.820 --> 00:02:21.140]   when you do?
[00:02:21.140 --> 00:02:22.240]   - I mean, when I do eat breakfast,
[00:02:22.240 --> 00:02:24.280]   it's usually like some ridiculous,
[00:02:24.280 --> 00:02:26.460]   like make an amazing breakfast for the weekend
[00:02:26.460 --> 00:02:29.080]   kind of thing, like lemon ricotta pancakes, or--
[00:02:29.080 --> 00:02:32.640]   - Are you, lemon ricotta pancakes, are you kidding me?
