
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:05.840]   It's Sam from Financial Samurai, and in this podcast, I'm going to talk about the rapid
[00:00:05.840 --> 00:00:12.280]   depreciation of a Harvard education and how private school grads can still save themselves.
[00:00:12.280 --> 00:00:16.120]   Funny topic, I know, but it's something that's a current event and I think everybody should
[00:00:16.120 --> 00:00:24.300]   be aware of, parents and alumni and non-elite private school education graduates as well.
[00:00:24.300 --> 00:00:28.920]   When I was applying to college in 1994, I thought only extremely smart people attended
[00:00:28.920 --> 00:00:30.160]   Ivy League schools.
[00:00:30.160 --> 00:00:36.240]   I'd heard stories about the rich buying their kids ways into the Ivy League, but I was unaware
[00:00:36.240 --> 00:00:37.580]   of the details.
[00:00:37.580 --> 00:00:45.720]   As a public high school kid with an OK SAT score, a 3.63 GPA, and unspectacular extracurricular
[00:00:45.720 --> 00:00:50.840]   activities, I didn't go to Rwanda and save a starving village from disease.
[00:00:50.840 --> 00:00:53.560]   I was a tennis team captain, for example.
[00:00:53.560 --> 00:00:58.240]   I decided to save myself, but really my parents, hundreds of dollars in application fees and
[00:00:58.240 --> 00:01:03.660]   apply to mostly local state schools like UVA, Mary Washington, and the College of William
[00:01:03.660 --> 00:01:05.400]   and Mary instead.
[00:01:05.400 --> 00:01:11.360]   Paying less than $3,000 a year in in-state tuition even back then felt like a steal.
[00:01:11.360 --> 00:01:15.920]   After graduating from William and Mary in 1999, I got a job in the International Equities
[00:01:15.920 --> 00:01:18.560]   Department at Goldman Sachs in New York City.
[00:01:18.560 --> 00:01:22.720]   That's where I got to interview hundreds of Ivy League and other elite private institution
[00:01:22.720 --> 00:01:27.920]   graduates as part of Goldman's consensus-driven interview process, where even the most junior
[00:01:27.920 --> 00:01:30.940]   members got to interview candidates.
[00:01:30.940 --> 00:01:35.480]   We ended up rejecting 98% of the candidates due to poor fit.
[00:01:35.480 --> 00:01:38.560]   It wasn't that they were not smart, because they were.
[00:01:38.560 --> 00:01:43.920]   We only wanted people we would feel comfortable sitting next to for 12-14 hours a day.
[00:01:43.920 --> 00:01:48.640]   It obviously helped if they had an international background, spoke multiple languages, and
[00:01:48.640 --> 00:01:51.320]   had a passion for the stock market.
[00:01:51.320 --> 00:01:54.920]   But we were mostly looking for great teammates, because everything is really learned on the
[00:01:54.920 --> 00:01:56.760]   job.
[00:01:56.760 --> 00:02:00.800]   Interviewing the majority of elite private college graduates made me realize they are
[00:02:00.800 --> 00:02:03.080]   no different from you and me.
[00:02:03.080 --> 00:02:07.040]   For the next 13 years, I'd compete with these folks on the ruthless battlegrounds
[00:02:07.040 --> 00:02:12.400]   of finance and smash them to bits like Hulk, most of the time because of my hunger.
[00:02:12.400 --> 00:02:16.960]   Coming from a non-target public school background with middle class parents who worked for the
[00:02:16.960 --> 00:02:21.720]   government, I wasn't going to squander my opportunity for financial independence.
[00:02:21.720 --> 00:02:27.880]   Today I am a small business owner with business owning friends, and what we've noticed is
[00:02:27.880 --> 00:02:33.680]   that there is a growing negativity towards those who attend or have already graduated
[00:02:33.680 --> 00:02:36.200]   from elite private schools.
[00:02:36.200 --> 00:02:40.960]   Don't get mad, just be aware of this trend against the 1%.
[00:02:40.960 --> 00:02:46.120]   We saw that with Occupy Wall Street movement during the financial crisis.
[00:02:46.120 --> 00:02:52.840]   We're seeing that now with politics, Jared Kushner's dad donating $2.5 million for
[00:02:52.840 --> 00:02:54.920]   his son to get into Harvard.
[00:02:54.920 --> 00:02:58.680]   There's this uproar and it's thanks to technology and the internet.
[00:02:58.680 --> 00:03:01.680]   So don't be upset if you're one of these alumni.
[00:03:01.680 --> 00:03:06.160]   Instead, listen with an open mind and pay attention as your future or your kid's future
[00:03:06.160 --> 00:03:07.720]   might depend on it.
[00:03:07.720 --> 00:03:12.000]   So this podcast will address why there is a growing negative perception about private
[00:03:12.000 --> 00:03:17.520]   university graduates, what we've learned from the Harvard Asian American Discrimination
[00:03:17.520 --> 00:03:23.600]   Lawsuit, what you can do to fight back against this negative perception, and the future of
[00:03:23.600 --> 00:03:25.840]   higher education.
[00:03:25.840 --> 00:03:30.320]   So one of the reasons why Harvard University fought so hard to keep its admissions process
[00:03:30.320 --> 00:03:35.560]   a secret was because it didn't want the world to judge it for how it picked winners
[00:03:35.560 --> 00:03:38.600]   and losers, because boy do they ever.
[00:03:38.600 --> 00:03:42.400]   Due to social media and the internet, they knew that the jury of public opinion would
[00:03:42.400 --> 00:03:45.560]   come down on them like a guillotine.
[00:03:45.560 --> 00:03:49.800]   Here are some interesting facts that we've learned so far from the Asian American Discrimination
[00:03:49.800 --> 00:03:52.000]   Lawsuit against Harvard.
[00:03:52.000 --> 00:03:56.360]   The overall acceptance rate is about 5.9%.
[00:03:56.360 --> 00:04:03.040]   But if you're a legacy, in other words, if one or two parents went to Harvard, the acceptance
[00:04:03.040 --> 00:04:06.680]   rate is 33.6%.
[00:04:06.680 --> 00:04:13.600]   If you are a child of donors and not legacy, your acceptance rate goes to 40%.
[00:04:13.600 --> 00:04:20.520]   And if you are both legacy and your parents are donors, the acceptance rate is above 70%.
[00:04:20.520 --> 00:04:22.600]   So think about these statistics for a bit.
[00:04:22.600 --> 00:04:27.680]   You are simply born into a family where one of your parents or grandparents, I think,
[00:04:27.680 --> 00:04:32.440]   went to Harvard, you have a five times greater chance of getting to the university than someone
[00:04:32.440 --> 00:04:35.120]   who has no legacy status.
[00:04:35.120 --> 00:04:39.120]   One can argue legacy admissions help create a stronger university culture.
[00:04:39.120 --> 00:04:41.000]   I believe that.
[00:04:41.000 --> 00:04:42.660]   And there should be some preference.
[00:04:42.660 --> 00:04:46.080]   But a 5x preference seems quite excessive.
[00:04:46.080 --> 00:04:50.600]   Meanwhile, if you donate money to Harvard, which already has the world's largest university
[00:04:50.600 --> 00:04:57.480]   endowment at over $35 billion, your child's acceptance rate goes up by 7x the average
[00:04:57.480 --> 00:04:59.480]   admissions rate.
[00:04:59.480 --> 00:05:03.640]   Based on conversations I've had with a Harvard undergraduate and business school alum who
[00:05:03.640 --> 00:05:08.520]   also was on their fundraising committee for a couple years, between 2000 and 2010, you
[00:05:08.520 --> 00:05:14.680]   could probably donate between 250 to 500,000 and effectively help give your child a 7x
[00:05:14.680 --> 00:05:15.680]   advantage.
[00:05:15.680 --> 00:05:19.320]   Today, he says the donation figure is in the millions.
[00:05:19.320 --> 00:05:23.400]   Now imagine you are a legacy candidate whose parents are also rich enough to donate millions
[00:05:23.400 --> 00:05:25.480]   of dollars to Harvard.
[00:05:25.480 --> 00:05:31.240]   You've got a 12x greater chance of getting to Harvard than some smart kid with great
[00:05:31.240 --> 00:05:35.920]   extracurricular activities whose parents are simply not as rich or connected enough to
[00:05:35.920 --> 00:05:36.920]   help.
[00:05:36.920 --> 00:05:40.200]   You are practically a shoe-in guarantee.
[00:05:40.200 --> 00:05:44.100]   In other words, this is not a meritocracy by any means.
[00:05:44.100 --> 00:05:48.160]   This is affirmative action for the rich.
[00:05:48.160 --> 00:05:51.220]   So nobody likes a rigged game.
[00:05:51.220 --> 00:05:54.800]   If you are competing one-on-one against your friend and he's cheating because he's got
[00:05:54.800 --> 00:05:58.440]   a cheat code, and you find out, you're going to be pissed off.
[00:05:58.440 --> 00:06:04.620]   So it's no surprise that there is a growing negativity against Harvard and other schools
[00:06:04.620 --> 00:06:08.520]   that practice this type of admissions criteria.
[00:06:08.520 --> 00:06:13.400]   Now we should accept that Harvard and other private institutions have the right to craft
[00:06:13.400 --> 00:06:15.040]   their classes however they see fit.
[00:06:15.040 --> 00:06:20.180]   This is one of the benefits of not accepting government assistance and being private.
[00:06:20.180 --> 00:06:23.480]   After all, we have the right to apply to wherever we want as well.
[00:06:23.480 --> 00:06:29.240]   However, Harvard and other private institutions should at least acknowledge they use race,
