
[00:00:00.040 --> 00:00:09.760]   candies...
[00:00:09.760 --> 00:00:10.180]   эти
[00:00:10.180 --> 00:00:11.400]   reacts but, the, ,,, come
[00:00:11.400 --> 00:00:27.240]   even
[00:00:28.820 --> 00:00:36.360]   up until about five minutes ago I had planned to record a show for you here right now on
[00:00:36.360 --> 00:00:43.000]   Part two of my how to lease a car series talking about the finances of how car leases work
[00:00:43.000 --> 00:00:49.500]   I was also going to record a back-to-back show on how to provide for your family when you can't get life insurance
[00:00:49.500 --> 00:00:51.340]   but
[00:00:51.340 --> 00:00:53.860]   Given that today is April 17
[00:00:53.860 --> 00:00:57.040]   2018 which is this year's
[00:00:57.040 --> 00:00:57.600]   version of tax day
[00:00:57.640 --> 00:01:09.220]   in
[00:01:09.220 --> 00:01:25.240]   protect the to be un
[00:01:26.400 --> 00:01:36.280]   за saying
[00:01:36.280 --> 00:01:36.740]   only be those
[00:01:36.740 --> 00:01:42.420]  這 recognize, and,energy,in,視,,.,,,,,, al
[00:01:56.400 --> 00:02:15.140]   The Law
[00:02:15.140 --> 00:02:17.140]   by Frédéric Bastiat
[00:02:17.140 --> 00:02:19.140]   The Law perverted
[00:02:19.140 --> 00:02:21.140]   The Law
[00:02:21.140 --> 00:02:23.140]   and in its wake all the collective forces of the nation
[00:02:23.140 --> 00:02:25.140]   The Law, I say, not only diverted from the law
[00:02:25.140 --> 00:02:26.400]   but also diverted from the law of the nation
[00:02:26.400 --> 00:02:26.400]   The Law perverted
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law, I say, not only diverted from the law
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.400 --> 00:02:26.400]   The Law and in its wake all the collective forces of the nation
[00:02:26.440 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.420 --> 00:02:56.420]   The Law and in its wake all the collective forces of the nation
[00:02:56.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:26.440]   The Law and in its wake all the collective forces of the nation
[00:03:26.440 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.460 --> 00:03:56.460]   The Law and in its wake all the collective forces of the nation
[00:03:56.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:26.480]   The Law and in its wake all the collective forces of the nation
[00:04:26.480 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.500 --> 00:04:56.500]   The Law and in its wake all the collective forces of the nation
[00:04:56.520 --> 00:05:26.520]   The Law and in its wake all the collective forces of the nation
[00:05:26.520 --> 00:05:26.520]   The Law and in its wake all the collective forces of the nation
