
[00:00:00.000 --> 00:00:00.720]   Hello, everybody.
[00:00:00.720 --> 00:00:02.880]   It's Sam from Financial Samurai.
[00:00:02.880 --> 00:00:05.480]   And it's year end 2019.
[00:00:05.480 --> 00:00:07.800]   And I've just been doing a lot of reflecting,
[00:00:07.800 --> 00:00:09.880]   lots and lots of reflecting, because I'm planning
[00:00:09.880 --> 00:00:12.440]   on changing things up in 2020.
[00:00:12.440 --> 00:00:13.900]   And so in this episode, I just want
[00:00:13.900 --> 00:00:17.080]   to talk about the surprising benefits of early retirement
[00:00:17.080 --> 00:00:18.800]   I never anticipated.
[00:00:18.800 --> 00:00:22.680]   So to recap, I left my full-time job in investment banking
[00:00:22.680 --> 00:00:24.120]   in 2012.
[00:00:24.120 --> 00:00:25.500]   And I have in return.
[00:00:25.500 --> 00:00:27.480]   And it's actually been a challenge
[00:00:27.480 --> 00:00:30.800]   to stay unemployed for this long.
[00:00:30.800 --> 00:00:33.520]   In the beginning, I was fraught with doubt.
[00:00:33.520 --> 00:00:35.360]   Like, well, is this the right thing
[00:00:35.360 --> 00:00:40.340]   to do at the age of 34, going into my prime earning years?
[00:00:40.340 --> 00:00:42.600]   It just didn't make sense the first year.
[00:00:42.600 --> 00:00:45.200]   But like everything, whatever you do,
[00:00:45.200 --> 00:00:48.240]   you're going to get used to your new situation.
[00:00:48.240 --> 00:00:50.160]   And you're going to figure out ways to adapt.
[00:00:50.160 --> 00:00:54.000]   So I had about $80,000 in gross passive income
[00:00:54.000 --> 00:00:58.280]   coming from dividend stocks, CDs, savings, and mostly
[00:00:58.280 --> 00:00:59.680]   rental property.
[00:00:59.680 --> 00:01:01.200]   And I thought that was good enough.
[00:01:01.200 --> 00:01:04.720]   But as I got older, I realized I needed to make more,
[00:01:04.720 --> 00:01:08.640]   because my lifestyle increased.
[00:01:08.640 --> 00:01:12.280]   My wife stopped working also at the age of 34.
[00:01:12.280 --> 00:01:14.240]   And that's just the normal human condition.
[00:01:14.240 --> 00:01:18.240]   As you get older, you just want to do more things, like travel
[00:01:18.240 --> 00:01:20.360]   and maybe start a family and take
[00:01:20.360 --> 00:01:24.040]   care of your elders and people that you care about.
[00:01:24.040 --> 00:01:25.920]   And I know over the years, a lot of people
[00:01:25.920 --> 00:01:28.180]   have been on the fence about whether to truncate
[00:01:28.180 --> 00:01:31.000]   their careers and cut their main source of income.
[00:01:31.000 --> 00:01:34.040]   And it's a really, really scary thing.
[00:01:34.040 --> 00:01:37.040]   And I also want to say that no matter how much you plan,
[00:01:37.040 --> 00:01:39.320]   you can't anticipate everything.
[00:01:39.320 --> 00:01:41.620]   Hence the reason for this podcast
[00:01:41.620 --> 00:01:44.720]   on the unanticipated benefits of early retirement.
[00:01:44.720 --> 00:01:47.200]   So I want to go through five of the main ones.
[00:01:47.200 --> 00:01:49.320]   And I think as you listen to these benefits,
[00:01:49.320 --> 00:01:50.940]   it really might push you over the edge,
[00:01:50.940 --> 00:01:53.400]   because I'm reviewing that and I'm thinking to myself,
[00:01:53.400 --> 00:01:57.320]   I would retire right now if I had a job just because
[00:01:57.320 --> 00:01:59.440]   of this one benefit alone.
[00:01:59.440 --> 00:02:02.040]   The first one is you might slow your aging.
[00:02:02.040 --> 00:02:04.400]   What's interesting is when you're working,
[00:02:04.400 --> 00:02:07.680]   you're going to college, you're working 60 hours a week,
[00:02:07.680 --> 00:02:10.720]   you start feeling some stress.
[00:02:10.720 --> 00:02:11.480]   Let's be frank.
[00:02:11.480 --> 00:02:13.880]   We all experience some amount of stress.
[00:02:13.880 --> 00:02:18.480]   But you don't really realize how much stress and chronic pain
[00:02:18.480 --> 00:02:22.720]   you develop while you're working until you're no longer working.
[00:02:22.720 --> 00:02:26.720]   So when I was 33, I started sprouting my first gray hair.
[00:02:26.720 --> 00:02:29.440]   And I thought, hmm, finally the dam has broken,
[00:02:29.440 --> 00:02:32.680]   because my dad's-- he started going gray and losing his hair
[00:02:32.680 --> 00:02:34.480]   in his 30s as well.
[00:02:34.480 --> 00:02:36.760]   And I was thinking to myself, well, OK, that's it.
[00:02:36.760 --> 00:02:38.800]   I was finally losing my youth after years
[00:02:38.800 --> 00:02:41.400]   of getting beaten down by the finance industry.
[00:02:41.400 --> 00:02:44.760]   Then one morning, a year-- about a year after I retired,
[00:02:44.760 --> 00:02:46.560]   I was looking at myself in the mirror,
