
[00:00:00.000 --> 00:00:03.920]   Hello everybody, it's Sam from financial samurai and in this episode
[00:00:03.920 --> 00:00:09.440]   I want to talk about the importance of protecting your wealth. That's not funny money
[00:00:09.440 --> 00:00:17.040]   Funny money to me is any type of wealth that you just look on the computer screen and you can't touch and there's no utility
[00:00:17.040 --> 00:00:21.360]   So in other words funny money can include stock market wealth
[00:00:21.360 --> 00:00:26.700]   Cryptocurrency wealth and other type of wealth that really has no utility
[00:00:26.700 --> 00:00:34.420]   And the reason why I want to talk about this again is because something amazing happened the world's second biggest
[00:00:34.420 --> 00:00:36.200]   crypto exchange
[00:00:36.200 --> 00:00:37.320]   FTX
[00:00:37.320 --> 00:00:42.320]   Just got bought out today. Well, it's in due diligence talks to get bought out by the number one
[00:00:42.320 --> 00:00:49.240]   cryptocurrency exchange finance because FTX was perhaps secretly insolvent or
[00:00:49.240 --> 00:00:55.920]   Lending out customer deposits or investing customer deposits when it shouldn't have nobody knows for sure
[00:00:56.160 --> 00:01:01.440]   but the bottom line is that the value of FTX which was once worth maybe
[00:01:01.440 --> 00:01:08.920]   Twelve thirteen billion dollars is now worth only a dollar because customers have withdrawn their capital
[00:01:08.920 --> 00:01:10.720]   So things aren't working anymore
[00:01:10.720 --> 00:01:12.720]   but the interesting thing is
[00:01:12.720 --> 00:01:21.280]   Supposedly about seven plus billion dollars of Bankman Freed's net worth was in his crypto trading house Alameda research
[00:01:21.840 --> 00:01:29.800]   Which also has plummeted to a value of maybe a dollar because what it held has also sunk tremendously in value
[00:01:29.800 --> 00:01:34.220]   It's very complicated. But the bottom line is Sam Bankman Freed's net worth
[00:01:34.220 --> 00:01:42.640]   Plummeted from around fifteen point six billion to only quote only one billion dollars in a 24-hour time span
[00:01:42.640 --> 00:01:44.760]   So funny money is real folks
[00:01:44.760 --> 00:01:51.320]   You know all the value that we assign to our net worth to our investments that provide no real utility
[00:01:51.600 --> 00:01:58.640]   Is very subjective it can be anything the market wants one day and totally different the next day
[00:01:58.640 --> 00:02:04.160]   You know you see even with stocks right earnings misses of let's say five percent five percent
[00:02:04.160 --> 00:02:09.600]   Miss on the top line or three percent miss on the bottom line and these growth stocks
[00:02:09.600 --> 00:02:15.640]   Get crushed they get crushed by ten twenty plus percent in just one day
[00:02:16.200 --> 00:02:24.040]   Because future estimates have to be ratcheted down and so when we invest in funny money if we invest in things
[00:02:24.040 --> 00:02:29.800]   That are subjective in value then we must be prepared for that volatility
[00:02:29.800 --> 00:02:36.120]   But more importantly if you want to protect your wealth preserve your capital, especially after you've made a lot
[00:02:36.120 --> 00:02:41.800]   You probably want to consistently convert some of that funny money into real assets
