
[00:00:00.000 --> 00:00:02.520]   [Silence]
[00:00:02.520 --> 00:00:05.080]   Now let's take a step back into the real world
[00:00:05.080 --> 00:00:07.720]   and evaluate or think about what happens
[00:00:07.720 --> 00:00:12.240]   when somebody smokes cannabis or ingests cannabis
[00:00:12.240 --> 00:00:15.000]   by way of edible or tincture or something of that sort.
[00:00:15.000 --> 00:00:19.980]   Cannabis is very fast to enter the bloodstream.
[00:00:19.980 --> 00:00:23.520]   In fact, within 30 seconds,
[00:00:23.520 --> 00:00:24.640]   it's going to enter the brain
[00:00:24.640 --> 00:00:26.920]   and permeate throughout the brain and body.
[00:00:26.920 --> 00:00:28.320]   That's very, very fast.
[00:00:28.320 --> 00:00:30.880]   I mean, when you contrast that with something like alcohol
[00:00:30.880 --> 00:00:33.760]   or even nicotine, depending on how the nicotine is delivered,
[00:00:33.760 --> 00:00:37.160]   that is a very fast delivery of the psychoactive
[00:00:37.160 --> 00:00:38.960]   and biologically active compound,
[00:00:38.960 --> 00:00:41.080]   which in this case is THC and CBD
[00:00:41.080 --> 00:00:43.400]   and probably some other things as well.
[00:00:43.400 --> 00:00:44.520]   So within 30 seconds,
[00:00:44.520 --> 00:00:47.520]   it reaches the brain and bodily tissues.
[00:00:47.520 --> 00:00:50.760]   And within 30 to 60 minutes,
[00:00:50.760 --> 00:00:53.240]   it's going to reach its peak concentrations
[00:00:53.240 --> 00:00:55.520]   and have its peak biological effects.
[00:00:55.520 --> 00:00:56.560]   Those aren't always the same thing,
[00:00:56.560 --> 00:00:58.240]   but in the case of cannabis,
[00:00:58.240 --> 00:00:59.360]   and again, here I'm using cannabis
[00:00:59.360 --> 00:01:02.120]   as a kind of umbrella term for THC and CBD,
[00:01:02.120 --> 00:01:05.280]   the effects are going to peak at about 30 to 60 minutes
[00:01:05.280 --> 00:01:07.960]   after bringing those compounds into the body
[00:01:07.960 --> 00:01:09.600]   in some way or another.
[00:01:09.600 --> 00:01:10.960]   And the effects tend to last
[00:01:10.960 --> 00:01:12.560]   anywhere from three to four hours,
[00:01:12.560 --> 00:01:14.280]   although there's some variation on that
[00:01:14.280 --> 00:01:16.440]   depending on individual metabolism,
[00:01:16.440 --> 00:01:20.920]   whether or not somebody is familiar with the compound,
[00:01:20.920 --> 00:01:22.360]   believe it or not, psychologically familiar,
[00:01:22.360 --> 00:01:24.080]   but also biologically familiar,
[00:01:24.080 --> 00:01:25.360]   or whether or not it's a first-time use
[00:01:25.360 --> 00:01:26.760]   or occasional use and so on.
[00:01:26.760 --> 00:01:32.240]   THC and CBD and other components of cannabis
[00:01:32.240 --> 00:01:34.120]   are highly what we call lipophilic.
[00:01:34.120 --> 00:01:36.920]   That is, they have an affinity toward
[00:01:36.920 --> 00:01:39.060]   and they can actually pass through fatty tissues.
[00:01:39.060 --> 00:01:40.160]   Now, every cell in your body,
[00:01:40.160 --> 00:01:41.640]   but especially neurons,
[00:01:41.640 --> 00:01:44.560]   have a double layer of fat on their outside.
[00:01:44.560 --> 00:01:46.360]   And of course, when people hear fat,
[00:01:46.360 --> 00:01:48.680]   they always think, "Oh, fat's bad, fat's bad."
[00:01:48.680 --> 00:01:51.600]   Most of the world seems to want to lose fat or bodily fat.
[00:01:51.600 --> 00:01:54.400]   Here, we're talking about the fatty membrane,
[00:01:54.400 --> 00:01:56.160]   the barrier around each tissue.
[00:01:56.160 --> 00:01:58.960]   In this case, we're talking particularly about neurons.
[00:01:58.960 --> 00:02:03.320]   And THC and CBD and the other components of cannabis
[00:02:03.320 --> 00:02:04.640]   are highly lipophilic.
[00:02:04.640 --> 00:02:06.520]   So they can get into essentially all cells
[00:02:06.520 --> 00:02:08.320]   just simply by flowing into them.
[00:02:08.320 --> 00:02:11.580]   They will also remain in those cells for a long time.
[00:02:11.580 --> 00:02:13.880]   So I know that a number of people,
[00:02:13.880 --> 00:02:15.960]   depending on whether or not they get tested
[00:02:15.960 --> 00:02:18.080]   for work or for sport or otherwise,
[00:02:18.080 --> 00:02:20.900]   for cannabis or CBD and THC,
[00:02:20.900 --> 00:02:23.560]   don't take this as a strict number,
[00:02:23.560 --> 00:02:28.560]   but typically if one ingests CBD or THC,
[00:02:28.560 --> 00:02:31.480]   smokes cannabis, ingests by orally, et cetera,
[00:02:31.480 --> 00:02:32.320]   it doesn't matter.
[00:02:32.320 --> 00:02:34.140]   It's going to stay in that fatty tissue
[00:02:34.140 --> 00:02:37.520]   and can be detected for at least as long as 80 days
[00:02:37.520 --> 00:02:38.360]   after ingestion.
[00:02:38.360 --> 00:02:39.400]   And there's a whole industry
[00:02:39.400 --> 00:02:42.480]   as to how to accelerate the clearance.
[00:02:42.480 --> 00:02:45.860]   And I should just tell you that just losing bodily fat
[00:02:45.860 --> 00:02:48.960]   isn't going to eliminate it from your system,
[00:02:48.960 --> 00:02:51.000]   maybe partially in those fat cells,
[00:02:51.000 --> 00:02:55.000]   but certainly intravisceral fat and other fatty tissue
[00:02:55.000 --> 00:02:56.960]   that's in and around the brain and body
[00:02:56.960 --> 00:03:01.280]   is going to harbor that THC molecule and the CBD molecule
[00:03:01.280 --> 00:03:03.640]   for quite a long while, at least 80 days.
[00:03:03.640 --> 00:03:08.320]   Okay, so if someone smokes cannabis or they ingest cannabis,
[00:03:08.320 --> 00:03:10.960]   very rapidly gets into the bloodstream
[00:03:10.960 --> 00:03:12.760]   and the components that are psychoactive
[00:03:12.760 --> 00:03:13.800]   get into the bloodstream
[00:03:13.800 --> 00:03:18.160]   and are immediately able to access neurons and other cells
[00:03:18.160 --> 00:03:19.160]   and start having these effects
[00:03:19.160 --> 00:03:21.800]   of parking at those endogenous cannabinoid receptors
[00:03:21.800 --> 00:03:24.080]   and impacting the signaling between neurons,
[00:03:24.080 --> 00:03:28.560]   which leads to the subjective effects of cannabis,
[00:03:28.560 --> 00:03:29.880]   including THC and CBD.
[00:03:29.880 --> 00:03:30.720]   So let's talk about
[00:03:30.720 --> 00:03:33.120]   what those different subjective effects are.
[00:03:33.120 --> 00:03:35.080]   Again, this is going to vary depending on whether or not
[00:03:35.080 --> 00:03:39.280]   people are ingesting sativa varieties of cannabis.
[00:03:39.280 --> 00:03:41.720]   Just to remind you, those tend to be elevated,
[00:03:41.720 --> 00:03:43.560]   mood, alertness, talkativeness.
[00:03:43.560 --> 00:03:46.320]   People who take sativa varieties tend to talk a lot more
[00:03:46.320 --> 00:03:47.960]   than they would otherwise.
[00:03:47.960 --> 00:03:49.400]   Again, there are exceptions to this.
[00:03:49.400 --> 00:03:50.600]   Of course, there are exceptions.
[00:03:50.600 --> 00:03:51.960]   I'm sure there are people out there shouting,
[00:03:51.960 --> 00:03:53.200]   although I guess if you're the quiet people
[00:03:53.200 --> 00:03:55.040]   who don't talk too much, you're probably not shouting,
[00:03:55.040 --> 00:03:57.480]   or if you're not, you're not doing on sativa.
[00:03:57.480 --> 00:04:00.520]   Joke intended, but in any event, there are exceptions,
[00:04:00.520 --> 00:04:02.300]   but there are also general rules.
[00:04:02.300 --> 00:04:04.640]   And the sativas tend to meet people sort of mood elevated,
[00:04:04.640 --> 00:04:07.620]   energetic, again, the sort of head high,
[00:04:07.620 --> 00:04:11.080]   and indica varieties tend to do the opposite,
[00:04:11.080 --> 00:04:14.480]   more of a sedative, relaxant, et cetera.
[00:04:14.480 --> 00:04:16.300]   Why and how would they do that?
[00:04:16.300 --> 00:04:18.860]   Okay, well, without going into an extensive deep dive
