
[00:00:00.320 --> 00:00:09.280]   the luma said okay give me k2 um last week we went over the original muon paper so basically
[00:00:09.280 --> 00:00:14.560]   the the really cool thing if anyone has seen it or trained models is figure three
[00:00:14.560 --> 00:00:20.400]   they have a very very smooth loss curve uh normally when you train there's big spikes
[00:00:20.400 --> 00:00:24.640]   big spikes are not good because you have to kind of like intervene see like okay is the model kind
[00:00:24.640 --> 00:00:29.120]   of cooked do we have to roll back do we have to go to a new checkpoint do we have to fix stuff
[00:00:30.080 --> 00:00:35.440]   that's like kind of where you have to stop your training and like your gpu utilization gets kind
[00:00:35.440 --> 00:00:40.880]   of cooked what they did is they have a new optimizer that gives us really really smooth loss curves with
[00:00:40.880 --> 00:00:46.560]   like no spikes throughout the entire training process this is kind of crazy um i won't go
[00:00:46.560 --> 00:00:54.320]   super into detail on the optimizer since last week we we basically covered it so i think the recording
[00:00:54.320 --> 00:01:00.800]   is already up on youtube uh if you're interested watch it but okay give me k2 who's uh who's used
[00:01:00.800 --> 00:01:06.080]   it who's heard of it who doesn't know what it is um if anyone wants you know to just interrupt me whenever
[00:01:06.080 --> 00:01:14.480]   and we can we can answer questions so basically this is like state of the art open source model it's very
[00:01:14.480 --> 00:01:21.680]   very big um i'm gonna check chat real quick okay nothing nothing about this so basically this is a
[00:01:21.680 --> 00:01:28.640]   trillion parameters um it's not a thinking model but it's like deep seek v2 moment uh like the second deep
[00:01:28.640 --> 00:01:35.040]   seek moment um what they did is basically it's like better than claude on all coding benchmarks better
[00:01:35.040 --> 00:01:41.520]   than like anything it's very very state of the art it's not thinking and it's a it's a very good uh
[00:01:41.520 --> 00:01:48.720]   non-reasoning model it's very open source they shared um they shared this optimizer that's basically
[00:01:48.720 --> 00:01:56.640]   like a better atom w and um this this week we just got out the actual tech report paper it's decent
[00:01:56.640 --> 00:02:04.160]   honestly um it's like the first highlight of once again how do you train a very very large model
[00:02:04.160 --> 00:02:09.040]   so it's like kind of a pre-training post-training how do you train a large model and then the
[00:02:09.040 --> 00:02:15.360]   interesting note here for me was you get to see the problems of using china chips like they have the
[00:02:15.360 --> 00:02:22.240]   h-800s right because there was an export restriction so these chips are like different than um you know
[00:02:22.240 --> 00:02:28.560]   interconnected nodes and what do they do to come around that i think like two weeks ago we covered we
[00:02:28.560 --> 00:02:33.920]   covered the other reasoning paper um magistral the reasoning paper from mistral and they show how
[00:02:33.920 --> 00:02:41.760]   they can just like skip some of these issues for full gpu efficiency um but yeah here's kimmy k2 so
[00:02:41.760 --> 00:02:49.360]   uh trillion parameter huge huge trillion parameter model with 32 billion active parameters very very
[00:02:49.360 --> 00:02:56.160]   sparse uh they talk about the sparsity they talk about like experiments they did for sparseness ratios
[00:02:56.160 --> 00:03:03.680]   and all this stuff it's pre-trained on 15 trillion tokens they use a muon clip optimizer this is basically
[00:03:03.680 --> 00:03:09.600]   like all the hot news they they put out a separate paper about this before um what this basically
[00:03:09.600 --> 00:03:17.440]   leads to is very very good um training stability so uh they have this qk clip technique where they're
[00:03:17.440 --> 00:03:23.920]   they're kind of clipping attention gradients and and yeah it's just very smooth smooth training okay so
[00:03:23.920 --> 00:03:30.400]   trained on 15 trillion tokens uh trillion total parameters 32 billion active parameters very sparse
[00:03:30.400 --> 00:03:38.320]   um and then the big thing here is zero loss spikes which is kind of crazy um during post training there's multi-stage
[00:03:38.320 --> 00:03:44.160]   process uh they they do a lot of synthetic data work another fun thing i would recommend about this
[00:03:44.160 --> 00:03:50.560]   people paper for people is they do good citations into other work so if you're interested in different
[00:03:50.560 --> 00:03:57.440]   um like synthetic data generation pipelines they they cite quite a few cool papers there's a few in there
[00:03:57.440 --> 00:04:03.280]   that are like good citations i'm gonna follow up and read uh estimates on the compute used in training
[00:04:03.280 --> 00:04:08.240]   this yeah i think they actually say how much compute they used how much how much training compute uh how
[00:04:08.240 --> 00:04:13.840]   many gpus and stuff they had now it doesn't that doesn't account for a lot of the experiments they have a lot of
[00:04:13.840 --> 00:04:20.320]   like ablations and stuff they have a lot of data generation i don't know if that necessarily ties
[00:04:20.320 --> 00:04:25.600]   into how much they used for it right they share a decent amount of numbers but they don't share everything
[00:04:25.600 --> 00:04:33.200]   um yeah so large synthetic data synthesis pipeline and a joint oral stage honestly i found this
[00:04:33.200 --> 00:04:41.040]   model a little confusing because everyone calls it not a reasoning model and like sure it's not reasoning
[00:04:41.040 --> 00:04:49.120]   per se where it's like grpo like rollouts just like proper rl to think but they do have a lot of like
[00:04:49.120 --> 00:04:54.800]   rl to think so i don't know where the line blurs and i think this is a discussion we can have later and
[00:04:54.800 --> 00:05:00.240]   i'd love to hear people's thoughts but like i would semi call this a reasoning model like it it reasons
[00:05:00.240 --> 00:05:08.000]   and it's trying to reason with a like similar grpo with with some um with some changes but yeah it's a
[00:05:08.000 --> 00:05:13.120]   state-of-the-art very very good coding model you can plug it into cloud code and stuff um
[00:05:13.120 --> 00:05:19.600]   so we bench verified 65.8 it's like right up there with opus 03 all that stuff
[00:05:19.600 --> 00:05:24.640]   um and it's very sparse you know it's it's sparse it should be cheap for people that
[00:05:24.640 --> 00:05:30.080]   host it for inference um on everything else it's pretty good it's very open source they give base
[00:05:30.080 --> 00:05:36.640]   model and post train checkpoints um it's nice they do base model evals as well what's the difference
[00:05:36.640 --> 00:05:42.880]   between a reasoning and a thinking model yeah that's a good question mostly we don't call stuff
[00:05:42.880 --> 00:05:48.560]   thinking models we just have reasoning models and on reasoning models in this case i would consider
[00:05:48.560 --> 00:05:53.680]   this thing to be like a reasoning model but yeah i guess there's just think tokens they just take out
[00:05:53.680 --> 00:06:01.920]   the think tokens and they just let it kind of reason um performance pretty good i think we can cover
[00:06:01.920 --> 00:06:06.800]   charts later let's just get through the paper for now but if anyone's interested in diving on any of
[00:06:06.800 --> 00:06:14.080]   these we can we can kind of look at it um but yeah you know like coding benchmark basically up there with
[00:06:14.080 --> 00:06:19.440]   opus um the one that just beat this recently so like the the cool thing with this paper is
[00:06:19.440 --> 00:06:29.200]   it beats deep seek in like across the board on everything um as of a week later quen quen reasoning
[00:06:29.200 --> 00:06:36.960]   sorry quen coder beats this at coding which is cool so you know stuff is moving fast uh they basically
[00:06:36.960 --> 00:06:43.360]   reran a bunch of benchmarks except for opus opus they just took their their numbers i think open hands
[00:06:43.360 --> 00:06:49.360]   help them once we've been verified so shout out to them at the end but um opus was expensive to
[00:06:49.360 --> 00:06:55.120]   benchmark it's it's crazy how expensive benchmarking is so but good for them to do it uh basically in
[00:06:55.120 --> 00:07:01.600]   the introduction they go a little like um you know broader and they want to explain what are these terms
[00:07:01.600 --> 00:07:08.800]   so they have this um they have this like vision of agentic intelligence right uh models are no longer
[00:07:08.800 --> 00:07:15.040]   static like they don't just do next token prediction they're they need to be agents so they need to like
[00:07:15.040 --> 00:07:21.280]   evolve from static understanding of what they know and they need to be able to plan reason act in
[00:07:21.280 --> 00:07:27.360]   environments use tools and stuff so a lot of what they want to do and like you know dynamically adapt to
[00:07:27.360 --> 00:07:35.600]   these um environments so what they basically want to train a model that's really really good at tool
[00:07:35.600 --> 00:07:43.840]   use so um they they train it on a lot of like environments agentic tool use uh they generate a
[00:07:43.840 --> 00:07:49.200]   lot of these tools and they wanted to acquire skills beyond training distribution and adapt behavior through
[00:07:49.200 --> 00:07:55.360]   experiences so like this is kind of like the motivation for why this exists uh you know this thing should be
[00:07:55.360 --> 00:08:00.160]   be able to pick up tools really good and like when i mentioned there's good citations of papers for
[00:08:00.160 --> 00:08:06.720]   like synthetic data gen they also have stuff that's like here's what we were influenced by in tool use
[00:08:06.720 --> 00:08:11.520]   papers here's like four papers that do really good tool use and here's how we build upon that so
[00:08:11.520 --> 00:08:15.120]   you know if you're interested in tool use stuff you should probably read the other four papers
[00:08:15.120 --> 00:08:23.200]   um okay achieving agentic intelligence in quite introduces challenges in both pre-training and post-training
[00:08:23.200 --> 00:08:32.240]   um pre-training must in endow models with general purpose priors and effective token efficiency learning
[00:08:32.240 --> 00:08:42.000]   per signal post-training must transform those priors into actionable be actionable behaviors yet agentic
[00:08:42.000 --> 00:08:47.920]   capabilities such as multi-step reasoning long-term planning and tool use are rare in natural data and
[00:08:47.920 --> 00:08:55.520]   costly to scale so what this is saying is basically um you need a decent enough base model to do all
[00:08:55.520 --> 00:09:02.800]   this stuff and for post-training like this data is not really existent and it's like hard to scale right
[00:09:02.800 --> 00:09:09.120]   so like we don't really just have a lot of multi-step reasoning long-term planning tool use data so um you
[00:09:09.120 --> 00:09:16.640]   know they do a lot of scalable synthetic data gen uh okay paper uh model big big model trillion parameter
[00:09:16.640 --> 00:09:23.600]   moe with 32 billion active parameters there's there's a few major major things here uh muon clip which is
[00:09:23.600 --> 00:09:33.840]   their new novel optimizer it's basically better than um adam w this was introduced like quite a while ago but it
[00:09:33.840 --> 00:09:41.040]   was trained at small scale and it wasn't really scaling very well so in this paper they they show
[00:09:41.040 --> 00:09:48.000]   scaling up this optimizer and sort of having uh gradient issues in attention so the way they solve
[00:09:48.000 --> 00:09:55.520]   it is this kind of um stability enhancing qk clip where they're they're clipping off a lot of attention um
[00:09:56.400 --> 00:10:02.880]   a lot of attention weights so from there um it's kind of crazy they don't have a single loss spike
[00:10:02.880 --> 00:10:10.320]   very very beautiful training curve okay then they have a lot of stuff on their data gen so a large
[00:10:10.320 --> 00:10:17.440]   scale agentic data synthesis pipeline i thought this was like kind of basic i'm surprised how much it just
[00:10:17.440 --> 00:10:24.880]   works but um pretty cool stuff on synthetic data gen basically they generate a lot of tools tool
[00:10:24.880 --> 00:10:30.640]   demonstrations tool descriptions and then they have environments for it to use this stuff and they have
[00:10:30.640 --> 00:10:36.800]   like verifiers and in the middle step verifiers but it's it's like a cool pipeline that they use for
[00:10:36.800 --> 00:10:43.840]   all this uh data gen why why do you think it was basic i mean we'll we'll go into how it is later and how
[00:10:43.840 --> 00:10:51.280]   it's evaluated um i i thought it's like like the verification of some of this stuff isn't that crazy
[00:10:51.280 --> 00:10:59.120]   you know yeah it's a it's a lot of rubric based i'm surprised it just kind of works you know um especially
[00:10:59.120 --> 00:11:06.640]   at the scale and like how they achieve diversity like from the techniques they explain i wouldn't expect
[00:11:06.640 --> 00:11:09.920]   the amount of diversity that makes this actually work out
[00:11:11.200 --> 00:11:16.640]   but let's we'll dive into it in a bit you know yeah a consistent question i have for folks is that how
[00:11:16.640 --> 00:11:21.040]   do you evaluate on non-verifiable reward like essentially things that are not code or software
