
[00:00:00.000 --> 00:00:14.000]   [ Silence ]
[00:00:14.000 --> 00:00:15.760]   [ Applause ]
[00:00:15.760 --> 00:00:17.960]   >> Okay, in alphabetical order,
[00:00:17.960 --> 00:00:20.360]   I'd like to introduce the panel members.
[00:00:20.360 --> 00:00:24.440]   You all have the long bios in your welcome kit,
[00:00:24.440 --> 00:00:28.440]   but at the same time, I'm going to do just short introductions.
[00:00:28.440 --> 00:00:31.360]   First of all, our first panelist is co-founder
[00:00:31.360 --> 00:00:34.000]   of Efficient Frontier Advisors and author
[00:00:34.000 --> 00:00:38.080]   of several successful titles on finance and economic history.
[00:00:38.080 --> 00:00:39.400]   Please welcome our real vocal
[00:00:39.400 --> 00:00:41.960]   and favorite, Dr. Bill Bernstein.
[00:00:41.960 --> 00:00:48.120]   [ Applause ]
[00:00:48.120 --> 00:00:50.160]   Our next panelist is the founder
[00:00:50.160 --> 00:00:52.560]   of the low-cost investment management firm,
[00:00:52.560 --> 00:00:57.200]   Portfolio Solutions, author of six investment-related books,
[00:00:57.200 --> 00:00:58.880]   Forbes.com columnist,
[00:00:58.880 --> 00:01:01.320]   and a Wall Street Journal Experts contributor.
[00:01:01.320 --> 00:01:03.440]   Please welcome Rick Ferry.
[00:01:03.440 --> 00:01:08.840]   [ Applause ]
[00:01:08.840 --> 00:01:11.520]   Our next panelist is the founder of WealthLogic.
[00:01:11.520 --> 00:01:14.240]   He's an author, and he writes for CBS Money Watch
[00:01:14.240 --> 00:01:15.760]   and other publications.
[00:01:15.760 --> 00:01:18.440]   Please welcome Alan Roth.
[00:01:18.440 --> 00:01:23.040]   [ Applause ]
[00:01:23.040 --> 00:01:26.600]   Our final panel, our next panelist is a retired former
[00:01:26.600 --> 00:01:28.360]   chief investment officer at Vanguard.
[00:01:28.360 --> 00:01:30.880]   He now serves as a senior consultant to Vanguard.
[00:01:30.880 --> 00:01:32.600]   Please welcome Gus Salter.
[00:01:32.600 --> 00:01:37.280]   [ Applause ]
[00:01:37.280 --> 00:01:40.840]   And our final panelist is -- who's not on the agenda,
[00:01:40.840 --> 00:01:45.200]   but is going to join us, is none other than the founder
[00:01:45.200 --> 00:01:47.600]   of Vanguard, Mr. Jack Bogle.
[00:01:47.600 --> 00:01:54.360]   [ Applause ]
[00:01:54.360 --> 00:01:56.800]   -This is my day to listen instead of talk.
[00:01:56.800 --> 00:01:58.520]   [ Laughter ]
[00:01:58.520 --> 00:02:02.320]   And they kind of conned me into being part of the panel,
[00:02:02.320 --> 00:02:03.920]   which I'm happy to do if they want.
[00:02:03.920 --> 00:02:08.720]   I think you will find probably quite a bit of silence from me.
[00:02:08.720 --> 00:02:10.800]   Quite a bit of silence from me.
[00:02:10.800 --> 00:02:13.360]   Can you hear me back there?
[00:02:13.360 --> 00:02:15.320]   Quite a bit of silence from me.
[00:02:15.320 --> 00:02:17.200]   That doesn't mean I'm not interested in what's going on.
[00:02:17.200 --> 00:02:19.320]   This is a terrific panel,
[00:02:19.320 --> 00:02:23.400]   and Gus has just been a huge asset ever since,
[00:02:23.400 --> 00:02:28.360]   I guess, September of 1987, and a good friend of mine.
[00:02:28.360 --> 00:02:29.560]   One of the best people around,
[00:02:29.560 --> 00:02:33.320]   as well as being a brilliant guy to run the index fund.
[00:02:33.320 --> 00:02:36.960]   A man filled with ideas, filled with convictions,
[00:02:36.960 --> 00:02:39.200]   filled with passion about the work he's doing.
[00:02:39.200 --> 00:02:42.720]   So I salute you, Gus, again for the job you did this morning.
[00:02:42.720 --> 00:02:45.600]   I actually wanted to be up here to make a quick announcement.
[00:02:45.600 --> 00:02:48.960]   I just haven't been able to get up since I sat down.
[00:02:48.960 --> 00:02:50.360]   That's why I'm on the panel.
[00:02:50.360 --> 00:02:52.160]   But a couple of things.
[00:02:52.160 --> 00:02:56.000]   One, I'm reminded of a story they tell
[00:02:56.000 --> 00:03:02.000]   about John Quincy Adams of his aging years, sick in bed.
[00:03:02.000 --> 00:03:04.560]   And a friend comes to see him, and he says,
[00:03:04.560 --> 00:03:07.760]   "How is John Quincy Adams today?"
[00:03:07.760 --> 00:03:10.720]   John Quincy Adams looks at him and says,
[00:03:10.720 --> 00:03:15.520]   "John Quincy Adams has never been better in his entire life.
[00:03:15.520 --> 00:03:17.160]   Things are wonderful.
[00:03:17.160 --> 00:03:19.560]   He's at the top of his game."
[00:03:19.560 --> 00:03:24.760]   However, the house to John Quincy Adams is falling down.
[00:03:24.760 --> 00:03:27.360]   [laughter]
[00:03:27.360 --> 00:03:29.760]   And that's the way I feel now.
[00:03:29.760 --> 00:03:31.520]   [laughter]
[00:03:31.520 --> 00:03:33.120]   'Cause everything seems to be going wrong.
[00:03:33.120 --> 00:03:35.760]   I have to get out of here and get a CAT scan on my shoulder
[00:03:35.760 --> 00:03:37.120]   to see if there's something going on down there
[00:03:37.120 --> 00:03:38.160]   nobody knows about.
[00:03:38.160 --> 00:03:43.200]   So I will not be able to be here for the other panel.
[00:03:43.200 --> 00:03:45.000]   But I did want to just take this opportunity
[00:03:45.000 --> 00:03:47.520]   to thank you all so very much.
[00:03:47.520 --> 00:03:52.000]   I've had so many nice compliments.
[00:03:52.000 --> 00:03:55.200]   You're thanking me for things that any ordinary person
[00:03:55.200 --> 00:03:58.400]   would have done in the course of a long career.
[00:03:58.400 --> 00:04:01.320]   And I put myself in the ordinary category,
[00:04:01.320 --> 00:04:03.600]   but I did have a couple of good ideas.
[00:04:03.600 --> 00:04:05.120]   [laughter]
[00:04:05.120 --> 00:04:08.800]   And it turns out, world-changing ideas.
[00:04:08.800 --> 00:04:11.200]   In fact, just as Gus said,
[00:04:11.200 --> 00:04:13.920]   indexing is changing the world of investing.
[00:04:13.920 --> 00:04:15.800]   And so I feel very good to have been a part of that
[00:04:15.800 --> 00:04:17.200]   and even a leader.
[00:04:17.200 --> 00:04:19.120]   And on that point, by the way,
[00:04:19.120 --> 00:04:21.000]   I think it's okay for me to say this.
[00:04:21.000 --> 00:04:23.000]   I mentioned the other morning that I had written a letter
[00:04:23.000 --> 00:04:25.200]   to the editor of the "Wall Street Journal"
[00:04:25.200 --> 00:04:28.600]   telling him that the real Nobel laureate that influenced me
[00:04:28.600 --> 00:04:30.120]   was Paul Samuelson.
[00:04:30.120 --> 00:04:32.000]   But I'd never heard of Gene Fama.
[00:04:32.000 --> 00:04:34.800]   [laughter]
[00:04:34.800 --> 00:04:37.320]   At that time, at that time.
[00:04:37.320 --> 00:04:43.120]   And that Gene Fama's conviction was so great
[00:04:43.120 --> 00:04:44.560]   that he started his own--
[00:04:44.560 --> 00:04:48.120]   was that formation the inspiration for a fund group,
[00:04:48.120 --> 00:04:50.880]   but not an index fund group.
[00:04:50.880 --> 00:04:52.960]   He's a DFA guy.
[00:04:52.960 --> 00:04:54.720]   He believes that the markets,
[00:04:54.720 --> 00:04:57.720]   despite the efficient market hypothesis,
[00:04:57.720 --> 00:05:01.360]   please have permanent, persistent inefficiencies.
[00:05:01.360 --> 00:05:04.160]   So I had a little note from the guy.
[00:05:04.160 --> 00:05:08.160]   It's a long, long letter to the editor, very long.
