
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.240]   - We have a full week of new episodes scheduled,
[00:00:07.240 --> 00:00:09.440]   so let's dive in Pastor John.
[00:00:09.440 --> 00:00:12.560]   Podcast listener Connor Hodges writes in to ask this,
[00:00:12.560 --> 00:00:14.640]   "Pastor John, it seems odd to me
[00:00:14.640 --> 00:00:17.160]   "that the command of Christ looks like this,
[00:00:17.160 --> 00:00:22.160]   "pursue joy in me or face eternal punishment.
[00:00:22.160 --> 00:00:24.280]   "If that was ever the case in this world,
[00:00:24.280 --> 00:00:26.140]   "it would seem outrageous.
[00:00:26.140 --> 00:00:28.520]   "For example, if a husband says to his wife,
[00:00:28.520 --> 00:00:31.960]   "you better love me above all else or I will cast you out,
[00:00:31.960 --> 00:00:34.460]   "then it wouldn't really be true love from the wife
[00:00:34.460 --> 00:00:38.320]   "if she knew her only other option is to be cast out.
[00:00:38.320 --> 00:00:39.880]   "I know this is wrong thinking,
[00:00:39.880 --> 00:00:41.400]   "but I'm having a hard time wrestling
[00:00:41.400 --> 00:00:43.280]   "with this type of analogy."
[00:00:43.280 --> 00:00:45.400]   What would you say to Connor, Pastor John?
[00:00:45.400 --> 00:00:52.080]   - I would point out that there are three different,
[00:00:52.080 --> 00:00:57.180]   though not separated, issues in what he just said.
[00:00:57.280 --> 00:01:02.280]   Number one, does the Bible teach that the failure
[00:01:02.280 --> 00:01:05.960]   to delight in God results in eternal punishment?
[00:01:05.960 --> 00:01:10.960]   Number two, if it does, does the analogy of a human husband
[00:01:10.960 --> 00:01:15.080]   setting up the same dynamic with his wife
[00:01:15.080 --> 00:01:17.880]   illumine or cloud that reality?
[00:01:17.880 --> 00:01:21.560]   Third, the way you express the connection
[00:01:21.560 --> 00:01:24.560]   between our failure to delight in God
[00:01:24.560 --> 00:01:27.720]   and our eternal loss makes a huge difference
[00:01:27.720 --> 00:01:32.560]   in whether the truth can sound acceptable or not.
[00:01:32.560 --> 00:01:36.400]   So those are three huge issues,
[00:01:36.400 --> 00:01:39.920]   and they got all jumbled together in that question.
[00:01:39.920 --> 00:01:41.280]   So I'm gonna take them one at a time,
[00:01:41.280 --> 00:01:43.240]   'cause the first one is key.
[00:01:43.240 --> 00:01:47.180]   Number one, does the Bible teach that the failure
[00:01:47.180 --> 00:01:51.680]   to delight in God results in eternal punishment?
[00:01:51.680 --> 00:01:54.720]   So let's start with 1 Corinthians 16, 22.
[00:01:54.720 --> 00:01:59.720]   If anyone does not love the Lord, let him be accursed.
[00:01:59.720 --> 00:02:04.320]   Now, here's the most explicit biblical connection
[00:02:04.320 --> 00:02:05.940]   between the failure to love Christ
[00:02:05.940 --> 00:02:08.640]   and the punishment of a divine curse.
[00:02:08.640 --> 00:02:12.800]   How easy it would have been for Paul to write,
[00:02:12.800 --> 00:02:17.800]   if anyone does not trust the Lord, let him be accursed.
[00:02:17.800 --> 00:02:21.240]   In other words, we all know that salvation is by faith,
[00:02:21.240 --> 00:02:23.960]   and so that would not have been so jarring,
[00:02:23.960 --> 00:02:26.160]   but that's not what he said.
[00:02:26.160 --> 00:02:28.760]   I'm not saying that loving Jesus
[00:02:28.760 --> 00:02:30.780]   only means delighting in him,
[00:02:30.780 --> 00:02:33.920]   but I am saying delighting him, in him,
[00:02:33.920 --> 00:02:37.400]   treasuring him, preferring him over others,
[00:02:37.400 --> 00:02:39.500]   being glad to be with him,
[00:02:39.500 --> 00:02:44.500]   these are essential to what it means to love him.
[00:02:44.500 --> 00:02:48.040]   When Jesus said, "If you love me,
[00:02:48.040 --> 00:02:49.400]   "you will keep my commandments,"
[00:02:49.400 --> 00:02:52.840]   he did not mean that keeping the commandments was the love.
[00:02:52.840 --> 00:02:54.880]   He meant love empowers,
[00:02:54.880 --> 00:02:56.880]   enables the keeping of the commandments.
[00:02:56.880 --> 00:03:01.200]   So love is prior to, it's an internal heart issue
[00:03:01.200 --> 00:03:05.080]   of cleaving to Jesus as your greatest treasure.
[00:03:05.080 --> 00:03:10.080]   So my conclusion from 1 Corinthians 16, 22 is yes,
[00:03:10.080 --> 00:03:15.520]   the Bible does teach that failure to love God,
[00:03:15.520 --> 00:03:17.480]   delight in God, treasure God,
[00:03:17.480 --> 00:03:19.440]   cleave to God, enjoy God,
[00:03:19.440 --> 00:03:22.080]   be satisfied in God, embrace God
[00:03:22.080 --> 00:03:27.080]   as your supreme delight results in eternal punishment.
[00:03:27.080 --> 00:03:31.800]   You can add Deuteronomy 28, 47,
[00:03:31.800 --> 00:03:35.400]   where it makes the connection between joylessness
[00:03:35.400 --> 00:03:37.800]   and punishment explicit,
[00:03:37.800 --> 00:03:39.820]   "Because you did not serve the Lord your God
[00:03:39.820 --> 00:03:42.840]   "with joyfulness and gladness of heart,
[00:03:42.840 --> 00:03:45.120]   "therefore you will serve your enemies."
[00:03:45.120 --> 00:03:49.160]   So here's the connection between the absence of joy in God
[00:03:49.160 --> 00:03:54.160]   as you serve him and the threat of suffering explicitly.
[00:03:54.160 --> 00:03:56.920]   Here's one more text on this main question.
[00:03:56.920 --> 00:04:01.920]   2 Thessalonians 2.10, Paul describes who will perish
[00:04:01.920 --> 00:04:07.480]   in the end times when the lawless one does his false
[00:04:07.480 --> 00:04:10.360]   and lying signs and wonders.
[00:04:10.360 --> 00:04:13.480]   He comes, it says, with wicked deception
[00:04:13.480 --> 00:04:15.680]   for those who are perishing
[00:04:15.680 --> 00:04:20.680]   because they refuse to love the truth and be saved.
[00:04:20.680 --> 00:04:26.860]   So Paul shows us that in his mind,
[00:04:26.860 --> 00:04:32.360]   a saving embrace of the truth includes cherishing the truth,
[00:04:32.360 --> 00:04:36.160]   loving the truth, treasuring the truth,
[00:04:36.160 --> 00:04:38.000]   delighting in the truth.
[00:04:38.000 --> 00:04:41.680]   And when it's not there, he says, we perish.
[00:04:41.680 --> 00:04:46.680]   And so, yes, the Bible teaches that the failure
[00:04:46.680 --> 00:04:51.720]   to delight in God or Christ or the truth of the gospel
[00:04:51.720 --> 00:04:53.720]   results in eternal punishment.
[00:04:53.720 --> 00:04:57.640]   That's the basic question, and I think the Bible says yes.
[00:04:57.640 --> 00:05:00.880]   Second question, if that's true,
[00:05:00.880 --> 00:05:03.880]   does the analogy of a human husband
[00:05:03.880 --> 00:05:07.040]   setting up the same dynamic with his wife
[00:05:07.040 --> 00:05:10.360]   illumine or cloud that reality?
[00:05:10.360 --> 00:05:14.680]   Is it true that a human husband can set up the terms,
[00:05:14.680 --> 00:05:17.400]   if you don't delight in me, I will cast you out?
[00:05:17.400 --> 00:05:19.280]   Is that a good analogy?
[00:05:19.280 --> 00:05:22.260]   Does it shed light on the truth we just found?
[00:05:22.260 --> 00:05:24.400]   No, it doesn't.
[00:05:24.400 --> 00:05:28.200]   The analogy is not helpful for two reasons.
[00:05:28.200 --> 00:05:30.360]   One, because of the crucial difference
[00:05:30.360 --> 00:05:32.040]   between God and any husband.
[00:05:32.040 --> 00:05:37.040]   God is the source and sum of all that is good and true
[00:05:37.520 --> 00:05:40.480]   and beautiful in the universe,
[00:05:40.480 --> 00:05:43.000]   and God is infinite, infinitely beautiful,
[00:05:43.000 --> 00:05:45.680]   infinitely valuable, and the measure
[00:05:45.680 --> 00:05:47.720]   of all that is desirable.
[00:05:47.720 --> 00:05:49.000]   No husband can talk like that.
[00:05:49.000 --> 00:05:52.200]   No husband can say that to his wife or to anybody.
[00:05:52.200 --> 00:05:53.780]   It's just off the charts.
[00:05:53.780 --> 00:05:57.240]   God is so superior in every way to any husband
[00:05:57.240 --> 00:06:00.200]   that it doesn't click, it doesn't work
[00:06:00.200 --> 00:06:01.440]   to make him the analogy.
[00:06:01.440 --> 00:06:03.120]   And here's the second reason.
[00:06:03.120 --> 00:06:06.960]   God has made other commands about marriage,
