
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[00:00:05.000 --> 00:00:10.000]   Now, this is the first recording session that we have done in the month of February.
[00:00:10.000 --> 00:00:13.000]   We're doing this, I don't know what today is, February 4th, maybe?
[00:00:13.000 --> 00:00:15.000]   February 5th, something like that?
[00:00:15.000 --> 00:00:19.000]   So you know what that means, if it's the first session in a new month,
[00:00:19.000 --> 00:00:25.000]   we should take some time to talk about the books I read in the preceding month.
[00:00:25.000 --> 00:00:29.000]   We're trying to make that a habit here on the show.
[00:00:29.000 --> 00:00:39.000]   So I thought we would start things off today talking about the five books I read in January 2022.
[00:00:39.000 --> 00:00:44.000]   Quick background on that, I usually aim to read around five books a month,
[00:00:44.000 --> 00:00:47.000]   and the two things I do to accomplish this goal is,
[00:00:47.000 --> 00:00:50.000]   one, I make reading more of a default activity,
[00:00:50.000 --> 00:00:55.000]   so instead of looking at a phone or a tablet for random online distraction,
[00:00:55.000 --> 00:00:58.000]   I make looking at a book my default activity.
[00:00:58.000 --> 00:01:04.000]   And two, I read a wide variety of books of different styles, different genres,
[00:01:04.000 --> 00:01:09.000]   different levels of difficulty so that it doesn't become tedious or doesn't become too much of a chore.
[00:01:09.000 --> 00:01:16.000]   I don't care what format, audio, Kindle, hardcover, whatever, just keep reading.
[00:01:16.000 --> 00:01:19.000]   I also believe in not overthinking what you read.
[00:01:19.000 --> 00:01:23.000]   Just reading a lot of interesting stuff is better than having some sort of carefully curated list
[00:01:23.000 --> 00:01:26.000]   with which you're trying to impress people.
[00:01:26.000 --> 00:01:31.000]   All right, so let's get into it. The books I read in January 2022.
[00:01:31.000 --> 00:01:38.000]   So those who have followed this segment in previous months know I've been on a kick recently
[00:01:38.000 --> 00:01:41.000]   of reading books that have to do with the entertainment industry.
[00:01:41.000 --> 00:01:45.000]   I'm not sure why. I just like that genre.
[00:01:45.000 --> 00:01:51.000]   I did some cinema books. I've done some biographies of directors.
[00:01:51.000 --> 00:01:59.000]   My entry in this in the sequence of books for January was Will Smith's new biography,
[00:01:59.000 --> 00:02:04.000]   which is titled Will, which I actually quite enjoyed.
[00:02:04.000 --> 00:02:11.000]   Now, Will is co-authored, Will Smith co-authored it with Mark Manson,
[00:02:11.000 --> 00:02:19.000]   who you might know as the author of the subtle art of not giving an F word, that book,
[00:02:19.000 --> 00:02:24.000]   which sold, and I'm using the official terms here, Jesse, all the copies.
[00:02:24.000 --> 00:02:27.000]   That's what I have here. I have here on my official notes.
[00:02:27.000 --> 00:02:32.000]   It sold, that book sold an absurd number of copies. I'm talking like 18 million copies.
[00:02:32.000 --> 00:02:36.000]   It's a it's a crazily successful book. So he co-authored.
