
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:11.000]   Best-selling author Jerry Bridges passed away today at the age of 86.
[00:00:11.000 --> 00:00:15.560]   He was not only a friend, he was a big influence on my Christian life, and I know many of you
[00:00:15.560 --> 00:00:17.640]   could say the same thing.
[00:00:17.640 --> 00:00:22.000]   His writings were as wonderful as they were authentic, and I've always had the sense that
[00:00:22.000 --> 00:00:26.960]   his books were really the product of the deepest wrestlings that he faced in his own walk with
[00:00:26.960 --> 00:00:27.960]   the Lord.
[00:00:27.960 --> 00:00:31.600]   Over the years, I've had the honor to interview Jerry several times, and in the winter of
[00:00:31.600 --> 00:00:37.280]   2011, I asked him, looking back over his 60-plus years as a Christian, what were the hard-won
[00:00:37.280 --> 00:00:41.360]   lessons that he would want younger believers to take from his life today?
[00:00:41.360 --> 00:00:42.360]   Here's what he said.
[00:00:42.360 --> 00:00:49.000]   Well, there are probably five significant truths that I would like for a young believer
[00:00:49.000 --> 00:00:50.320]   to know.
[00:00:50.320 --> 00:00:56.920]   Unfortunately, I learned these over a period of a number of years, simply because I was
[00:00:56.920 --> 00:00:59.400]   not exposed to the right kind of teaching.
[00:00:59.400 --> 00:01:03.560]   I'll just take them in the chronological order in which I learned them.
[00:01:03.560 --> 00:01:06.720]   It doesn't mean that this should be true.
[00:01:06.720 --> 00:01:11.640]   In fact, if I were going to reverse the chronology, I would certainly do that.
[00:01:11.640 --> 00:01:17.520]   But the first thing I learned, which really began my walk with the Lord, is that the Bible
[00:01:17.520 --> 00:01:24.400]   is meant to be applied specifically in our daily lives, because most people just have
[00:01:24.400 --> 00:01:31.040]   the idea that, you know, if I don't murder somebody or don't do these things, I'm okay.
[00:01:31.040 --> 00:01:35.960]   But I learned that the Bible was meant to be applied in my daily life.
[00:01:35.960 --> 00:01:40.520]   I was a young officer in the U.S. Navy at the time.
[00:01:40.520 --> 00:01:46.120]   I was serving under a commanding officer who was not easy to get along with.
[00:01:46.120 --> 00:01:49.440]   He had almost no people skills.
[00:01:49.440 --> 00:01:54.160]   And those of us who were younger officers resented him.
[00:01:54.160 --> 00:01:59.760]   And one day I read 1 Timothy 6, 1, and I'm going to be quoting from the King James Version,
[00:01:59.760 --> 00:02:06.080]   "Let as many servants as are under the oak count their own masters worthy of all honor,
[00:02:06.080 --> 00:02:08.880]   that the name of God and His doctrine be not blasphemed."
[00:02:08.880 --> 00:02:14.640]   And immediately I made the application of the principle, "Let a young officer who's
[00:02:14.640 --> 00:02:19.280]   serving under a difficult commanding officer count him worthy of all honor.
[00:02:19.280 --> 00:02:20.800]   For God's sake."
[00:02:20.800 --> 00:02:22.960]   So that was a specific application.
[00:02:22.960 --> 00:02:29.240]   That's what I mean to be very specific and very practical in the application of Scripture.
[00:02:29.240 --> 00:02:34.280]   Chronologically, the second great truth that I learned was union with Christ, that I am
[00:02:34.280 --> 00:02:39.880]   in Christ as the vine and the branches or have that living union.
[00:02:39.880 --> 00:02:43.880]   So Christ and I have that living union.
[00:02:43.880 --> 00:02:50.080]   I live in Him, He lives in me, and I depend upon Him for the power to live the Christian
[00:02:50.080 --> 00:02:51.080]   life.
[00:02:51.080 --> 00:02:57.960]   The third significant truth that I learned was the doctrine of election, that I'm a
[00:02:57.960 --> 00:03:03.320]   Christian because God chose me from before the foundation of the world.
[00:03:03.320 --> 00:03:09.160]   And when I was first exposed to that, there was a brand new thought, and I pushed back.
[00:03:09.160 --> 00:03:13.840]   I thought, "My friend, oh, she's gotten into heresy."
[00:03:13.840 --> 00:03:19.520]   But God in His grace opened my eyes to the truth, and I remember very well my reaction
[00:03:19.520 --> 00:03:24.880]   as soon as it just sort of hit me all of a sudden.
[00:03:24.880 --> 00:03:31.000]   And I just dropped to my knees, and I thought of Romans 12, 1, "I appeal to you by the
[00:03:31.000 --> 00:03:35.600]   mercies of God to present your bodies as a living sacrifice."
